"configuration","problem","model","data_file","status","time","unifiedVariables","extractedViews","intVariables","objective","propagators","propagations","initTime","run","paths","userDecisions","method","flatTime","failures","peakDepth","flatIntVars","restarts","blockType","nSolutions","oracleDecisions","solveTime","flatIntConstraints"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4030767800286412","0","1","32","10","25","580","0.005435","results_filter_basic","0","0","minimize","0.165182","27","116","48","0","complete","1","145","0.006696","26"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.1550561017357","0","8","49","32","67","95704073","0.007317","results_filter_basic","0","0","minimize","0.266447","9481299","158","73","0","complete","1","10049938","1199.722258","75"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4294590759091079","0","8","69","17","49","1050","0.006722","results_filter_basic","0","0","minimize","0.166327","3","162","77","0","complete","1","234","0.014802","57"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.4309858395718038","0","3","18","4","11","100","0.004619","results_filter_basic","0","32","minimize","0.169776","7","20","26","0","complete","1","0","0.003426","14"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","344.93991748895496","0","8","65","32","67","41249518","0.007176","results_filter_basic","0","1795140","minimize","0.16633","1518531","115","73","66848","complete","1","1283178","344.521435","75"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.446934443898499","0","1","24","18","25","8085","0.005025","results_filter_basic","0","702","minimize","0.164444","809","24","25","27","complete","1","211","0.050254","26"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","339.07777193095535","0","8","49","32","67","38757819","0.00831","results_filter_basic","0","1749840","minimize","0.167606","1496443","124","73","61504","complete","1","1172181","338.664948","75"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2977182301693","0","8","49","34","67","88479884","0.007106","results_filter_basic","0","3776262","minimize","0.164254","3393960","99","57","134125","complete","1","2753565","1199.832916","75"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.43798764422535896","0","1","24","11","25","7891","0.005364","results_filter_basic","0","2455","minimize","0.162124","409","40","48","0","complete","4","0","0.054555","26"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","97.67453221511096","0","8","49","32","67","5340450","0.007872","results_filter_basic","0","523936","minimize","0.168295","516976","52","73","0","complete","1","0","97.250732","75"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4536864850670099","0","1","24","18","25","9402","0.004941","results_filter_basic","0","0","minimize","0.163565","537","123","25","0","complete","1","757","0.060066","26"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","10.341668526642025","0","1","51","18","35","1396469","0.005836","results_filter_basic","0","245034","minimize","0.162312","61206","47","52","0","complete","8","0","9.947972","36"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.4725715392269194","0","4","45","15","33","2866","0.005506","results_filter_basic","0","0","minimize","0.170524","315","131","61","0","complete","1","487","0.0243","37"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5421682735905051","0","4","45","15","33","15927","0.005481","results_filter_basic","0","3933","minimize","0.169658","1101","52","61","1","complete","2","199","0.098504","37"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.237697627861","0","8","97","14","67","58820192","0.007509","results_filter_basic","0","13040254","minimize","0.177277","3825177","83","105","0","complete","3","0","1199.810846","75"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.7543300502002239","0","8","35","28","49","38410","0.005515","results_filter_basic","0","3553","minimize","0.170511","3440","35","43","0","complete","1","0","0.310684","57"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.6725925020874","0","8","65","16","67","75283996","0.006994","results_filter_basic","0","11068416","minimize","0.16716","8950537","77","105","0","complete","2","0","1199.821195","75"
