"configuration","problem","model","data_file","status","time","restarts","extractedViews","propagators","paths","flatIntConstraints","oracleDecisions","flatIntVars","nSolutions","solveTime","peakDepth","blockType","initTime","objective","unifiedVariables","run","failures","method","userDecisions","propagations","flatTime","intVariables"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.9131374987773597","0","1","25","0","26","158","48","1","0.006366","122","complete","0.005133","11","0","results_filter_seperate+merge","16","minimize","0","641","0.177881","32"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.2828457611613","0","8","67","0","75","7488756","73","71","1199.704335","204","complete","0.006907","31","0","results_filter_seperate+merge","7270774","minimize","0","88289054","0.285059","49"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4394640480168164","0","8","49","0","57","234","77","1","0.013557","162","complete","0.006068","17","0","results_filter_seperate+merge","3","minimize","0","1052","0.179983","69"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.42230177111923695","0","3","11","0","14","0","26","1","0.00341","20","complete","0.004347","4","0","results_filter_seperate+merge","6","minimize","32","100","0.179531","18"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","1127.2155773052946","141698","8","67","0","75","3574973","73","1","1126.753066","113","complete","0.007405","32","0","results_filter_seperate+merge","4922136","minimize","4736892","105478061","0.183436","65"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4390058140270412","5","1","25","0","26","38","25","1","0.038714","24","complete","0.005337","18","0","results_filter_seperate+merge","712","minimize","720","6242","0.163739","24"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1200.2356966822408","146857","8","67","0","75","3888576","73","1","1199.823705","110","complete","0.007289","32","0","results_filter_seperate+merge","5303467","minimize","4872170","110052364","0.166895","49"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2544987220317","134282","8","67","0","75","3180839","57","1","1199.820117","92","complete","0.007209","34","0","results_filter_seperate+merge","4350246","minimize","3965010","93024555","0.170637","49"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4182909829542041","0","1","25","0","26","0","48","3","0.033605","39","complete","0.005413","11","0","results_filter_seperate+merge","228","minimize","1314","4614","0.161743","24"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","110.41804874734953","0","8","67","0","75","0","73","1","109.536192","52","complete","0.006909","32","0","results_filter_seperate+merge","568554","minimize","576492","5807246","0.179239","49"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.41063108993694186","0","1","25","0","26","341","25","1","0.020352","119","complete","0.00535","18","0","results_filter_seperate+merge","112","minimize","0","3271","0.163554","24"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","2.75222764024511","0","1","35","0","36","0","52","7","2.33049","46","complete","0.005969","18","0","results_filter_seperate+merge","16155","minimize","60819","376185","0.179832","51"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.47298305202275515","0","4","33","0","37","318","61","1","0.015655","130","complete","0.005919","15","0","results_filter_seperate+merge","143","minimize","0","2225","0.180087","45"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5331069608218968","7","4","33","0","37","229","61","3","0.085159","51","complete","0.005919","15","0","results_filter_seperate+merge","788","minimize","3352","15276","0.179714","45"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.226462931838","0","8","67","0","75","0","105","3","1199.823313","71","complete","0.007519","14","0","results_filter_seperate+merge","5429044","minimize","8222846","60501247","0.166483","97"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6811566851101816","0","8","49","0","57","0","43","1","0.262619","35","complete","0.005947","28","0","results_filter_seperate+merge","3098","minimize","3213","35641","0.170432","35"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","26.968781442847103","0","8","67","0","75","0","105","2","26.559543","74","complete","0.007454","16","0","results_filter_seperate+merge","169193","minimize","356193","2522300","0.165959","65"
