"configuration","problem","model","data_file","status","time","flatTime","blockType","propagators","userDecisions","objective","paths","peakDepth","initTime","intVariables","restarts","nSolutions","oracleDecisions","flatIntVars","extractedViews","propagations","flatIntConstraints","failures","method","solveTime","run","unifiedVariables"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.7100150287151","0.503731","complete","67","0","32","0","126","0.011396","49","0","70","7682307","73","8","87136441","75","7423589","minimize","1199.480457","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4045936749316752","0.162372","complete","49","0","17","0","162","0.006106","69","0","1","234","77","8","1052","57","3","minimize","0.013476","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","2.223558022174984","0.501109","complete","11","32","4","0","20","0.009199","18","0","1","0","26","3","100","14","6","minimize","0.005508","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","1174.5893578436226","0.502851","complete","67","4690446","32","0","148","0.011399","65","144576","1","3663086","73","8","107308397","75","4969570","minimize","1172.354586","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.8975967383012176","0.236675","complete","25","720","18","0","24","0.006421","24","5","1","38","25","1","6242","26","712","minimize","0.038167","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_2.dzn","SATISFIED","1201.7114113331772","0.506493","complete","67","4920475","32","0","106","0.011372","49","135630","1","3420828","73","8","105345335","75","5148087","minimize","1199.479139","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2676492850296","0.155149","complete","67","3784029","34","0","96","0.007136","49","128456","1","3018858","57","8","90340110","75","4049984","minimize","1199.835171","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4955728850327432","0.177834","complete","25","1314","11","0","39","0.005468","24","0","3","0","48","1","4614","26","228","minimize","0.03392","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","100.18818087829277","0.506397","complete","67","546241","32","0","52","0.011409","49","0","1","0","73","8","5513465","75","539231","minimize","97.962852","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.8771605561487377","0.237582","complete","25","0","18","0","119","0.006415","24","0","1","341","25","1","3271","26","112","minimize","0.020035","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","3.014959297608584","0.215673","complete","35","65882","18","0","44","0.006381","51","0","9","0","52","1","416789","36","17108","minimize","2.475477","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.44718542881309986","0.19596","complete","33","0","15","0","130","0.005555","45","0","1","318","61","4","2225","37","143","minimize","0.01563","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.46926031867042184","0.157027","complete","33","3352","15","0","51","0.005712","45","7","3","229","61","4","15276","37","788","minimize","0.084423","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.6000485243276","0.181363","complete","67","7508593","14","0","71","0.008106","97","0","3","0","105","8","55492770","75","5088431","minimize","1199.808043","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.7085332227870822","0.166778","complete","49","3204","28","0","35","0.005889","35","0","1","0","43","8","35641","57","3094","minimize","0.259874","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","29.630843540653586","0.15951","complete","67","365185","16","0","74","0.007449","65","0","2","0","105","8","2599807","75","181815","minimize","29.249759","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.39324275124818087","0.158716","complete","49","176","17","0","67","0.006042","69","0","2","0","77","8","636","57","15","minimize","0.015171","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1201.708518832922","0.507429","complete","67","0","32","0","252","0.011483","65","0","1","7827074","73","8","93300883","75","7545156","minimize","1199.478244","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.46412449004128575","0.177521","complete","25","68","11","0","110","0.00528","24","1","1","124","48","1","781","26","24","minimize","0.007159","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.5668500270694","0.225331","complete","67","12374557","11","0","75","0.008309","97","0","3","0","105","8","52278780","75","4242816","minimize","1199.763816","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","31.548035853076726","0.160557","complete","67","0","14","0","219","0.007413","97","0","6","264954","105","8","4322413","75","256304","minimize","31.15358","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5669023250229657","0.162048","complete","25","707","15","0","27","0.006219","24","0","3","0","33","1","4879","26","609","minimize","0.032129","results_filter_merge","0"
