"configuration","problem","model","data_file","status","time","intVariables","propagations","optTime","nogoods","flatBoolConstraints","objective","restarts","nodes","baseMem","initTime","peakMem","failures","method","paths","flatIntConstraints","evaluatedReifiedConstraints","unifiedVariables","randomSeed","flatBoolVars","peakDepth","boolVariables","solveTime","trailMem","evaluatedHalfReifiedConstraints","flatTime","propagators","run","intVars","extractedViews","oracleDecisions","blockType","variables","flatIntVars","userDecisions","objectiveBound","solutions","backjumps","nSolutions"
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.5495499651879072","","44","","","","4","","","","","","1","minimize","0","14","","","","","","21","0.006384","","","0.165037","","results_filter","","","","","","26","","4","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","513.2493400480598","97","624849847","","","608","14","0","","","0.034585","","7084328","minimize","0","2505","","0","","2432","3249","","512.674414","","2432","0.26065","2497","results_filter","","8","8319890","complete","","105","0","","","","88"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.61675257794559","24","60038","","","127","15","0","","","0.008633","","687","minimize","0","334","","0","","310","357","","0.028348","","310","0.186675","333","results_filter","","1","990","complete","","33","793","","","","3"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","1.0045777931809425","","6062875","0.549","15909","241","18","1","70441","0.0","0.015","0.0","15909","minimize","0","787","754","","2135413550","754","46","7778","0.55","0.02","","0.20456","1543","results_filter","52","","","","7832","51","","","","54486","1"
"Huub_free","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","33.1302304007113","97","128550495","","","608","10","9911","","","0.036165","","441306","minimize","0","2505","","0","","2432","3179","","32.512674","","2432","0.268768","2497","results_filter","","8","398871","complete","","105","868304","","","","12"
"chuffed","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","2.4187240321189165","","114664","0.008","434","127","15","3","735","0.0","0.009","0.0","434","minimize","0","333","310","","-1505892448","310","32","5257","0.016","0.01","","0.186807","645","results_filter","33","","","","5292","32","","","","213","3"
"gecode","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.6107103507965803","","528","","","","19","0","43","","0.002742","","6","minimize","0","36","","","","","42","","0.005647","","","0.184562","39","results_filter","","","","","84","52","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.8154266960918903","29","778917","","","180","34","0","","","0.009815","","10544","minimize","0","395","","0","","360","389","","0.383474","","360","0.194413","391","results_filter","","4","360","complete","","33","10789","","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","51.50319760106504","65","167897291","","","608","16","0","","","0.033766","","944699","minimize","0","2505","","0","","2432","2971","","50.948538","","2432","0.255386","2497","results_filter","","8","1294376","complete","","105","0","","","","86"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","258.9781424533576","34","103871316","","","241","35","12233","","","0.011477","","931717","minimize","0","516","","0","","482","648","","258.516943","","482","0.200447","515","results_filter","","1","519053","complete","","35","613150","","","","7"
"cp-sat","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.4292030557990074","","7920","","","","16","","","","","","248","minimize","0","37","","","","","","129","0.023705","","","0.164556","","results_filter","","","","","","49","","16","","","4"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.9225145392119884","45","554815","","","180","16","0","","","0.011574","","1709","minimize","0","635","","0","","600","763","","0.251533","","600","0.203186","631","results_filter","","4","66683","complete","","49","0","","","","86"
"cp-sat","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.4457991812378168","","406","","","","28","","","","","","4","minimize","0","57","","","","","","36","0.009338","","","0.173802","","results_filter","","","","","","43","","28","","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.3119007330388","","10846035727","0.006","10661567","606","34","1","20901750","0.0","0.028","0.0","10661567","minimize","0","1291","1212","","1874759367","1212","49","14004","1199.729","0.05","","0.267442","2512","results_filter","64","","","","14070","64","","","","10240114","1"
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.40767051465809345","","328","","","","18","","","","","","80","minimize","0","36","","","","","","125","0.010682","","","0.166048","","results_filter","","","","","","52","","18","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","280.1231889948249","49","420598036","","","608","34","0","","","0.020503","","3059893","minimize","0","1289","","0","","1216","1838","","279.412511","","1216","0.257587","1281","results_filter","","8","3314980","complete","","57","0","","","","68"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.8885004557669163","29","3529907","","","180","34","0","","","0.009603","","40994","minimize","0","395","","0","","360","467","","1.455685","","360","0.196088","391","results_filter","","4","45961","complete","","33","0","","","","3"
"chuffed","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.515353025868535","","435665","0.018","2065","180","18","4","4341","0.0","0.014","0.0","2065","minimize","0","637","600","","234209878","600","37","7788","0.044","0.02","","0.212724","1242","results_filter","52","","","","7842","52","","","","2147","4"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.755556721240282","29","4047861","","","180","34","1528","","","0.009552","","28658","minimize","0","395","","0","","360","389","","1.324295","","360","0.194088","391","results_filter","","4","19103","complete","","33","25876","","","","1"
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.43321417458355427","","647","","","","19","","","","","","129","minimize","0","36","","","","","","178","0.011316","","","0.180927","","results_filter","","","","","","52","","19","","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4434073828160763","32","83669","","","127","10","0","","","0.010613","","605","minimize","0","532","","0","","508","631","","0.030191","","508","0.178046","531","results_filter","","1","1194","complete","","48","2265","","","","2"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6454883217811584","32","84236","","","127","15","26","","","0.008297","","888","minimize","0","334","","0","","310","362","","0.03229","","310","0.182744","333","results_filter","","1","1260","complete","","33","911","","","","3"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.6325686499476433","32","60116","","","127","15","0","","","0.008248","","687","minimize","0","334","","0","","310","362","","0.028306","","310","0.189869","333","results_filter","","1","990","complete","","33","808","","","","3"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","17.58910197019577","97","74993885","","","608","11","10387","","","0.034006","","234283","minimize","0","2505","","0","","2432","3091","","17.040143","","2432","0.252195","2497","results_filter","","8","270156","complete","","105","457601","","","","3"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.270552184432745","35","2896363","","","336","28","575","","","0.01339","","11627","minimize","0","727","","0","","672","707","","0.557268","","672","0.229658","719","results_filter","","8","11737","complete","","43","10772","","","","1"
"gecode","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3273567762226","","1423004199","","","","14","0","223908023","","0.005479","","111953976","minimize","0","75","","","","","96","","1199.83","","","0.1671","79","results_filter","","","","","105","105","","","1","","1"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.3926704414188862","18","670","","","20","4","0","","","0.005392","","9","minimize","0","92","","0","","80","110","","0.003407","","80","0.164565","89","results_filter","","3","90","complete","","26","34","","","","1"
"cp-sat","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.45435108430683613","","776","","","","15","","","","","","0","minimize","0","26","","","","","","32","0.012338","","","0.182815","","results_filter","","","","","","33","","15","","","3"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","860.8643885161728","97","1014488299","","","608","14","128598","","","0.034721","","5401399","minimize","0","2505","","0","","2432","3182","","860.302267","","2432","0.254177","2497","results_filter","","8","4102938","complete","","105","4635991","","","","3"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","56.74959314800799","34","58578610","","","241","35","0","","","0.011525","","840178","minimize","0","516","","0","","482","622","","56.129403","","482","0.209281","515","results_filter","","1","928828","complete","","35","0","","","","67"
"chuffed","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.46254469081759453","","114664","0.009","434","127","15","3","735","0.0","0.008","0.0","434","minimize","0","333","310","","2043178503","310","32","5241","0.017","0.01","","0.178001","645","results_filter","33","","","","5276","32","","","","213","3"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","25.54388685710728","97","68553376","","","608","10","0","","","0.035877","","484013","minimize","0","2505","","0","","2432","3323","","24.927957","","2432","0.268952","2497","results_filter","","8","841210","complete","","105","0","","","","92"
"chuffed","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6427569407969713","","879422","0.005","3921","336","28","1","5640","0.0","0.018","0.0","3921","minimize","0","733","672","","1392771078","672","35","10622","0.088","0.02","","0.228278","1414","results_filter","50","","","","10674","50","","","","1684","1"
"chuffed","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.43977526016533375","","967","0.004","7","20","6","1","49","0.0","0.004","0.0","7","minimize","0","93","80","","-507960212","80","20","3395","0.004","0.0","","0.17621","177","results_filter","27","","","","3424","28","","","","22","1"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.49704957753419876","35","48820","","","336","18","0","","","0.021206","","71","minimize","0","1399","","0","","1344","1663","","0.017646","","1344","0.216745","1391","results_filter","","8","4798","complete","","77","504","","","","3"
"cp-sat","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4113841336220503","","290","","","","11","","","","","","25","minimize","0","26","","","","","","70","0.008135","","","0.16551","","results_filter","","","","","","48","","11","","","1"
"cp-sat","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.39566548727452755","","206","","","","34","","","","","","1","minimize","0","37","","","","","","28","0.008948","","","0.164263","","results_filter","","","","","","33","","34","","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4755709767341614","24","145090","","","127","18","0","","","0.008062","","2029","minimize","0","278","","0","","254","278","","0.05801","","254","0.181001","277","results_filter","","1","254","complete","","25","2066","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","66.32972545363009","65","250858467","","","608","16","28713","","","0.033734","","977404","minimize","0","2505","","0","","2432","3065","","65.733145","","2432","0.278702","2497","results_filter","","8","790263","complete","","105","989699","","","","2"
"cp-sat","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.48284394294023514","","136541","","","","18","","","","","","1894","minimize","0","37","","","","","","178","0.092742","","","0.164033","","results_filter","","","","","","49","","18","","","4"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.4269343074411154","18","3314","","","20","4","0","","","0.005437","","19","minimize","0","92","","0","","80","207","","0.008205","","80","0.176926","89","results_filter","","3","546","complete","","26","0","","","","4"
"gecode","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","0.6860279217362404","","30651","","","","10","0","4267","","0.002625","","2087","minimize","0","75","","","","","96","","0.034063","","","0.19012","79","results_filter","","","","","105","105","","","2","","2"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7683319225907326","34","545634","","","241","19","0","","","0.013787","","1925","minimize","0","788","","0","","754","926","","0.283148","","754","0.207093","787","results_filter","","1","76643","complete","","52","0","","","","83"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5365219190716743","34","105956","","","241","19","7","","","0.013738","","572","minimize","0","788","","0","","754","991","","0.038202","","754","0.225827","787","results_filter","","1","4154","complete","","52","1142","","","","4"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4659108519554138","32","29442","","","127","10","3","","","0.010639","","104","minimize","0","532","","0","","508","738","","0.019028","","508","0.192491","531","results_filter","","1","3395","complete","","48","335","","","","5"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.9849049765616655","29","1138935","","","180","18","0","","","0.011701","","7786","minimize","0","635","","0","","600","740","","0.509723","","600","0.214833","631","results_filter","","4","66281","complete","","49","0","","","","84"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.7274911869317293","35","18487","","","336","21","0","","","0.019643","","30","minimize","0","1343","","0","","1288","1577","","0.010562","","1288","0.238959","1335","results_filter","","8","3046","complete","","69","163","","","","2"
"cp-sat","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.44252870976924896","","829","","","","15","","","","","","0","minimize","0","26","","","","","","32","0.012813","","","0.179053","","results_filter","","","","","","33","","15","","","3"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.3035879153758","49","724340254","","","608","18","0","","","0.033794","","6276565","minimize","0","2505","","0","","2432","2916","","1199.710677","","2432","0.252118","2497","results_filter","","8","8526","complete","","105","6979572","","","","3"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.7259903773665428","35","18487","","","336","21","0","","","0.019699","","30","minimize","0","1343","","0","","1288","1577","","0.01044","","1288","0.241521","1335","results_filter","","8","3046","complete","","69","163","","","","2"
"Huub_user","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5054076835513115","69","16359","","","336","17","0","","","0.021462","","21","minimize","0","1399","","0","","1344","1780","","0.010591","","1344","0.22152","1391","results_filter","","8","3432","complete","","77","182","","","","2"
"cp-sat","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.4031675849109888","","776","","","","15","","","","","","0","minimize","0","26","","","","","","32","0.012481","","","0.163827","","results_filter","","","","","","33","","15","","","3"
"gecode","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","8.653338300064206","","22885407","","","","15","0","3972395","","0.000554","","1986186","minimize","0","26","","","","","31","","8.229179","","","0.159657","29","results_filter","","","","","63","33","","","3","","3"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.6181716099381447","51","468475","","","241","18","1","","","0.014316","","2563","minimize","0","788","","0","","754","1161","","0.156136","","754","0.206189","787","results_filter","","1","9468","complete","","52","8068","","","","9"
"cp-sat","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.5650639776140451","","155","","","","10","","","","","","16","minimize","0","26","","","","","","58","0.00804","","","0.162788","","results_filter","","","","","","48","","10","","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.7007972691208124","32","223391","","","127","15","0","","","0.008304","","2747","minimize","0","334","","0","","310","434","","0.095","","310","0.184436","333","results_filter","","1","4334","complete","","33","0","","","","4"
"gecode","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.3666616678237915","","441","","","","10","0","75","","0.000559","","28","minimize","0","26","","","","","53","","0.004503","","","0.155385","30","results_filter","","","","","48","48","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","169.74032838828862","97","347465477","","","608","10","0","","","0.036301","","1484450","minimize","0","2505","","0","","2432","678","","169.113731","","2432","0.270687","2497","results_filter","","8","1739","complete","","105","3241315","","","","3"
"chuffed","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.46271706372499466","","165821","0.021","523","180","11","2","3937","0.0","0.015","0.0","523","minimize","0","757","720","","-676975391","720","47","8029","0.021","0.02","","0.194619","1482","results_filter","63","","","","8094","64","","","","3320","2"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.3238129131496","49","1189528811","","","608","34","0","","","0.022358","","5779891","minimize","0","1289","","0","","1216","1265","","1199.732577","","1216","0.248002","1281","results_filter","","8","1216","complete","","57","5857073","","","","1"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6165207307785749","24","84098","","","127","15","26","","","0.008508","","888","minimize","0","334","","0","","310","357","","0.033403","","310","0.183211","333","results_filter","","1","1251","complete","","33","896","","","","3"
"chuffed","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.4790571555495262","","277021","0.03","496","180","16","4","3816","0.0","0.014","0.0","496","minimize","0","637","600","","1934828679","600","41","7820","0.031","0.02","","0.19972","1242","results_filter","52","","","","7874","52","","","","3175","4"
"chuffed","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.9707877226174","","6166198842","0.429","12052168","606","14","1","23406357","0.0","0.042","0.0","12052168","minimize","0","2503","2424","","473477051","2424","83","15549","1199.725","0.05","","0.271663","4936","results_filter","111","","","","15662","112","","","","11354082","1"
"cp-sat","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","0.6622429918497801","","675","","","","32","","","","","","5","minimize","0","75","","","","","","64","0.011395","","","0.178182","","results_filter","","","","","","73","","32","","","1"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7033999841660261","45","230890","","","180","11","0","","","0.013437","","1832","minimize","0","755","","0","","720","915","","0.07847","","720","0.378028","751","results_filter","","4","1728","complete","","61","5418","","","","2"
"cp-sat","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","0.6050715632736683","","1042","","","","32","","","","","","13","minimize","0","75","","","","","","76","0.012216","","","0.172028","","results_filter","","","","","","73","","32","","","1"
"gecode","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.47192326188087463","","622","","","","17","0","106","","0.005763","","16","minimize","0","57","","","","","67","","0.009731","","","0.165983","61","results_filter","","","","","77","77","","","2","","2"
"cp-sat","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.41410535015165806","","2520","","","","18","","","","","","17","minimize","0","57","","","","","","85","0.018301","","","0.163213","","results_filter","","","","","","77","","18","","","3"
"gecode","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.3808412589132786","","562","","","","34","0","29","","0.001933","","4","minimize","0","37","","","","","28","","0.005869","","","0.16047","39","results_filter","","","","","89","33","","","1","","1"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","48.227326564490795","34","12577921","","","241","35","0","","","0.011518","","210953","minimize","0","516","","0","","482","517","","47.524031","","482","0.215753","515","results_filter","","1","3374","complete","","35","211548","","","","7"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","1.0281647313386202","35","968173","","","336","21","0","","","0.019659","","1437","minimize","0","1343","","0","","1288","1624","","0.323386","","1288","0.226746","1335","results_filter","","8","124168","complete","","69","0","","","","78"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","379.321445915848","49","703858758","","","608","18","116239","","","0.033231","","2719818","minimize","0","2505","","0","","2432","3062","","378.720871","","2432","0.265664","2497","results_filter","","8","2153483","complete","","105","2905258","","","","5"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.9080686531960964","45","627710","","","180","11","0","","","0.013434","","1600","minimize","0","755","","0","","720","1071","","0.245162","","720","0.200796","751","results_filter","","4","83104","complete","","61","0","","","","81"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","74.97132023237646","","686050958","0.005","835934","241","35","1","862653","0.0","0.012","0.0","835934","minimize","0","515","482","","-1703740897","482","34","7387","74.472","0.02","","0.220394","999","results_filter","35","","","","7424","34","","","","26685","1"
"cp-sat","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4105283711105585","","506","","","","11","","","","","","16","minimize","0","37","","","","","","88","0.011511","","","0.166964","","results_filter","","","","","","61","","11","","","2"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.805932218208909","35","815292","","","336","18","0","","","0.021157","","1372","minimize","0","1399","","0","","1344","1676","","0.294273","","1344","0.216387","1391","results_filter","","8","113651","complete","","77","0","","","","71"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.7456498127430677","32","223493","","","127","15","0","","","0.008324","","2748","minimize","0","334","","0","","310","442","","0.095427","","310","0.204997","333","results_filter","","1","4348","complete","","33","0","","","","4"
"cp-sat","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.39572741836309433","","110","","","","18","","","","","","0","minimize","0","26","","","","","","23","0.0079","","","0.163557","","results_filter","","","","","","25","","18","","","1"
"cp-sat","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.4006228875369","","567","","","","14","","","","","","54","minimize","0","75","","","","","","136","0.007342","","","0.168919","","results_filter","","","","","","105","","7","","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1200.6782233081758","","8217527094","0.017","20788549","606","32","1","21445144","0.0","0.029","0.0","20788549","minimize","0","1531","1452","","1315651","1452","61","14356","1199.733","0.05","","0.263432","2992","results_filter","80","","","","14438","80","","","","656498","1"
"gecode","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.3893789332360029","","90","","","","6","0","20","","0.000441","","3","minimize","0","14","","","","","19","","0.003555","","","0.16139","18","results_filter","","","","","26","26","","","1","","1"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.7559578865766525","51","476133","","","241","18","0","","","0.014347","","1482","minimize","0","788","","0","","754","958","","0.23941","","754","0.208687","787","results_filter","","1","80314","complete","","52","0","","","","84"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.24392363242805","35","2406055","","","336","28","0","","","0.01429","","15554","minimize","0","783","","0","","728","828","","0.606798","","728","0.216325","775","results_filter","","8","17728","complete","","51","0","","","","1"
