"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"gecode","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.36497247964143753","84","","52","6","1","","0.004755","","","43","","","","0","1","results","","0","528","","","","","","0.153969","","","","minimize","","","39","42","0.000656","36","","19"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.3582329861819744","","","33","10544","1","","0.382187","complete","","","0","","","0","","results","","0","778917","","","4","29","10789","0.2295","360","360","360","minimize","180","","391","389","0.009525","395","","34"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","52.159989807754755","","","105","944699","86","","51.590036","complete","","","0","","","0","","results","","0","167897290","","","8","65","0","0.261216","2432","2432","1294445","minimize","608","","2497","2972","0.033692","2505","","16"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","280.71184582449496","","","35","931718","7","","279.744654","complete","","","0","","","12233","","results","","0","103871316","","","1","34","613150","0.671706","482","482","519051","minimize","241","","515","649","0.012504","516","","35"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","1.1518451496958733","","","49","1709","86","","0.256877","complete","","","0","","","0","","results","","0","554815","","","4","45","0","0.265352","600","600","66683","minimize","180","","631","763","0.011843","635","","16"
"chuffed","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.4123801831156","14070","64","64","11897100","1","0.0","1199.743","","0.006","23377829","","14004","11897100","1","","results","0.05","0","12104162246","1967896662","11480646","","","","0.253552","1212","","","minimize","606","0.0","2512","49","0.028","1291","1212","34"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","298.31678835116327","","","57","3059893","68","","297.736019","complete","","","0","","","0","","results","","0","420598036","","","8","49","0","0.253513","1216","1216","3314980","minimize","608","","1281","1838","0.020696","1289","","34"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.421759044751525","","","33","40994","3","","1.445654","complete","","","0","","","0","","results","","0","3529907","","","4","29","0","0.230033","360","360","45961","minimize","180","","391","467","0.009536","395","","34"
"chuffed","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.4613719470798969","7842","52","52","2065","4","0.0","0.043","","0.018","4341","","7788","2065","4","","results","0.02","0","435665","-584275820","2147","","","","0.187412","600","","","minimize","180","0.0","1242","37","0.013","637","600","18"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.357896761968732","","","33","28658","1","","1.378275","complete","","","0","","","1528","","results","","0","4047861","","","4","29","25876","0.230073","360","360","19103","minimize","180","","391","389","0.009501","395","","34"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","1.9999363664537668","","","48","605","2","","0.03097","complete","","","0","","","0","","results","","0","83669","","","1","32","2265","0.43544","508","508","1194","minimize","127","","531","631","0.010497","532","","10"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.8572963960468769","","","33","888","3","","0.032526","complete","","","0","","","26","","results","","0","84236","","","1","32","911","0.186309","310","310","1260","minimize","127","","333","362","0.00936","334","","15"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4700759779661894","","","33","687","3","","0.029179","complete","","","0","","","0","","results","","0","60116","","","1","32","808","0.184136","310","310","990","minimize","127","","333","362","0.008782","334","","15"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","18.052928391844034","","","105","234283","3","","17.414535","complete","","","0","","","10387","","results","","0","74993885","","","8","97","457601","0.257019","2432","2432","270156","minimize","608","","2497","3092","0.032353","2505","","11"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.0178271383047104","","","43","11627","1","","0.560689","complete","","","0","","","575","","results","","0","2896363","","","8","35","10772","0.21407","672","672","11737","minimize","336","","719","707","0.013128","727","","28"
"gecode","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3670999202877","105","","105","113070159","1","","1199.84","","","226140390","","","","0","1","results","","0","1437389980","","","","","","0.157027","","","","minimize","","","79","96","0.001518","75","","14"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.9545429069548845","","","26","9","1","","0.004011","complete","","","0","","","0","","results","","0","670","","","3","18","34","0.423745","80","80","90","minimize","20","","89","110","0.009546","92","","4"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","808.2158566396683","","","105","5444793","3","","807.224188","complete","","","0","","","130824","","results","","0","1016160252","","","8","97","4847599","0.283054","2432","2432","3957257","minimize","608","","2497","3182","0.034249","2505","","14"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","53.28066890500486","","","35","825562","67","","52.326649","complete","","","0","","","0","","results","","0","58841887","","","1","34","0","0.670984","482","482","905875","minimize","241","","515","627","0.012555","516","","35"
"chuffed","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.9953014738857746","5276","33","32","434","3","0.0","0.015","","0.008","735","","5241","434","3","","results","0.01","0","114664","-30023361","213","","","","0.192193","310","","","minimize","127","0.0","645","32","0.009","333","310","15"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","25.96320091187954","","","105","484013","92","","25.389798","complete","","","0","","","0","","results","","0","68553376","","","8","97","0","0.261776","2432","2432","841216","minimize","608","","2497","3323","0.035011","2505","","10"
"chuffed","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6992338597774506","10674","50","50","3921","1","0.0","0.088","","0.005","5640","","10622","3921","1","","results","0.02","0","879422","-545458313","1684","","","","0.223252","672","","","minimize","336","0.0","1414","35","0.019","733","672","28"
"chuffed","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.47859077900648117","3424","27","28","7","1","0.0","0.003","","0.003","49","","3395","7","1","","results","0.0","0","967","-111897464","22","","","","0.170854","80","","","minimize","20","0.0","177","20","0.006","93","80","6"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0377586223185062","","","77","71","3","","0.01763","complete","","","0","","","0","","results","","0","48820","","","8","35","504","0.25071","1344","1344","4797","minimize","336","","1391","1663","0.020388","1399","","18"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.8495686408132315","","","25","2029","1","","0.058665","complete","","","0","","","0","","results","","0","145090","","","1","24","2066","0.186295","254","254","254","minimize","127","","277","278","0.008843","278","","18"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","64.64401718601584","","","105","892503","2","","64.07333","complete","","","0","","","30503","","results","","0","244512684","","","8","65","922457","0.261751","2432","2432","795848","minimize","608","","2497","3065","0.03347","2505","","16"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.957762748003006","","","26","19","4","","0.008805","complete","","","0","","","0","","results","","0","3314","","","3","18","0","0.42313","80","80","546","minimize","20","","89","207","0.009542","92","","4"
"gecode","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","0.44024247489869595","105","","105","2087","2","","0.033457","","","4267","","","","0","2","results","","0","30651","","","","","","0.161432","","","","minimize","","","79","96","0.002253","75","","10"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7794837914407253","","","52","1925","83","","0.289866","complete","","","0","","","0","","results","","0","545634","","","1","34","0","0.208304","754","754","76643","minimize","241","","787","926","0.013553","788","","19"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5020415913313627","","","52","655","4","","0.038975","complete","","","0","","","2","","results","","0","97443","","","1","34","1108","0.208743","754","754","3980","minimize","241","","787","991","0.013967","788","","19"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","1.9898124616593122","","","48","104","5","","0.018774","complete","","","0","","","3","","results","","0","29442","","","1","32","335","0.439238","508","508","3395","minimize","127","","531","738","0.010464","532","","10"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.9615179598331451","","","49","7786","84","","0.516547","complete","","","0","","","0","","results","","0","1138935","","","4","29","0","0.200378","600","600","66281","minimize","180","","631","740","0.011458","635","","18"
"Huub_free","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5104715954512358","","","69","30","2","","0.011077","complete","","","0","","","0","","results","","0","18487","","","8","35","163","0.224335","1288","1288","3046","minimize","336","","1335","1577","0.020057","1343","","21"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1201.5787063241005","","","105","6879225","3","","1199.456968","complete","","","0","","","0","","results","","0","784214253","","","8","49","7623899","0.512518","2432","2432","8527","minimize","608","","2497","2916","0.032582","2505","","18"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5123625081032515","","","69","30","2","","0.011276","complete","","","0","","","0","","results","","0","18487","","","8","35","163","0.222602","1288","1288","3046","minimize","336","","1335","1577","0.020269","1343","","21"
"Huub_user","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.8767517097294331","","","77","21","2","","0.010774","complete","","","0","","","0","","results","","0","16359","","","8","69","182","0.260278","1344","1344","3432","minimize","336","","1391","1780","0.020897","1399","","17"
"gecode","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","9.043121764436364","63","","33","1986186","3","","8.18288","","","3972395","","","","0","3","results","","0","22885407","","","","","","0.179908","","","","minimize","","","29","31","0.003255","26","","15"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","1.0090332757681608","","","52","2563","9","","0.165182","complete","","","0","","","1","","results","","0","468475","","","1","51","8068","0.218667","754","754","9462","minimize","241","","787","1161","0.014542","788","","18"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.501903023570776","","","33","2747","4","","0.095262","complete","","","0","","","0","","results","","0","223391","","","1","32","0","0.176396","310","310","4334","minimize","127","","333","434","0.008548","334","","15"
"gecode","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","1.4371178597211838","48","","48","28","1","","0.004814","","","75","","","","0","1","results","","0","441","","","","","","0.283961","","","","minimize","","","30","53","0.011782","26","","10"
"Huub_user","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","167.3526907786727","","","105","1484450","3","","166.661546","complete","","","0","","","0","","results","","0","347465477","","","8","97","3241315","0.289357","2432","2432","1739","minimize","608","","2497","678","0.034164","2505","","10"
"chuffed","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.648731293156743","8094","63","64","523","2","0.0","0.021","","0.021","3937","","8029","523","2","","results","0.02","0","165821","858349432","3320","","","","0.205435","720","","","minimize","180","0.0","1482","47","0.016","757","720","11"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2629394959658","","","57","6240590","1","","1199.725852","complete","","","0","","","0","","results","","0","1283086215","","","8","49","6324804","0.250152","1216","1216","1216","minimize","608","","1281","1265","0.020565","1289","","34"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5148924421519041","","","33","888","3","","0.032206","complete","","","0","","","26","","results","","0","84098","","","1","24","896","0.184909","310","310","1251","minimize","127","","333","357","0.00947","334","","15"
"chuffed","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5612645633518696","7874","52","52","496","4","0.0","0.03","","0.03","3816","","7820","496","4","","results","0.02","0","277021","1132352608","3175","","","","0.20435","600","","","minimize","180","0.0","1242","41","0.014","637","600","16"
"chuffed","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3205363396555","15662","111","112","13439418","1","0.0","1199.757","","0.435","26155041","","15549","13439418","1","","results","0.05","0","6896629225","1836527468","12715518","","","","0.241072","2424","","","minimize","606","0.0","4936","83","0.038","2503","2424","14"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.670501010492444","","","61","1832","2","","0.080701","complete","","","0","","","0","","results","","0","230890","","","4","45","5418","0.332349","720","720","1728","minimize","180","","751","915","0.013282","755","","11"
"gecode","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.45825183391571045","77","","77","16","2","","0.007632","","","106","","","","0","2","results","","0","622","","","","","","0.160153","","","","minimize","","","61","67","0.001547","57","","17"
"gecode","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.0876022949814796","89","","33","4","1","","0.026685","","","29","","","","0","1","results","","0","562","","","","","","0.195856","","","","minimize","","","39","28","0.002712","37","","34"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","47.711153380572796","","","35","210953","7","","46.836731","complete","","","0","","","0","","results","","0","12577921","","","1","34","211548","0.222795","482","482","3374","minimize","241","","515","517","0.011353","516","","35"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.8659523949027061","","","69","1437","78","","0.34928","complete","","","0","","","0","","results","","0","968173","","","8","35","0","0.22206","1288","1288","124168","minimize","336","","1335","1624","0.020238","1343","","21"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","418.5320334471762","","","105","2719818","5","","416.42267","complete","","","0","","","116239","","results","","0","703858758","","","8","49","2905258","0.511074","2432","2432","2153490","minimize","608","","2497","3064","0.033295","2505","","18"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.8624663725495338","","","61","1600","81","","0.252518","complete","","","0","","","0","","results","","0","627710","","","4","45","0","0.199165","720","720","83104","minimize","180","","751","1071","0.014178","755","","11"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","73.5602012053132","7424","35","34","835934","1","0.0","72.902","","0.005","862653","","7387","835934","1","","results","0.02","0","686050958","2141105564","26685","","","","0.211401","482","","","minimize","241","0.0","999","34","0.012","515","482","35"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","2.3440842889249325","","","77","1372","71","","0.299687","complete","","","0","","","0","","results","","0","815292","","","8","35","0","0.473713","1344","1344","113651","minimize","336","","1391","1676","0.020662","1399","","18"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5624815989285707","","","33","2748","4","","0.096913","complete","","","0","","","0","","results","","0","223493","","","1","32","0","0.18624","310","310","4348","minimize","127","","333","442","0.008668","334","","15"
"chuffed","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1201.22839432396","14438","80","80","22219441","1","0.0","1199.645","","0.018","22919353","","14356","22219441","1","","results","0.05","0","8774976440","-555924771","699817","","","","0.353343","1452","","","minimize","606","0.0","2992","61","0.029","1531","1452","32"
"gecode","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.5020312611013651","26","","26","3","1","","0.003584","","","20","","","","0","1","results","","0","90","","","","","","0.289204","","","","minimize","","","18","19","0.00183","14","","6"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.8454339280724525","","","52","1482","84","","0.258811","complete","","","0","","","0","","results","","0","476133","","","1","51","0","0.213339","754","754","80314","minimize","241","","787","958","0.014572","788","","18"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.4985102154314518","","","51","15554","1","","0.610983","complete","","","0","","","0","","results","","0","2406055","","","8","35","0","0.559083","728","728","17728","minimize","336","","775","828","0.014713","783","","28"
