"configuration","problem","model","data_file","status","time","objective","baseMem","flatBoolConstraints","boolVariables","flatIntConstraints","trailMem","userDecisions","variables","eliminatedImplications","peakMem","solveTime","run","flatBoolVars","flatTime","evaluatedReifiedConstraints","method","peakDepth","propagations","failures","intVariables","blockType","flatIntVars","evaluatedHalfReifiedConstraints","nSolutions","restarts","objectiveBound","paths","propagators","oracleDecisions","unifiedVariables","extractedViews","intVars","randomSeed","solutions","initTime","backjumps","nogoods","nodes"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.6439468655735254","","","3465","","12001","","22107","","36","","2.57883","results_rect","10980","0.45366","7092","satisfy","84","2383479","22025","85","complete","4015","684","1","0","","0","971","65","0","11016","","","","0.122598","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.3576832059770823","","","3762","","12901","","2606","","38","","0.46199","results_rect","11780","0.454668","8056","satisfy","61","159504","3409","91","complete","4543","76","1","27","","0","387","1067","0","12502","","","","0.126859","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","264.58394942153245","","","11745","","38729","","660123","","58","","262.016066","results_rect","36453","1.4344","24766","satisfy","2122","53441279","1114334","147","complete","13406","116","1","17157","","0","698","637891","0","38019","","","","0.393221","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3824789477512","","","132","","261","","","295","88","","1199.9","results_rect","176","0.103148","","satisfy","57","877770761","31796929","","","115","176","0","0","","0","395","","","","","","0","0.01996","","","63594100"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.394632534123957","","","8075","","27015","","37527","","50","","9.428376","results_rect","25175","1.01803","17150","satisfy","1191","2655165","51720","127","complete","9408","100","1","1419","","0","578","27507","0","26425","","","","0.266751","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","903.1078860331327","","0.0","437","20159","1284","0.05","","20306","46","0.0","902.662","results_rect","1242","0.134254","1104","satisfy","27","2540067808","5398849","","","121","92","1","0","","0","2333","","","","145","-768510090","","0.033","191405","5398849","5590276"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.534115926362574","","","4420","","15053","","2444","","40","","0.501132","results_rect","13820","0.544921","9440","satisfy","4420","189007","3849","97","complete","5283","80","1","27","","0","421","10513","0","14620","","","","0.146345","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6251004254445434","","","4420","","15053","","2444","","40","","0.505329","results_rect","13820","0.594538","9440","satisfy","4420","191815","3880","97","complete","5283","80","1","27","","0","421","10545","0","14620","","","","0.146083","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.969959307461977","","","3980","","13545","","26021","","40","","3.987408","results_rect","12420","0.498191","8480","satisfy","21","1124748","25940","93","complete","4759","80","1","0","","0","393","0","0","13140","","","","0.128715","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","3.9443706003949046","","","6302","","21316","","10393","","46","","2.575977","results_rect","19849","0.735379","12834","satisfy","986","2859528","17240","111","complete","7086","1104","1","465","","0","1501","11337","0","19803","","","","0.203783","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.5819036848843098","","","3312","","11390","","8052","","36","","1.717768","results_rect","10368","0.446458","7092","satisfy","369","612029","14564","85","complete","4015","72","1","283","","0","362","8165","0","11016","","","","0.113808","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.81557681504637","","","2400","","8350","","1356","","32","","0.12387","results_rect","7520","0.325723","5152","satisfy","2381","53437","1343","73","complete","2959","64","1","0","","0","306","2368","0","8032","","","","0.080281","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6656710961834","","","9585","","31769","","4183120","","54","","1198.608094","results_rect","29781","1.07116","20250","satisfy","19","155747512","4173679","135","complete","11022","108","0","0","","0","626","0","0","31131","","","","0.316773","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5265067247674","","","7344","","24610","","4688881","","48","","1198.942753","results_rect","22896","0.816657","15600","satisfy","16","155971689","4685190","121","complete","8575","96","0","0","","0","550","0","0","24048","","","","0.236688","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","26.52387895528227","","","4956","","16839","","122284","","42","","25.411761","results_rect","15498","0.594408","10584","satisfy","102","7012080","155291","103","complete","5905","84","1","4259","","0","447","62944","0","16380","","","","0.158184","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5374478558078","","","8075","","27015","","4555212","","50","","1198.733866","results_rect","25175","1.00472","17150","satisfy","16","152077015","4549436","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.259282","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","46.77947000414133","","","8075","","27015","","148844","","50","","45.068184","results_rect","25175","0.938886","17150","satisfy","1047","11349172","221111","127","complete","9408","100","1","6669","","0","578","134947","0","26425","","","","0.264597","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.577117403037846","","","3980","","13545","","2606","","40","","0.474692","results_rect","12420","0.527025","8480","satisfy","69","167109","3492","93","complete","4759","80","1","27","","0","393","1171","0","13140","","","","0.131169","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8788991579785943","","","1965","","6903","","1086","","30","","0.119041","results_rect","6165","0.324178","4230","satisfy","1955","64404","1337","67","complete","2458","60","1","79","","0","276","2433","0","6615","","","","0.0686","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","486.54339043051004","","0.0","407","18124","1184","0.05","","18264","44","0.0","486.066","results_rect","1144","0.134242","1012","satisfy","21","1416483095","3185175","","","115","88","1","0","","0","2143","","","","138","-162960166","","0.03","135910","3185175","3321103"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","60.34522469807416","","","9204","","30636","","169299","","52","","58.168171","results_rect","28652","1.14623","19500","satisfy","738","15223401","226801","133","complete","10643","104","1","7133","","0","620","145262","0","30004","","","","0.30862","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6849824599922","","","9585","","31769","","4261782","","54","","1198.596004","results_rect","29781","1.07728","20250","satisfy","19","159576693","4252340","135","complete","11022","108","0","0","","0","626","0","0","31131","","","","0.322911","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7897761203348637","","","2112","","7334","","1087","","32","","0.124627","results_rect","6592","0.305258","4512","satisfy","2101","64767","1339","69","complete","2603","64","1","79","","0","282","2581","0","7040","","","","0.076528","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.2620163010433","","","132","","261","","","295","88","","1199.9","results_rect","176","0.101185","","satisfy","57","866406751","31403071","","","115","176","0","0","","0","395","","","","","","0","0.008262","","","62806385"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","4.499942005611956","","","8375","","28214","","9964","","50","","2.674631","results_rect","26375","1.01894","17150","satisfy","1466","2386879","14661","127","complete","9408","1300","1","203","","0","1777","7764","0","26425","","","","0.270671","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.8180542066693306","","","3312","","11390","","10293","","36","","1.93486","results_rect","10368","0.420492","7092","satisfy","70","628272","14679","85","complete","4015","72","1","285","","0","362","5780","0","11016","","","","0.114587","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","5.873579160310328","","","6394","","21545","","14585","","46","","4.264677","results_rect","19964","0.786962","13616","satisfy","1062","1165659","19116","115","complete","7527","92","1","63","","0","511","6103","0","21022","","","","0.20564","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","190.53144334536046","","","9585","","31769","","558585","","54","","188.370185","results_rect","29781","1.19969","20250","satisfy","1710","44607582","682701","135","complete","11022","108","1","22021","","0","626","427337","0","31131","","","","0.319938","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2422938747332","","","156","","309","","","","104","","","results_rect","208","0.095684","","satisfy","","","","","","139","208","0","","","0","","","","","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5753468498588","","","6696","","22441","","4745631","","48","","1199.016583","results_rect","20856","0.761236","14208","satisfy","19","158256870","4741902","117","complete","7827","96","0","0","","0","517","0","0","21912","","","","0.218582","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","72.88287155050784","","","4956","","16839","","396397","","42","","71.740295","results_rect","15498","0.588677","10584","satisfy","20","15544157","395739","103","complete","5905","84","1","0","","0","447","0","0","16380","","","","0.158722","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","2.2795633440837264","","","2754","","9555","","8030","","34","","1.492909","results_rect","8636","0.363616","5916","satisfy","2755","656715","12956","79","complete","3383","68","1","611","","0","329","13886","0","9214","","","","0.094412","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","60.692629798315465","","","12750","","41991","","149078","","60","","57.97803","results_rect","39570","1.50373","26880","satisfy","2005","11955313","230759","153","complete","14529","120","1","2385","","0","729","115256","0","41250","","","","0.414545","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","209.32497245352715","","","11745","","38729","","600800","","58","","206.903486","results_rect","36453","1.34643","24766","satisfy","2392","44613682","877310","147","complete","13406","116","1","17655","","0","698","463763","0","38019","","","","0.387005","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.365329254418612","","","8075","","27015","","37548","","50","","9.440669","results_rect","25175","1.03055","17150","satisfy","1191","2730122","52222","127","complete","9408","100","1","1419","","0","578","27884","0","26425","","","","0.269043","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.4955795565620065","","","4420","","15053","","2444","","40","","0.487294","results_rect","13820","0.535323","9440","satisfy","4420","192002","3898","97","complete","5283","80","1","27","","0","421","10561","0","14620","","","","0.142655","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5204284219071","","","6394","","21545","","4943747","","46","","1199.056473","results_rect","19964","0.73485","13616","satisfy","19","164833847","4939794","115","complete","7527","92","0","0","","0","511","0","0","21022","","","","0.207066","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","730.9622518820688","","","6302","","21316","","3347556","","46","","729.529217","results_rect","19849","0.738361","12834","satisfy","157","370994358","3343244","111","complete","7086","1104","1","0","","0","1501","137","0","19803","","","","0.204732","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","4.0766536723822355","","","2754","","9555","","19450","","34","","3.361977","results_rect","8636","0.360116","5916","satisfy","2755","1255334","28112","79","complete","3383","68","1","868","","0","329","16287","0","9214","","","","0.093358","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","46.72210913896561","","","120","","237","","","267","80","","46.305","results_rect","160","0.109833","","satisfy","51","43906128","1386014","","","103","160","1","0","","0","359","","","","","","1","0.006994","","","2772093"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","23.178075332194567","","","4662","","15769","","141755","","42","","22.027829","results_rect","14532","0.571325","9912","satisfy","22","5425034","141482","99","complete","5523","84","1","0","","0","427","0","0","15330","","","","0.149347","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5855532577261","","","7344","","24610","","4890588","","48","","1198.877402","results_rect","22896","0.875466","15600","satisfy","16","163121043","4886746","121","complete","8575","96","0","0","","0","550","0","0","24048","","","","0.245328","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5989533830434","","","7620","","25713","","4964956","","48","","1198.866908","results_rect","24000","0.8702","15600","satisfy","16","557187462","4960920","121","complete","8575","1200","0","0","","0","1653","0","0","24048","","","","0.258506","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.513336199335754","","","2890","","10098","","5606","","34","","0.776152","results_rect","9180","0.369547","5916","satisfy","3297","928236","7589","79","complete","3383","612","1","213","","0","870","9631","0","9214","","","","0.095881","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","25.873721588402987","","","4956","","16839","","121103","","42","","24.627463","results_rect","15498","0.634962","10584","satisfy","109","6966031","154537","103","complete","5905","84","1","4181","","0","447","62973","0","16380","","","","0.167355","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","72.48800822161138","","","4956","","16839","","396985","","42","","71.290006","results_rect","15498","0.606161","10584","satisfy","21","15719345","396337","103","complete","5905","84","1","0","","0","447","0","0","16380","","","","0.164431","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.1604062505066","","","144","","283","","","317","96","","1199.91","results_rect","192","0.091947","","satisfy","57","819710628","29940062","","","123","192","0","0","","0","429","","","","","","0","0.003374","","","59880215"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2792122513056","","","168","","333","","","379","112","","1199.88","results_rect","224","0.113589","","satisfy","60","841294244","28842099","","","151","224","0","0","","0","503","","","","","","0","0.007443","","","57684210"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8575236555188894","","","2112","","7334","","1202","","32","","0.117566","results_rect","6592","0.309216","4512","satisfy","2094","53833","1188","69","complete","2603","64","1","0","","0","282","2080","0","7040","","","","0.075637","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","26.43504235614091","","","4956","","16839","","121232","","42","","25.311722","results_rect","15498","0.592453","10584","satisfy","99","7020783","154637","103","complete","5905","84","1","4143","","0","447","62709","0","16380","","","","0.161885","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2368010748178","","","150","","297","","","337","100","","1199.89","results_rect","200","0.109662","","satisfy","54","667317097","30308063","","","133","200","0","0","","0","449","","","","","","0","0.002525","","","60616326"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.5034066205844283","","","3686","","12672","","22157","","38","","2.620665","results_rect","11647","0.453681","7486","satisfy","98","2496056","22056","87","complete","4216","760","1","0","","0","1049","77","0","11609","","","","0.125786","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5747498236596584","","","3980","","13545","","2606","","40","","0.476169","results_rect","12420","0.524599","8480","satisfy","65","162051","3446","93","complete","4759","80","1","27","","0","393","1109","0","13140","","","","0.129268","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7438238915056","","","12750","","41991","","4316473","","60","","1198.198271","results_rect","39570","1.38431","26880","satisfy","18","179941440","4312827","153","complete","14529","120","0","0","","0","729","0","0","41250","","","","0.41312","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.4905762998387","","","6696","","22441","","4726087","","48","","1199.046759","results_rect","20856","0.738181","14208","satisfy","19","157652993","4722380","117","complete","7827","96","0","0","","0","517","0","0","21912","","","","0.212331","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.775857382454","","","12702","","42262","","4244592","","58","","1198.142795","results_rect","39846","1.4318","25984","satisfy","18","621248276","4241060","151","complete","14077","1740","0","0","","0","2346","0","0","39904","","","","0.423741","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7963004289194942","","","2400","","8350","","1305","","32","","0.139715","results_rect","7520","0.328494","5152","satisfy","2381","69152","1606","73","complete","2959","64","1","86","","0","306","2931","0","8032","","","","0.083641","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.3285403102636","","0.0","500","25053","1496","0.05","","25214","50","0.0","1199.849","results_rect","1450","0.147294","1300","satisfy","17","3131117801","6266548","","","133","100","0","0","","0","2737","","","","159","2076694269","","0.042","310269","6266548","6576826"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.772875214926898","","","8424","","28052","","34957","","52","","8.994156","results_rect","26208","0.97346","17836","satisfy","1536","2546171","48763","129","complete","9755","104","1","1585","","0","584","28520","0","27456","","","","0.273401","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","21.807371826842427","","","4610","","15812","","141707","","40","","20.715443","results_rect","14580","0.57933","9440","satisfy","102","16362248","141432","97","complete","5283","840","1","0","","0","1179","81","0","14620","","","","0.153037","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8375193206593394","","","2400","","8350","","1356","","32","","0.130616","results_rect","7520","0.333003","5152","satisfy","2381","54125","1343","73","complete","2959","64","1","0","","0","306","2368","0","8032","","","","0.085791","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4661145843565464","","","4170","","14304","","2606","","40","","0.434393","results_rect","13180","0.539213","8480","satisfy","213","450513","3326","93","complete","4759","840","1","27","","0","1151","1137","0","13140","","","","0.140797","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.3609137125313","","0.0","500","23487","1494","0.05","","23644","50","0.0","1199.849","results_rect","1450","0.148765","1300","satisfy","16","4049512842","7801856","","","129","100","0","0","","0","2733","","","","155","1191371420","","0.038","249658","7801856","8051520"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","773.7913825493306","","","5764","","19460","","3364646","","44","","772.49769","results_rect","17996","0.671163","12276","satisfy","21","111034846","3360425","109","complete","6803","88","1","0","","0","484","0","0","18964","","","","0.181189","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","67.62624743953347","","","5445","","18526","","389771","","44","","66.312366","results_rect","17182","0.652063","11088","satisfy","142","48608351","389065","105","complete","6161","1012","1","0","","0","1376","119","0","17138","","","","0.1793","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8202940374612808","","","2567","","8841","","1307","","34","","0.149952","results_rect","8007","0.337641","5474","satisfy","2548","69320","1606","75","complete","3124","68","1","86","","0","312","3096","0","8517","","","","0.084915","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.7743171341717243","","","3515","","11989","","22235","","38","","2.840427","results_rect","10963","0.424809","7486","satisfy","21","835200","22159","87","complete","4216","76","1","0","","0","368","0","0","11609","","","","0.119768","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","ALL_SOLUTIONS","2.013807856477797","0","","120","268","235","","","","80","","1.75938","results_rect","160","0.094126","","satisfy","","2218021","31990","","","99","160","1","","0","0","","","","","","","","","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.7129759527742863","","","3515","","11989","","10305","","38","","1.724497","results_rect","10963","0.464726","7486","satisfy","327","603065","14334","87","complete","4216","76","1","287","","0","368","5579","0","11609","","","","0.117315","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","68.02063273172826","","","5166","","17678","","390466","","42","","66.764438","results_rect","16338","0.643442","10584","satisfy","130","46629806","389785","103","complete","5905","924","1","0","","0","1286","112","0","16380","","","","0.172191","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","255.9856210174039","","","126","","249","","","281","84","","255.703","results_rect","168","0.091892","","satisfy","61","207704890","7122281","","","109","168","1","0","","0","377","","","","","","1","0.029614","","","14244726"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","120.53018385916948","","","9585","","31769","","329327","","54","","118.522723","results_rect","29781","1.07459","20250","satisfy","1710","27639267","446367","135","complete","11022","108","1","10827","","0","626","263322","0","31131","","","","0.314848","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.7678945036605","","","3980","","13545","","25971","","40","","3.808915","results_rect","12420","0.513096","8480","satisfy","21","1127329","25892","93","complete","4759","80","1","0","","0","393","0","0","13140","","","","0.129248","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","26.921783634461462","","","4956","","16839","","121232","","42","","25.777162","results_rect","15498","0.611644","10584","satisfy","99","7020783","154637","103","complete","5905","84","1","4143","","0","447","62709","0","16380","","","","0.164144","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.431307491846383","","","3762","","12901","","24604","","38","","3.438993","results_rect","11780","0.493743","8056","satisfy","20","997836","24523","91","complete","4543","76","1","0","","0","387","0","0","12502","","","","0.124353","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","180.9615617878735","","","12750","","41991","","512697","","60","","178.399481","results_rect","39570","1.38865","26880","satisfy","2005","34870226","656692","153","complete","14529","120","1","12835","","0","729","302828","0","41250","","","","0.423917","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","73.66568407882005","","","4956","","16839","","396683","","42","","72.543505","results_rect","15498","0.584398","10584","satisfy","20","15109625","396068","103","complete","5905","84","1","0","","0","447","0","0","16380","","","","0.162233","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2353915441781","","","180","","355","","","","120","","","results_rect","240","0.096318","","satisfy","","","","","","159","240","0","","","0","","","","","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.6240431731567","","","9204","","30636","","4290105","","52","","1198.645698","results_rect","28652","1.04264","19500","satisfy","19","159465068","4280547","133","complete","10643","104","0","0","","0","620","0","0","30004","","","","0.30955","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8861345257610083","","","2567","","8841","","1307","","34","","0.148579","results_rect","8007","0.340748","5474","satisfy","2548","69320","1606","75","complete","3124","68","1","86","","0","312","3096","0","8517","","","","0.086498","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.5625932095572352","","","2934","","10085","","9413","","36","","1.839524","results_rect","9162","0.366088","6264","satisfy","2937","720750","15989","81","complete","3561","72","1","437","","0","335","14925","0","9738","","","","0.095506","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6893630959094","","","8424","","28052","","4363727","","52","","1198.702137","results_rect","26208","1.02085","17836","satisfy","16","146617486","4357869","129","complete","9755","104","0","0","","0","584","0","0","27456","","","","0.275432","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.295350534841418","","","3762","","12901","","24957","","38","","3.345907","results_rect","11780","0.459431","8056","satisfy","20","1036859","24881","91","complete","4543","76","1","0","","0","387","0","0","12502","","","","0.123388","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.8456344474107027","","","5214","","17603","","2587","","44","","0.706038","results_rect","16258","0.610062","11088","satisfy","75","204467","4252","105","complete","6161","88","1","83","","0","453","2454","0","17138","","","","0.167929","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","ALL_SOLUTIONS","42.61468981951475","0","","126","435","249","","","","84","","42.2279","results_rect","168","0.126366","","satisfy","","51523272","620301","","","109","168","1","","0","0","","","","","","","","","","",""
