"configuration","problem","model","data_file","status","time","objective","baseMem","flatBoolConstraints","boolVariables","flatIntConstraints","trailMem","userDecisions","variables","eliminatedImplications","peakMem","solveTime","run","flatBoolVars","flatTime","evaluatedReifiedConstraints","method","peakDepth","propagations","failures","intVariables","blockType","flatIntVars","evaluatedHalfReifiedConstraints","nSolutions","restarts","objectiveBound","paths","propagators","oracleDecisions","unifiedVariables","extractedViews","intVars","randomSeed","solutions","initTime","backjumps","nogoods","nodes"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","10.29894126020372","","","8075","","27015","","33364","","50","","8.556431","results_rect","25175","0.959148","17150","satisfy","541","2390131","47925","127","complete","9408","100","1","1421","","0","578","27370","0","26425","","","","0.264522","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.770475952886","","","9936","","33172","","4276468","","54","","1198.509572","results_rect","31185","1.14945","20250","satisfy","19","599829989","4266832","135","complete","11022","1512","0","0","","0","2029","0","0","31131","","","","0.338005","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","22.532400719821453","","","4420","","15053","","141890","","40","","21.403222","results_rect","13820","0.596557","9440","satisfy","21","5436794","141625","97","complete","5283","80","1","0","","0","421","0","0","14620","","","","0.148481","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.722151966765523","","","2070","","7322","","1196","","30","","0.104516","results_rect","6585","0.302759","4230","satisfy","2413","129717","1183","67","complete","2458","480","1","0","","0","692","2400","0","6615","","","","0.073116","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","13.539840575307608","","","120","","235","","","261","80","","13.3346","results_rect","160","0.086048","","satisfy","42","16314832","296659","","","99","160","1","0","","0","357","","","","","","1","0.002026","","","593347"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.638375566341","","0.0","533","25858","1606","0.05","","26022","52","0.0","1199.839","results_rect","1560","0.158752","1404","satisfy","17","3451186269","6547719","","","135","104","0","0","","0","2947","","","","162","-148373404","","0.057","316894","6547719","6864623"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.886427286081016","","","3515","","11989","","10302","","38","","1.91918","results_rect","10963","0.4404","7486","satisfy","141","634903","14633","87","complete","4216","76","1","285","","0","368","5811","0","11609","","","","0.11858","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7630909560248","","","12750","","41991","","4292754","","60","","1198.240982","results_rect","39570","1.34347","26880","satisfy","18","179076354","4289127","153","complete","14529","120","0","0","","0","729","0","0","41250","","","","0.413241","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","27.978112811222672","","","5764","","19460","","118461","","44","","26.742352","results_rect","17996","0.660415","12276","satisfy","5769","8143921","148721","109","complete","6803","88","1","6949","","0","484","105820","0","18964","","","","0.180596","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.617644477635622","","","2934","","10085","","24739","","36","","2.829315","results_rect","9162","0.382086","6264","satisfy","18","886680","24668","81","complete","3561","72","1","0","","0","335","0","0","9738","","","","0.098095","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.6031742747873","","","7344","","24610","","4937408","","48","","1198.931678","results_rect","22896","0.827341","15600","satisfy","16","164859866","4933524","121","complete","8575","96","0","0","","0","550","0","0","24048","","","","0.239722","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","2.1983082378283143","","","5214","","17603","","2587","","44","","0.755615","results_rect","16258","0.684087","11088","satisfy","73","204353","4250","105","complete","6161","88","1","83","","0","453","2450","0","17138","","","","0.17084","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.7316674226895","","","10444","","34575","","3857785","","56","","1198.381321","results_rect","32452","1.27013","22064","satisfy","16","154122285","3855275","141","complete","11991","112","0","0","","0","655","0","0","33908","","","","0.345332","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8475662628188729","","","1965","","6903","","1197","","30","","0.107669","results_rect","6165","0.313713","4230","satisfy","1948","53203","1184","67","complete","2458","60","1","0","","0","276","1935","0","6615","","","","0.068696","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.824782111682","","","10822","","36086","","3911075","","56","","1198.39442","results_rect","33964","1.23503","22064","satisfy","16","549100126","3908663","141","complete","11991","1624","0","0","","0","2166","0","0","33908","","","","0.366094","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","21.16080761794001","","","4420","","15053","","141840","","40","","20.150844","results_rect","13820","0.534221","9440","satisfy","21","5432923","141576","97","complete","5283","80","1","0","","0","421","0","0","14620","","","","0.13897","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.006030431948602","","","5764","","19460","","9255","","44","","2.705905","results_rect","17996","0.66201","12276","satisfy","5769","1044929","17994","109","complete","6803","88","1","563","","0","484","24456","0","18964","","","","0.177601","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","6.66012361086905","","","9936","","33172","","15311","","54","","4.51595","results_rect","31185","1.13946","20250","satisfy","2631","4047117","21751","135","complete","11022","1512","1","155","","0","2029","12382","0","31131","","","","0.323528","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.577447053976357","","","2934","","10085","","24749","","36","","2.715946","results_rect","9162","0.383475","6264","satisfy","19","907862","24680","81","complete","3561","72","1","0","","0","335","0","0","9738","","","","0.101384","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7536701802164","","","12296","","40639","","4378453","","58","","1198.174516","results_rect","38222","1.42405","25984","satisfy","18","182366434","4374789","151","complete","14077","116","0","0","","0","723","0","0","39904","","","","0.400612","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.3245899323374","","","144","","285","","","","96","","","results_rect","192","0.103655","","satisfy","","","","","","127","192","0","","","0","","","","","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7596948109567","","","12296","","40639","","4288891","","58","","1198.192028","results_rect","38222","1.39265","25984","satisfy","18","179190483","4285309","151","complete","14077","116","0","0","","0","723","0","0","39904","","","","0.413102","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","6.427046112716198","","","10395","","34788","","14601","","54","","4.216972","results_rect","32670","1.14501","21276","satisfy","1873","3416484","19403","139","complete","11593","1512","1","85","","0","2052","7842","0","32724","","","","0.340363","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.4517832854763","","","6696","","22441","","4836601","","48","","1199.035662","results_rect","20856","0.745905","14208","satisfy","19","161814117","4832743","117","complete","7827","96","0","0","","0","517","0","0","21912","","","","0.217168","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.3132089124992","","","162","","321","","","","108","","","results_rect","216","0.09798","","satisfy","","","","","","145","216","0","","","0","","","","","","","","","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.3321752529591322","","0.0","272","8397","742","0.02","","8498","34","0.0","0.059","results_rect","714","0.105317","612","satisfy","15","545203","1182","","","81","68","1","0","","0","1309","","","","99","-399906758","","0.015","38","1182","1236"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.3223571171984","","","174","","343","","","","116","","","results_rect","232","0.105194","","satisfy","","","","","","153","232","0","","","0","","","","","","","","","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","223.03406092710793","","","6394","","21545","","650223","","46","","221.530241","results_rect","19964","0.750708","13616","satisfy","1062","45102047","991053","115","complete","7527","92","1","14983","","0","511","533751","0","21022","","","","0.211312","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","12.625793496146798","","","10044","","33385","","37652","","54","","10.556511","results_rect","31266","1.12747","21276","satisfy","1873","2721760","47567","139","complete","11593","108","1","925","","0","649","21073","0","32724","","","","0.33154","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.517115894705","","","8075","","27015","","4453010","","50","","1198.793737","results_rect","25175","0.940487","17150","satisfy","16","149374733","4447354","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.263082","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6986110452563","","","9585","","31769","","4344588","","54","","1198.558321","results_rect","29781","1.12403","20250","satisfy","19","162052781","4334792","135","complete","11022","108","0","0","","0","626","0","0","31131","","","","0.313809","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8060987452045083","","","2520","","8829","","1305","","32","","0.136238","results_rect","8000","0.3405","5152","satisfy","2939","176506","1606","73","complete","2959","544","1","86","","0","782","3489","0","8032","","","","0.086374","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6593851335347","","","10395","","34788","","3954682","","54","","1198.450063","results_rect","32670","1.19474","21276","satisfy","16","538007250","3952253","139","complete","11593","1512","0","0","","0","2052","0","0","32724","","","","0.353401","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8360427087172866","","","2400","","8350","","1305","","32","","0.146174","results_rect","7520","0.330596","5152","satisfy","2381","69152","1606","73","complete","2959","64","1","86","","0","306","2931","0","8032","","","","0.07957","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.8270555594936","","","11312","","37440","","4329727","","56","","1198.38172","results_rect","35168","1.24481","23912","satisfy","18","172260358","4321840","145","complete","12975","112","0","0","","0","692","0","0","36736","","","","0.374023","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.737387846224","","","11745","","38729","","4274410","","58","","1198.184742","results_rect","36453","1.42476","24766","satisfy","18","169866864","4266172","147","complete","13406","116","0","0","","0","698","0","0","38019","","","","0.386623","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.7277444545179605","","","4420","","15053","","2443","","40","","0.501514","results_rect","13820","0.576067","9440","satisfy","4420","182826","3790","97","complete","5283","80","1","27","","0","421","10300","0","14620","","","","0.146549","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.4602880105376","","","6696","","22441","","4898956","","48","","1199.021358","results_rect","20856","0.757046","14208","satisfy","19","163067493","4894995","117","complete","7827","96","0","0","","0","517","0","0","21912","","","","0.220506","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.338091773912311","","","3762","","12901","","24809","","38","","3.362221","results_rect","11780","0.465064","8056","satisfy","20","1026648","24734","91","complete","4543","76","1","0","","0","387","0","0","12502","","","","0.124059","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.5857178047299385","","","4420","","15053","","2444","","40","","0.497949","results_rect","13820","0.599649","9440","satisfy","4420","192002","3898","97","complete","5283","80","1","27","","0","421","10561","0","14620","","","","0.142513","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","758.6130811609328","","","6049","","20305","","3365785","","46","","757.215045","results_rect","18837","0.686777","12834","satisfy","22","110763050","3361582","111","complete","7086","92","1","0","","0","490","0","0","19803","","","","0.195454","","",""
