"configuration","problem","model","data_file","status","time","variables","failures","evaluatedHalfReifiedConstraints","restarts","intVariables","paths","baseMem","objectiveBound","nodes","flatBoolConstraints","blockType","method","eliminatedImplications","trailMem","extractedViews","nSolutions","run","objective","optTime","propagators","peakMem","error","solveTime","propagations","intVars","initTime","unifiedVariables","evaluatedReifiedConstraints","flatIntVars","flatIntConstraints","flatBoolVars","backjumps","nogoods","flatTime","randomSeed","boolVariables","userDecisions","peakDepth","solutions","oracleDecisions"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","SATISFIED","1200.5211038691923","","1076953","","0","6097","0","","","","9500","complete","minimize","1000","","7000","7","results_prod_new","S(12)","","13063","","","1198.713734","826615447","","0.26862","0","19600","6100","15564","16100","","","1.05574","","","0","5550","","48728596"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","2.807546269148588","","586","18000","0","1547","0","","","","5350","complete","minimize","250","","1750","5","results_prod_new","S(6)","","21240","","","0.272506","1693623","","0.299326","0","4830","1550","21891","21980","","","1.53716","","","0","36450","","188627"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1201.9582855822518","","95073","","0","30197","0","","","","48750","complete","minimize","5000","","35000","4","results_prod_new","S(18)","","67593","","","1192.68548","191133191","","1.546759","0","101500","30200","78844","82750","","","5.82493","","","0","25177","","9952409"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","546.3491008505225","","19999","147000","","","0","","8","","34000","","minimize","1000","","","13","results_prod_new","8","","","","","526.548","72074710","","","","13300","6100","161644","160400","","","13.2994","","160621","","","",""
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","51.78043856844306","","12909","","0","6097","0","","","","9000","complete","minimize","1000","","7000","6","results_prod_new","S(6)","","11958","","","49.856001","13447085","","0.326372","0","18200","6100","14959","15200","","","1.06334","","","0","26470","","1568606"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","176.63126259297132","","46738","","0","6097","0","","","","9500","complete","minimize","1000","","7000","8","results_prod_new","S(8)","","13063","","","174.71383","79476986","","0.271634","0","19600","6100","15564","16100","","","1.07253","","","0","14125","","5450999"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.777872777543962","","639","18000","0","1547","0","","","","5200","complete","minimize","250","","1750","1","results_prod_new","S(10)","","20907","","","0.2937","1739344","","0.300698","0","4410","1550","21708","21710","","","1.558","","","0","37074","","63958"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.1249620998278","","279462","","0","13647","0","","","","21750","complete","minimize","2250","","15750","8","results_prod_new","S(13)","","30098","","","1197.114335","420165186","","0.618878","0","45150","13650","35349","36900","","","2.35133","","","0","14239","","19796420"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","7.007827077060938","","8194","","151","6097","0","","","","9800","complete","minimize","1000","","7000","8","results_prod_new","S(13)","","13726","","","5.145045","4946054","","0.25701","0","20440","6100","15927","16640","","","1.11943","","","0","12369","","214924"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.2198024466634","","1087489","","0","30197","0","","","","49000","complete","minimize","5000","","35000","0","results_prod_new","","","68144","","","1193.40949","125040894","","1.437426","0","102200","30200","79145","83200","","","5.33524","","","0","14852","","2075243"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","102.64995727408677","","10837","499500","124","13647","0","","","","104250","complete","minimize","2250","","15750","4","results_prod_new","S(8)","","527913","","","39.959341","277173683","","8.503357","0","43050","13650","533914","535050","","","41.514","","","0","1014498","","5627729"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","17.91685752850026","","10266","","158","13647","0","","","","21900","complete","minimize","2250","","15750","9","results_prod_new","S(20)","","30429","","","13.467912","9746336","","0.539345","0","45570","13650","35530","37170","","","2.73531","","","0","24839","","562436"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.205427821725607","","2438","","0","1547","0","","","","2350","complete","minimize","250","","1750","5","results_prod_new","S(4)","","3250","","","0.531496","594211","","0.064978","0","4830","1550","3901","3980","","","0.318516","","","0","3386","","54089"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","UNKNOWN","1200.791325150989","21550","1269290","18000","0","","0","","","2539130","4250","","minimize","250","","","0","results_prod_new","","","24265","","","1198.46","2080513642","","0.207246","","1750","1550","20772","20000","","","1.54298","","","","573","0",""
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.2233510604128","","761861","","0","30197","0","","","","48750","complete","minimize","5000","","35000","0","results_prod_new","","","67593","","","1192.765508","102030132","","1.612092","0","101500","30200","78844","82750","","","5.88537","","","0","25115","","1662262"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","613.9742278400809","","136956","","31","6097","0","","","","9500","complete","minimize","1000","","7000","5","results_prod_new","S(16)","","13063","","","612.139468","391456447","","0.260071","0","19600","6100","15564","16100","","","1.04752","","","0","14944","","26763903"
