"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","14.184010154567659","0","0","0","","35","34","results_filter","","","36","0.00686","35","0.174231","34","35","minimize","1","1334002","13.705951","6","150350","complete","0","150914"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5124762365594506","0","0","0","","33","42","results_filter","","","37","0.006019","16","0.220566","45","49","minimize","4","25624","0.056603","3","1124","complete","0","4827"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7437523473054171","0","9","0","","33","55","results_filter","","","37","0.006536","15","0.175573","45","61","minimize","4","11833","0.040856","2","862","complete","363","2884"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.6573381079360843","0","0","0","","33","47","results_filter","","","37","0.007191","11","0.189209","45","61","minimize","4","21998","0.136195","2","6056","complete","0","9348"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.0841779299080372","0","0","0","","33","29","results_filter","","","37","0.005566","34","0.212041","29","33","minimize","4","101701","0.351809","1","10642","complete","0","10973"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.5089425696060061","0","0","0","720","751","916","results_filter","180","720","755","0.014686","11","0.217169","45","61","minimize","4","133191","0.037861","2","1185","complete","1737","3558"
"Huub_user_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.922452449798584","0","0","0","","11","20","results_filter","","","14","0.004737","4","0.231577","18","26","minimize","3","95","0.003505","1","7","complete","0","32"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","91.06730496697128","0","29057","0","","67","82","results_filter","","","75","0.008013","32","0.358235","49","73","minimize","8","14040781","88.236891","1","608652","complete","482351","823189"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","22.63480754941702","0","0","0","","35","34","results_filter","","","36","0.006974","35","0.183894","34","35","minimize","1","1476525","22.11523","6","217283","complete","0","217764"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.6074137855321169","0","0","0","","25","32","results_filter","","","26","0.006899","15","0.170411","32","33","minimize","1","6034","0.020105","3","621","complete","0","739"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5082568787038326","0","0","0","","25","32","results_filter","","","26","0.005416","15","0.174068","32","33","minimize","1","6034","0.020856","3","621","complete","0","739"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4691223846748471","0","0","0","","25","27","results_filter","","","26","0.005518","15","0.173216","24","33","minimize","1","5773","0.022178","3","621","complete","0","724"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.41685828287154436","0","0","0","","49","67","results_filter","","","57","0.006301","17","0.16934","69","77","minimize","8","772","0.01096","2","19","complete","0","180"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.1232245862483978","0","339","0","","49","35","results_filter","","","57","0.006919","28","0.206028","35","43","minimize","8","102870","0.282883","1","5601","complete","3922","6419"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.313434031792","0","0","0","","67","74","results_filter","","","75","0.00754","18","0.182492","49","105","minimize","8","57920081","1199.818845","5","7753626","complete","0","9488408"
