"configuration","problem","model","data_file","status","time","flatBoolVars","evaluatedReifiedConstraints","flatIntVars","eliminatedImplications","extractedViews","flatIntConstraints","peakDepth","objective","userDecisions","intVariables","nSolutions","oracleDecisions","restarts","method","failures","flatBoolConstraints","unifiedVariables","propagators","propagations","initTime","solveTime","run","flatTime","paths","blockType"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","0.9864452760666609","3980","4830","1550","250","1750","3901","3459","S(4)","0","1547","6","35622","30","minimize","1149","2350","0","3250","342900","0.065608","0.313995","results_prod_new","0.315303","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","721.1186979068443","37710","46410","13650","2250","15750","35892","6630","S(13)","0","13647","8","11784752","0","minimize","1243071","22200","0","31091","485702177","0.574764","717.259375","results_prod_new","2.27914","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1200.5760593442246","16640","20440","6100","1000","7000","15927","2944","","0","6097","0","11463556","0","minimize","1195494","9800","0","13726","976047083","0.248831","1198.655069","results_prod_new","1.18981","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.234183914028","36900","45150","13650","2250","15750","35349","9449","","0","13647","0","817045","0","minimize","609791","21750","0","30098","26845748","0.631381","1197.17339","results_prod_new","2.44639","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","138.36744179017842","15200","18200","6100","1000","7000","14959","26596","S(6)","0","6097","7","3892133","91","minimize","13180","9000","0","11958","32924429","0.325607","136.342883","results_prod_new","1.15881","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.0485577061772","36900","45150","13650","2250","15750","35349","12711","S(13)","0","13647","8","14971298","0","minimize","364837","21750","0","30098","263474078","0.623053","1196.945363","results_prod_new","2.49626","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","12.179416060447693","37170","45570","13650","2250","15750","35530","27923","S(20)","0","13647","5","367330","0","minimize","11601","21900","0","30429","5562725","0.564669","8.174848","results_prod_new","2.46197","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","9.945133904926479","37170","45570","13650","2250","15750","35530","6278","S(20)","0","13647","4","173745","0","minimize","10927","21900","0","30429","3998311","0.532863","5.956879","results_prod_new","2.42603","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8260549390688539","3980","4830","1550","250","1750","3901","2959","S(6)","0","1547","5","18758","0","minimize","902","2350","0","3250","162831","0.057899","0.193328","results_prod_new","0.340472","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","1099.5334744267166","84100","103600","30200","5000","35000","79747","69702","S(17)","0","30197","24","13011405","13588","minimize","771047","49500","0","69246","547908879","1.305118","1090.162187","results_prod_new","5.84888","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","0.8716160748153925","3710","4410","1550","250","1750","3718","3756","S(10)","0","1547","1","20705","0","minimize","1369","2200","0","2917","224338","0.060569","0.289646","results_prod_new","0.316089","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","125.26905639655888","16100","19600","6100","1000","7000","15564","14714","S(8)","0","6097","6","4451225","200","minimize","19708","9500","0","13063","65929827","0.267033","123.447544","results_prod_new","1.09707","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","30.365707017481327","3980","4830","1550","250","1750","3901","3161","S(6)","0","1547","5","736802","0","minimize","160316","2350","0","3250","43291565","0.05784","29.794996","results_prod_new","0.311137","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1200.5517090596259","16100","19600","6100","1000","7000","15564","3258","","0","6097","0","11298446","3","minimize","560121","9500","0","13063","610678817","0.263287","1198.763661","results_prod_new","1.04706","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.7625931529328227","3980","4830","1550","250","1750","3901","3026","S(6)","0","1547","5","22193","0","minimize","1184","2350","0","3250","240237","0.058373","0.196014","results_prod_new","0.31164","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","99.61704817134887","16100","19600","6100","1000","7000","15564","15007","S(16)","0","6097","5","4082667","0","minimize","39679","9500","0","13063","52523352","0.266349","97.807999","results_prod_new","1.04394","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","41.383368253707886","16100","19600","6100","1000","7000","15564","15027","S(16)","0","6097","5","1740755","0","minimize","26261","9500","0","13063","22294066","0.267334","39.607203","results_prod_new","1.04796","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.9006408518180251","3800","4550","1550","250","1750","3779","3583","S(9)","0","1547","2","119539","0","minimize","7076","2250","0","3028","1584289","0.056748","1.357313","results_prod_new","0.299025","0","complete"
