"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.5796057293192","","119378","","6.46514","","minimize","","0","63","","121106","121495","0","2688","1.454448","0","6664","600","","1192.212487","","605","","20860","1205","1110189","complete","1878893581","0","121135","42602","","","results_container","","","","4955755"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.4357399092987","","","","0.212228","","minimize","","0","64","","1728","2118","0","2688","0.04489","0","11172","600","","1199.759414","","605","","960","1205","355748","complete","23044383","0","1758","3541","","","results_container","","","","611425"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5573039203882","","","","0.225128","","minimize","","0","31","","1728","2118","0","2688","0.046948","0","10472","600","","1199.750097","","605","","960","1205","121435","complete","8274449","0","1758","1105","","","results_container","","","","178724"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1203.2096496773884","","","","7.05901","","minimize","","","19","","120552","","0","120744","","","20520","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.5455704750493","110180","","","2.47921","995957","minimize","0.94","","33","1079","43524","87786","0","43638","0.572","33","10800","","1698524","1197.517","2089319340","","148.63","7710","1079","1698524","","8948878249","","44129","711","","2713883","results_container","0.0","0.0","109099",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5796581404284","","","","0.147794","","minimize","","0","19","","1026","1260","0","1596","0.032375","0","5382","360","","1199.855731","","365","","570","725","420698","complete","26891111","0","1050","591","","","results_container","","","","468433"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6047007488087","","","","0.252122","","minimize","","0","40","","1728","2118","0","2688","0.043811","0","7280","600","","1199.776952","","605","","960","1205","170462","complete","9996668","0","1758","3505","","","results_container","","","","263558"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6221515843645","","","","0.255722","","minimize","","0","51","","1728","2118","0","2688","0.043762","700","7448","600","","1199.798425","","605","","960","1205","53582","complete","11881809","0","1758","7942","","","results_container","","","","461783"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.038297395222","","42828","","2.27025","","minimize","","0","43","","43854","44087","0","1596","0.488142","0","4640","360","","1197.281997","","365","","7710","725","1902963","complete","1904681818","0","43877","14425","","","results_container","","","","3794616"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.26806762442","43565","42840","","2.48097","","minimize","","","0","","42840","50459","0","","0.388401","0","","","","1197.52","","","","7140","725","875140","","2906352221","","43319","209","0","1750436","results_container","","","",""
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.3244582330808","","","","0.163634","","minimize","","0","49","","1728","2118","0","2688","0.048776","634","13230","600","","1199.862801","","605","","960","1205","65681","complete","11176001","0","1758","3734","","","results_container","","","","484506"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.1916411770508","","119400","225","6.93572","","minimize","","","1","","120552","","0","1344","","","12852","","","52.2656","","","","20860","1205","478","","2170267","","120965","","","","results_container","","","119554",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5602206578478","","","","0.188934","","minimize","","0","44","","846","1040","0","1316","0.028871","5697","5040","300","","1199.811833","","305","","470","605","426846","complete","51718213","0","870","1641","","","results_container","","","","1448265"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0494037549943","","","","0.161439","","minimize","","0","55","","837","1029","0","1302","0.029133","6120","3762","300","","1199.821005","","305","","465","605","766043","complete","73319881","0","864","2707","","","results_container","","","","1666064"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.4101639678702","51095","50310","","2.84269","","minimize","","","0","","50310","59213","0","","0.447469","0","","","","1197.16","","","","8385","785","600360","","2227377846","","50828","221","0","1200849","results_container","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.9560134988278","","42840","96","2.40248","","minimize","","","4","","43524","","0","798","","","5376","","","26.8674","","","","7710","725","434","","4627548","","43775","","","","results_container","","","42958",""
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5621280241758","","","","0.225997","","minimize","","0","49","","1728","2118","0","2688","0.047532","1535","9975","600","","1199.743167","","605","","960","1205","165156","complete","24778553","0","1758","3356","","","results_container","","","","686186"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6429250082","","","","0.250645","","minimize","","0","45","","1728","2118","0","2688","0.043578","0","7488","600","","1199.815494","","605","","960","1205","110934","complete","8937164","0","1758","3429","","","results_container","","","","217332"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.1613120194525","82899","","","1.76106","972470","minimize","0.63","","39","899","30264","61146","0","30358","0.414","39","6240","","2430934","1198.236","-1679086100","","199.543","5420","899","2430934","","4723924273","","30769","646","","3422353","results_container","0.0","0.0","81998",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.240057097748","","","","0.187776","","minimize","","0","45","","2178","2668","0","3388","0.060189","428","19008","750","","1199.795233","","755","","1210","1505","47111","complete","9985289","0","2208","4656","","","results_container","","","","468600"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.7151285028085","","29700","","1.66071","","minimize","","0","32","","30546","30739","0","1316","0.353349","0","5040","300","","1198.015458","","305","","5420","605","2035251","complete","1581499159","0","30569","10847","","","results_container","","","","3615360"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5413265749812","","","","0.204172","","minimize","","0","33","","1107","1359","0","1722","0.033618","0","7614","390","","1199.788261","","395","","615","785","421453","complete","28790208","0","1134","914","","","results_container","","","","481707"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.8779601780698","","119400","","6.47465","","minimize","","0","41","","121128","121517","0","2688","1.434096","10935","10560","600","","1192.213928","","605","","20860","1205","283719","complete","5674989147","0","121157","156576","","","results_container","","","","12655254"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.574332004413","","","","0.146118","","minimize","","0","42","","1026","1260","0","1596","0.033938","0","5103","360","","1199.838631","","365","","570","725","481687","complete","20290755","0","1050","757","","","results_container","","","","550923"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0658107334748","","","","0.159573","","minimize","","0","36","","837","1029","0","1302","0.028886","0","3952","300","","1199.83766","","305","","465","605","605590","complete","24869698","0","864","629","","","results_container","","","","665209"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.490618380718","","119400","","6.43198","","minimize","","0","37","","121128","121517","0","2688","1.448383","0","9792","600","","1192.240754","","605","","20860","1205","1108252","complete","1971524237","0","121157","38412","","","results_container","","","","3838714"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1674322644249","","","","0.116125","","minimize","","0","35","","837","1029","0","1302","0.022412","0","3240","300","","1199.880891","","305","","465","605","747426","complete","44427463","0","864","651","","","results_container","","","","820117"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.5586211094633","","","","0.226268","","minimize","","0","48","","1116","1370","0","1736","0.037173","2189","4680","390","","1199.767004","","395","","620","785","293541","complete","32844187","0","1140","2381","","","results_container","","","","798234"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5464611081406","","","","0.173185","","minimize","","0","38","","1026","1260","0","1596","0.030909","0","4536","360","","1199.815615","","365","","570","725","777281","complete","44187646","0","1050","836","","","results_container","","","","858477"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.0104120709002","","42840","","2.25423","","minimize","","0","51","","43866","44099","0","1596","0.480128","29015","5568","360","","1197.299002","","365","","7710","725","815658","complete","6512590210","0","43889","53326","","","results_container","","","","15827468"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5841439096257","","","","0.144892","","minimize","","0","35","","1026","1260","0","1596","0.032561","0","5208","360","","1199.855904","","365","","570","725","803346","complete","50908337","0","1050","905","","","results_container","","","","885346"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2128136055544","","","","0.186107","","minimize","","0","43","","2178","2668","0","3388","0.060521","571","15960","750","","1199.787426","","755","","1210","1505","94510","complete","16317564","0","2208","8491","","","results_container","","","","639110"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6088324077427","","","","0.210273","","minimize","","0","28","","1728","2118","0","2688","0.041278","0","7395","600","","1199.803356","","605","","960","1205","166302","complete","12088765","0","1758","1300","","","results_container","","","","230792"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0102752214298","","","","0.160659","","minimize","","0","34","","837","1029","0","1302","0.031291","0","4131","300","","1199.837273","","305","","465","605","493770","complete","30129985","0","864","672","","","results_container","","","","550451"
