"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.0629622628912","","29700","","1.6741","","minimize","","0","42","","30546","30739","0","1316","0.340323","43211","4872","300","","1198.007543","","305","","5420","605","1178978","complete","6378521077","0","30569","32104","","","results_container","","","","15480960"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0429166611284","","29666","","1.68302","","minimize","","0","37","","30503","30694","0","1302","0.342795","56000","3870","300","","1197.993877","","305","","5415","605","1355143","complete","7180333445","0","30529","37434","","","results_container","","","","15524429"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0252766953781","","","","0.162025","","minimize","","0","40","","837","1029","0","1302","0.031868","0","3927","300","","1199.836292","","305","","465","605","530246","complete","30762961","0","864","539","","","results_container","","","","581720"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1203.1708169775084","","","","7.00769","","minimize","","","9","","120552","","0","120744","","","35910","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5406161332503","","","","0.197653","","minimize","","0","39","","1728","2118","0","2688","0.042051","1565","10260","600","","1199.780767","","605","","960","1205","152381","complete","23490859","0","1758","2599","","","results_container","","","","657155"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5748498691246","","","","0.178017","","minimize","","0","33","","1026","1260","0","1596","0.032131","0","5760","360","","1199.803063","","365","","570","725","521767","complete","30092441","0","1050","724","","","results_container","","","","581863"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.5380688449368","","","","0.131537","","minimize","","0","36","","837","1029","0","1302","0.027987","4889","3420","300","","1199.854782","","305","","465","605","279184","complete","41383587","0","864","1211","","","results_container","","","","1200943"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6045627882704","","","","0.225817","","minimize","","0","38","","1728","2118","0","2688","0.049091","839","11340","600","","1199.795235","","605","","960","1205","42220","complete","10391734","0","1758","2627","","","results_container","","","","362598"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5901950290427","","","","0.212213","","minimize","","0","30","","1728","2118","0","2688","0.041093","634","8100","600","","1199.783197","","605","","960","1205","50735","complete","9584498","0","1758","4048","","","results_container","","","","439882"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.453835774213","","","","0.213062","","minimize","","0","45","","1728","2118","0","2688","0.044896","0","11780","600","","1199.771813","","605","","960","1205","193323","complete","14766372","0","1758","3620","","","results_container","","","","379377"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.1527636591345","","119400","","6.81761","","minimize","","","0","","119400","","0","","","","","","","","","","","19900","1205","","","","","120197","","","","results_container","","","",""
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5311953444034","","","","0.197159","","minimize","","0","49","","1107","1359","0","1722","0.03365","2548","7776","390","","1199.782636","","395","","615","785","254823","complete","32125686","0","1134","2174","","","results_container","","","","873349"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5451889988035","","","","0.187292","","minimize","","0","41","","846","1040","0","1316","0.027624","6279","4785","300","","1199.787929","","305","","470","605","845056","complete","72979800","0","870","1312","","","results_container","","","","1854614"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.012716870755","","186750","","10.4128","","minimize","","0","50","","188928","189417","0","3388","2.268758","0","15750","750","","1187.553183","","755","","32335","1505","930638","complete","2252251817","0","188957","61024","","","results_container","","","","5263381"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.0168473096564","","","","0.174946","","minimize","","0","41","","846","1040","0","1316","0.02941","0","5070","300","","1199.841582","","305","","470","605","924100","complete","59725294","0","870","630","","","results_container","","","","1008506"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5320413047448","","","","0.205425","","minimize","","0","31","","1107","1359","0","1722","0.033915","0","7650","390","","1199.776963","","395","","615","785","309610","complete","18606527","0","1134","914","","","results_container","","","","365193"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.21583006531","","","","0.18676","","minimize","","0","43","","2178","2668","0","3388","0.057162","448","19008","750","","1199.804016","","755","","1210","1505","31096","complete","7738888","0","2208","4295","","","results_container","","","","422786"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7494443897158","","29700","90","1.74756","","minimize","","","2","","30258","","0","651","","","5568","","","11.54","","","","5415","605","328","","2660720","","30470","","","","results_container","","","30122",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.1924464777112","","42835","","2.30479","","minimize","","0","46","","43861","44094","0","1596","0.490037","34181","5400","360","","1197.244618","","365","","7710","725","1042292","complete","6656371039","0","43884","56102","","","results_container","","","","12892372"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","","","","7.00478","","minimize","","","11","","120552","","0","120744","","","15225","","","","","","","20860","1799","","","","","121559","","","","results_container","","","",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1367307472974","","50310","","2.73194","","minimize","","0","59","","51426","51679","0","1736","0.569037","31520","4590","390","","1196.739376","","395","","9005","785","702489","complete","7159891857","0","51449","54505","","","results_container","","","","11603553"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.513356000185","","","","0.206379","","minimize","","0","31","","1728","2118","0","2688","0.042136","815","10500","600","","1199.845141","","605","","960","1205","68500","complete","10189949","0","1758","2502","","","results_container","","","","351597"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2816906096414","","","","0.173789","","minimize","","0","35","","1728","2118","0","2688","0.048658","1494","12240","600","","1199.818489","","605","","960","1205","152597","complete","24323932","0","1758","3389","","","results_container","","","","758910"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5621967539191","","","","0.225557","","minimize","","0","40","","1728","2118","0","2688","0.04891","740","10764","600","","1199.752045","","605","","960","1205","49453","complete","9850436","0","1758","3983","","","results_container","","","","357282"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.563738080673","","","","0.144523","","minimize","","0","34","","1026","1260","0","1596","0.033259","0","5320","360","","1199.839522","","365","","570","725","445393","complete","28322786","0","1050","702","","","results_container","","","","504797"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5507779279724","","","","0.202288","","minimize","","0","52","","1107","1359","0","1722","0.035114","2557","7488","390","","1199.801112","","395","","615","785","256504","complete","31816967","0","1134","2403","","","results_container","","","","740187"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.4818710125983","","","","0.149045","","minimize","","0","39","","1116","1370","0","1736","0.033851","0","4608","390","","1199.850983","","395","","620","785","482846","complete","31388510","0","1140","2525","","","results_container","","","","561919"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5902960384265","","","","0.182085","","minimize","","0","39","","1026","1260","0","1596","0.03216","3062","5880","360","","1199.822577","","365","","570","725","276297","complete","33230494","0","1050","2436","","","results_container","","","","898174"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","111628","","","2.47217","763150","minimize","0.94","","30","1079","43524","87786","0","43638","0.581","30","14256","","1376562","1197.576","-178313657","","1197.498","7710","1079","1376562","","7504928285","","44129","1175","","2158970","results_container","0.0","0.0","110547",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5785140339285","","","","0.180173","","minimize","","0","35","","1026","1260","0","1596","0.032641","0","5880","360","","1199.808658","","365","","570","725","551190","complete","23406989","0","1050","827","","","results_container","","","","618368"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2429595505819","","","","0.185169","","minimize","","0","52","","2178","2668","0","3388","0.060414","0","15972","750","","1199.789408","","755","","1210","1505","222150","complete","17758901","0","2208","4534","","","results_container","","","","488763"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5563427591696","","","","0.188216","","minimize","","0","35","","846","1040","0","1316","0.029536","4831","4998","300","","1199.807023","","305","","470","605","401762","complete","38255781","0","870","1397","","","results_container","","","","1363954"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","30305","29700","","1.65924","","minimize","","","0","","29700","35048","0","","0.266571","0","","","","1198.34","","","","4950","605","1152152","","3269932593","","30098","247","0","2304440","results_container","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","","119378","144","7.04446","","minimize","","","1","","120552","","0","1366","","","8775","","","52.9413","","","","20860","1205","507","","2292435","","120965","","","","results_container","","","119546",""
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.5704966299236","","","","0.13208","","minimize","","0","54","","837","1029","0","1302","0.027736","3424","3344","300","","1199.874593","","305","","465","605","346697","complete","33017859","0","864","2380","","","results_container","","","","1005512"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4468512106687","","","","0.207579","","minimize","","0","23","","1728","2118","0","2688","0.041937","946","11340","600","","1199.787928","","605","","960","1205","53073","complete","11191832","0","1758","2599","","","results_container","","","","381380"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5921356147155","","","","0.235656","","minimize","","0","55","","2160","2646","0","3360","0.062946","0","16576","750","","1199.74929","","755","","1200","1505","99631","complete","6391092","0","2196","4604","","","results_container","","","","374241"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5026963148266","","","","0.214001","","minimize","","0","55","","1728","2118","0","2688","0.044733","0","12376","600","","1199.823029","","605","","960","1205","137173","complete","9352740","0","1758","3671","","","results_container","","","","354051"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.8062589820474","","29700","","1.68671","","minimize","","0","60","","30537","30728","0","1302","0.352216","35531","3168","300","","1197.985481","","305","","5415","605","1086369","complete","5318864315","0","30563","36022","","","results_container","","","","14548409"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5396093027666","","","","0.196667","","minimize","","0","35","","1728","2118","0","2688","0.04172","847","10875","600","","1199.779934","","605","","960","1205","49040","complete","10323710","0","1758","2598","","","results_container","","","","362047"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1880845455453","","50310","","2.82052","","minimize","","0","48","","51426","51679","0","1736","0.577528","0","4524","390","","1196.650946","","395","","9005","785","1519604","complete","1581416476","0","51449","17554","","","results_container","","","","3717674"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5888487147167","","","","0.254083","","minimize","","0","44","","1728","2118","0","2688","0.043808","564","8208","600","","1199.76155","","605","","960","1205","49028","complete","11860728","0","1758","4869","","","results_container","","","","440234"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5393947772682","","","","0.21749","","minimize","","0","57","","1728","2118","0","2688","0.047358","0","11520","600","","1199.852832","","605","","960","1205","137350","complete","10510359","0","1758","3667","","","results_container","","","","361647"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0385647350922","","","","0.156633","","minimize","","0","31","","837","1029","0","1302","0.028928","5171","3960","300","","1199.825429","","305","","465","605","457578","complete","50088339","0","864","1338","","","results_container","","","","1292761"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.5451746834442","","","","0.132758","","minimize","","0","41","","837","1029","0","1302","0.028112","0","3312","300","","1199.861965","","305","","465","605","654582","complete","27792506","0","864","651","","","results_container","","","","718706"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6561976317316","","","","0.232119","","minimize","","0","41","","2160","2646","0","3360","0.062938","0","16632","750","","1199.806403","","755","","1200","1505","182024","complete","14022713","0","2196","5936","","","results_container","","","","429214"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5505388602614","","","","0.194089","","minimize","","0","33","","1107","1359","0","1722","0.035052","0","7590","390","","1199.793436","","395","","615","785","422057","complete","24375863","0","1134","859","","","results_container","","","","480237"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.4719490651041","","","","0.147514","","minimize","","0","45","","1116","1370","0","1736","0.03306","0","4788","390","","1199.839459","","395","","620","785","754908","complete","47155897","0","1140","1003","","","results_container","","","","853109"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1249975292012","","50310","","2.67482","","minimize","","0","43","","51417","51668","0","1722","0.573265","0","7360","390","","1196.79377","","395","","9000","785","1732667","complete","1777825100","0","51443","17848","","","results_container","","","","3575159"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5739760724828","","","","0.210427","","minimize","","0","24","","1728","2118","0","2688","0.041017","0","6804","600","","1199.764865","","605","","960","1205","361143","complete","23019922","0","1758","1239","","","results_container","","","","436274"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.9933786438778","","","","0.158284","","minimize","","0","33","","837","1029","0","1302","0.031515","3942","3870","300","","1199.82316","","305","","465","605","610409","complete","45441976","0","864","1338","","","results_container","","","","1213205"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1967247519642","","","","0.115355","","minimize","","0","31","","837","1029","0","1302","0.022347","0","3300","300","","1199.897757","","305","","465","605","610460","complete","39020863","0","864","658","","","results_container","","","","669210"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.4141125483438","","186749","375","11.5457","","minimize","","","1","","188190","","0","1681","","","20286","","","116.01","","","","32325","1505","1093","","5129936","","188705","","","","results_container","","","188575",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5915006576106","","","","0.224603","","minimize","","0","40","","1728","2118","0","2688","0.049004","0","10824","600","","1199.77107","","605","","960","1205","205745","complete","12210288","0","1758","1509","","","results_container","","","","277952"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.482256210409","","","","0.205043","","minimize","","0","31","","1728","2118","0","2688","0.041807","0","10608","600","","1199.834768","","605","","960","1205","150904","complete","7353554","0","1758","1229","","","results_container","","","","211686"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5577410766855","","","","0.227072","","minimize","","0","39","","1728","2118","0","2688","0.04754","0","9775","600","","1199.748631","","605","","960","1205","284644","complete","20957945","0","1758","1102","","","results_container","","","","370445"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2207324951887","","","","0.164626","","minimize","","0","36","","1728","2118","0","2688","0.042827","0","9800","600","","1199.837715","","605","","960","1205","169243","complete","13756739","0","1758","1699","","","results_container","","","","235517"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2625932144","","","","0.185122","","minimize","","0","42","","2178","2668","0","3388","0.061483","0","16416","750","","1199.836703","","755","","1210","1505","104609","complete","8465026","0","2208","4347","","","results_container","","","","323627"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.6274111876264","","119400","","6.41736","","minimize","","0","39","","121128","121517","0","2688","1.446321","0","10230","600","","1192.267984","","605","","20860","1205","1058736","complete","1954502887","0","121157","39570","","","results_container","","","","3805402"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2684979010373","","","","0.183895","","minimize","","0","44","","2178","2668","0","3388","0.060593","0","16218","750","","1199.852732","","755","","1210","1505","113712","complete","10259045","0","2208","4805","","","results_container","","","","332348"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.963456290774","","119378","","6.37665","","minimize","","0","29","","121106","121495","0","2688","1.427481","10584","7590","600","","1192.320765","","605","","20860","1205","346968","complete","5712203305","0","121135","155193","","","results_container","","","","12075995"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5974926361814","","","","0.235975","","minimize","","0","41","","2160","2646","0","3360","0.063077","0","17280","750","","1199.755369","","755","","1200","1505","115948","complete","8679418","0","2196","4614","","","results_container","","","","330848"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.4578929971904","","","","0.147801","","minimize","","0","47","","1116","1370","0","1736","0.033417","0","4576","390","","1199.833953","","395","","620","785","411325","complete","25005313","0","1140","814","","","results_container","","","","481106"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.582154826261","","","","0.234333","","minimize","","0","45","","2160","2646","0","3360","0.063364","208","22344","750","","1199.786702","","755","","1200","1505","16151","complete","6177614","0","2196","10160","","","results_container","","","","414386"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5732016861439","","","","0.147454","","minimize","","0","51","","1026","1260","0","1596","0.032579","5428","5236","360","","1199.847193","","365","","570","725","602418","complete","64087158","0","1050","2408","","","results_container","","","","1453045"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.9786765426397","","","","0.176572","","minimize","","0","37","","846","1040","0","1316","0.032267","3948","4800","300","","1199.801126","","305","","470","605","505155","complete","44352031","0","870","2297","","","results_container","","","","1158251"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0702947806567","","42835","","2.28337","","minimize","","0","48","","43861","44094","0","1596","0.491142","0","5152","360","","1197.26715","","365","","7710","725","2123931","complete","2018318511","0","43884","13828","","","results_container","","","","4017361"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5830966169015","","","","0.178248","","minimize","","0","29","","1026","1260","0","1596","0.031506","3721","5712","360","","1199.812439","","365","","570","725","255934","complete","38070950","0","1050","1565","","","results_container","","","","1068464"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5672941114753","","","","0.244624","","minimize","","0","60","","2160","2646","0","3360","0.06132","638","17640","750","","1199.724867","","755","","1200","1505","55738","complete","15424765","0","2196","8865","","","results_container","","","","725893"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.2273919554427","","","","11.1042","","minimize","","","4","","188202","","0","188444","","","62208","","","","","","","32335","2249","","","","","189459","","","","results_container","","","",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.9531197100878","","119378","","6.43462","","minimize","","0","56","","121106","121495","0","2688","1.442798","9005","7168","600","","1192.237438","","605","","20860","1205","325496","complete","5897382334","0","121135","157457","","","results_container","","","","14439756"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0537385093048","","","","0.158094","","minimize","","0","47","","837","1029","0","1302","0.028822","0","3872","300","","1199.821843","","305","","465","605","928436","complete","64238157","0","864","974","","","results_container","","","","1002620"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1022516097873","","50310","81","2.93069","","minimize","","","4","","51054","","0","868","","","5940","","","849.009","","","","9005","785","48776","","73280731","","51325","","","","results_container","","","50983",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5505903325975","","","","0.173326","","minimize","","0","36","","1026","1260","0","1596","0.031425","0","4752","360","","1199.822033","","365","","570","725","487221","complete","30328980","0","1050","946","","","results_container","","","","549748"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5374478520826","","","","0.170958","","minimize","","0","34","","1026","1260","0","1596","0.030901","5511","4600","360","","1199.806892","","365","","570","725","533763","complete","59148662","0","1050","1524","","","results_container","","","","1498291"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.4640659932047","","","","0.146161","","minimize","","0","20","","1026","1260","0","1596","0.033894","3791","5400","360","","1199.843633","","365","","570","725","297804","complete","34513234","0","1050","1880","","","results_container","","","","982077"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5753603242338","","","","0.179712","","minimize","","0","36","","1026","1260","0","1596","0.031398","0","5952","360","","1199.80327","","365","","570","725","647248","complete","40216272","0","1050","900","","","results_container","","","","724478"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.342147231102","","119400","180","7.01885","","minimize","","","2","","120552","","0","1344","","","12635","","","194.102","","","","20860","1205","6924","","28503660","","120965","","","","results_container","","","119723",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6101561058313","","","","0.210428","","minimize","","0","23","","1728","2118","0","2688","0.041004","0","7524","600","","1199.802036","","605","","960","1205","150373","complete","11172740","0","1758","1299","","","results_container","","","","200916"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1641049664468","","","","0.114816","","minimize","","0","40","","837","1029","0","1302","0.022408","0","3400","300","","1199.877111","","305","","465","605","643434","complete","37830779","0","864","824","","","results_container","","","","716227"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1203.2702752156183","","186750","225","11.3719","","minimize","","","2","","188202","","0","1694","","","15120","","","124.535","","","","32335","1505","2263","","16597943","","188715","","","","results_container","","","188503",""
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.533551093191","","","","0.130665","","minimize","","0","51","","837","1029","0","1302","0.028124","3950","3132","300","","1199.845285","","305","","465","605","370318","complete","34449418","0","864","1552","","","results_container","","","","1154242"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.2654647575691","","186750","","10.8857","","minimize","","","0","","186750","","0","","","","","","","","","","","31125","1505","","","","","187747","","","","results_container","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.769876821898","","29700","150","1.72094","","minimize","","","5","","30264","","0","658","","","5445","","","91.3064","","","","5420","605","12935","","14018301","","30475","","","","results_container","","","30865",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.6496560359374","","119378","","6.50706","","minimize","","0","33","","121106","121495","0","2688","1.449851","0","6750","600","","1192.162769","","605","","20860","1205","1086952","complete","1963883925","0","121135","38445","","","results_container","","","","3834732"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5811257408932","","","","0.182273","","minimize","","0","24","","1026","1260","0","1596","0.030982","0","5016","360","","1199.823128","","365","","570","725","405710","complete","28432961","0","1050","743","","","results_container","","","","455066"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.9780531134456","","","","0.17594","","minimize","","0","39","","846","1040","0","1316","0.032241","0","4760","300","","1199.800056","","305","","470","605","758987","complete","44451321","0","870","776","","","results_container","","","","831773"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.544014655985","","","","0.226955","","minimize","","0","44","","1728","2118","0","2688","0.047169","771","10400","600","","1199.738261","","605","","960","1205","59524","complete","11948564","0","1758","2627","","","results_container","","","","384556"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.9783356096596","30305","29700","","1.68146","","minimize","","","0","","29700","35049","0","","0.269279","0","","","","1198.32","","","","4950","605","1305851","","1486046208","","30099","248","0","2611843","results_container","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.4323805458844","","","","0.214079","","minimize","","0","44","","1728","2118","0","2688","0.044453","0","12636","600","","1199.770216","","605","","960","1205","164843","complete","8764643","0","1758","4579","","","results_container","","","","360356"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.8152056280524","124023","","","2.87232","1234685","minimize","1.41","","50","1169","51048","102897","0","51171","0.684","50","9180","","1775765","1197.125","-189350259","","473.841","9000","1169","1775765","","7345065913","","51704","862","","3042047","results_container","0.0","0.0","122852",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5888945003971","","","","0.143299","","minimize","","0","38","","1026","1260","0","1596","0.033241","0","5376","360","","1199.859514","","365","","570","725","493548","complete","32790780","0","1050","637","","","results_container","","","","557853"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.9974395437166","","","","0.158553","","minimize","","0","48","","837","1029","0","1302","0.031951","4590","3978","300","","1199.825595","","305","","465","605","454408","complete","43366165","0","864","3039","","","results_container","","","","1190389"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.300901407376","","","","10.9237","","minimize","","","9","","188168","","0","188408","","","73206","","","","","","","32325","2249","","","","","189427","","","","results_container","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.0520082795992","","","","0.167308","","minimize","","0","46","","846","1040","0","1316","0.02927","0","4800","300","","1199.820093","","305","","470","605","896814","complete","34281945","0","870","984","","","results_container","","","","970429"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.966454334557","","42828","150","2.48835","","minimize","","","1","","43524","","0","810","","","7410","","","10.3164","","","","7710","725","247","","908925","","43775","","","","results_container","","","42740",""
