"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","479.7109428057447","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","54252229","","6100","1.03143","","","13132","7000","6097","S(8)","19600","16100","","minimize","","477.784577","","","","","","99119","complete","13","3834251","","","0.265505","15564"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.4223080594093","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","64509070","","30200","5.28782","","","17292","35000","30197","","102200","83200","","minimize","","1193.397813","","","","","","73510","complete","0","2451172","","","1.381796","79145"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","26.995699781924486","3107","","0","2250","0","","","0","results_prod_shelf_new","240","0","11341436","","1488","0.403395","","","3139","1680","1485","S(5)","4620","3810","","minimize","","25.913969","","","","","","56419","complete","4","670182","","","0.065857","3738"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","UNKNOWN","1200.5927776349708","22489","","0","3960","","","19968","","results_prod_shelf_new","240","0","1029516245","","1488","1.41733","","","210","","","","1680","18480","","minimize","","1198.58","3543127","","16560","","","1771473","","0","","","0","0.170101","19220"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","679.5066302223131","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","21975775","","30200","5.38292","","","13607","35000","30197","S(30)","102200","83200","","minimize","","670.624629","","","","","","41507","complete","6","722156","","","1.182332","79145"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1211.5340411374345","","","","105450","","","","","results_prod_shelf_new","2250","0","","","13649","48.0576","","","","","","S(28)","530580","530640","","minimize","","","","","","","","","","3","","","","","533098"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.0070455949754","67593","","0","48750","0","","","0","results_prod_shelf_new","5000","0","136469663","","30200","5.3826","","","24508","35000","30197","","101500","82750","","minimize","","1193.336953","","","","","","76220","complete","0","1951347","","","1.381341","78844"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","5.526981832459569","38596","","2","5250","","0.12","52190","","results_prod_shelf_new","250","0","18040930","0.0","1549","1.64969","432038122","86839","1323","","","9","21150","21200","2.246","minimize","0.0","3.004","96675","7246","","","50639","7246","","2","","1549","","0.328","21545"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","11.096576485782862","3107","","0","2250","0","","","0","results_prod_shelf_new","240","0","3285246","","1488","0.425248","","","3122","1680","1485","S(5)","4620","3810","","minimize","","10.03259","","","","","","36958","complete","4","156293","","","0.064035","3738"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","31.677872982807457","30429","","0","21900","0","","","0","results_prod_shelf_new","2250","0","2455375","","13650","2.4084","","","27740","15750","13647","S(20)","45570","37170","","minimize","","27.828175","","","","","","5646","complete","6","178581","","","0.520036","35530"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1230.4062320310622","","","","296500","","","","","results_prod_shelf_new","5000","0","","","30200","140.615","","","","","","","68600","1553800","","minimize","","","","","1485000","","","","","0","","","","","1559295"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.3273448776454","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","43798492","","13650","2.41562","","","10761","15750","13647","","45150","36900","","minimize","","1197.009848","","","","","","20385","complete","0","2873541","","","0.605515","35349"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","87.1278804782778","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","14177747","","6100","1.04877","","","14428","7000","6097","S(8)","19600","16100","","minimize","","85.24555","","","","","","49600","complete","5","670983","","","0.26241","15564"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1203.154028005898","","","","33500","","","","","results_prod_shelf_new","1000","0","64949517","","6100","13.6201","","","","","","S(20)","12600","159800","","minimize","","467.666","","","147000","2","159154","33936","","1","","","","","161139"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1230.9479209259152","","","","296250","","","","","results_prod_shelf_new","5000","0","","","30200","145.135","","","","","","","68250","1553500","","minimize","","","","","1485000","","","","","0","","","","","1559044"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.514786824584","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","24079971","","30200","5.37473","","","16054","35000","30197","","102200","83200","","minimize","","1193.363738","","","","","","29130","complete","0","883963","","","1.3624","79145"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","6.7557367477566","3107","","0","2250","0","","","0","results_prod_shelf_new","240","0","2196407","","1488","0.404563","","","3090","1680","1485","S(5)","4620","3810","","minimize","","5.676678","","","","","","24882","complete","4","95759","","","0.064292","3738"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","SATISFIED","1200.8443177295849","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","77971708","","6100","1.15739","","","15529","7000","6097","S(17)","19600","16100","","minimize","","1198.592706","","","","","","13356","complete","3","6694148","","","0.260583","15564"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","670.6203087884933","11958","","0","9000","0","","","0","results_prod_shelf_new","1000","0","42286226","","6100","1.14001","","","26394","7000","6097","S(6)","18200","15200","","minimize","","668.323168","","","","","","52349","complete","6","4380889","","","0.313252","14959"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.349723980762","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","78708294","","13650","2.38709","","","12621","15750","13647","S(22)","45150","36900","","minimize","","1197.039401","","","","","","42319","complete","7","4008468","","","0.609955","35349"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1204.5938771078363","","","","29500","","","","","results_prod_shelf_new","1000","0","","","6100","13.2023","","","","","","","7000","155000","","minimize","","","","","147000","","","","","0","","","","","158061"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.0563622843474","31091","","0","22200","0","","","0","results_prod_shelf_new","2250","0","609708930","","13650","2.39503","","","2416","15750","13647","","46410","37710","","minimize","","1197.098245","","","","","","380004","complete","0","1482216","","","0.582998","35892"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","35.03961253352463","13726","","0","9800","0","","","0","results_prod_shelf_new","1000","0","3122874","","6100","1.20376","","","13279","7000","6097","S(13)","20440","16640","","minimize","","32.771192","","","","","","10971","complete","5","155958","","","0.243643","15927"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1211.9940366502851","","","","105000","","","","","results_prod_shelf_new","2250","0","","","13649","46.6076","","","","","","S(26)","529950","530100","","minimize","","","","","","","","","","5","","","","","532645"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1210.3314714292064","","","","105450","","","","","results_prod_shelf_new","2250","0","","","13650","47.7091","","","","","","","31080","530640","","minimize","","","","","499500","","","","","0","","","","","533172"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","UNKNOWN","1203.1877515902743","","","","34100","","","","","results_prod_shelf_new","1000","0","","","6100","13.4742","","","","","","","13440","160520","","minimize","","","","","147000","","","","","0","","","","","161745"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.745531940832734","2917","","0","2200","0","","","0","results_prod_shelf_new","250","0","325417","","1550","0.288766","","","3741","1750","1547","S(10)","4410","3710","","minimize","","1.197773","","","","","","1991","complete","1","28656","","","0.058013","3718"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.1849958719686","64838","","0","47500","0","","","0","results_prod_shelf_new","5000","0","26837936","","30200","5.30113","","","39355","35000","30197","","98000","80500","","minimize","","1193.220913","","","","","","42470","complete","0","2334860","","","1.643892","77339"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","UNKNOWN","1201.010259305127","28443","","0","21000","0","","","0","results_prod_shelf_new","2250","0","53139514","","13650","2.38288","","","24837","15750","13647","","43050","35550","","minimize","","1196.959868","","","","","","136856","complete","0","4389010","","","0.731322","34444"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","7.784812346100807","3107","","0","2250","0","","","0","results_prod_shelf_new","240","0","2894096","","1488","0.407479","","","3090","1680","1485","S(5)","4620","3810","","minimize","","6.705514","","","","","","28235","complete","4","101981","","","0.064009","3738"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1230.54945485387","","","","296500","","","","","results_prod_shelf_new","5000","0","","","30199","132.901","","","","","","","1553600","1553800","","minimize","","","","","","","","","","0","","","","","1559196"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","ERROR","225.3744705086574","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","272500","","","","","results_prod_shelf_new","5000","0","","","30200","135.317","","","","","","","35000","1525000","","minimize","","","","","1485000","","","","","0","","","","","1539709"
