"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1230.936366361566","","","","296250","","","","","results_prod_shelf_new","5000","0","","","30199","131.132","","","","","","S(50)","1553250","1553500","","minimize","","","","","","","","","","1","","","","","1558945"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.3717703092843","28443","","0","21000","0","","","0","results_prod_shelf_new","2250","0","31807575","","13650","2.33674","","","29124","15750","13647","S(10)","43050","35550","","minimize","","1196.99145","","","","","","61991","complete","2","3360739","","","0.726069","34444"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.3933545015752","69246","","0","49500","0","","","0","results_prod_shelf_new","5000","0","73791400","","30200","5.7653","","","14748","35000","30197","","103600","84100","","minimize","","1193.037965","","","","","","202174","complete","0","2116870","","","1.308472","79747"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","SATISFIED","1200.6423923438415","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","263076333","","6100","1.0791","","","14856","7000","6097","S(17)","19600","16100","","minimize","","1198.672459","","","","","","353798","complete","4","6826724","","","0.276369","15564"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","ERROR","114.39107003435493","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","94500","","","","","results_prod_shelf_new","2250","0","","","13650","44.4436","","","","","","","15750","517500","","minimize","","","","","499500","","","","","0","","","","","524254"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.039681644179","69246","","0","49500","0","","","0","results_prod_shelf_new","5000","0","242253859","","30200","5.85601","","","14827","35000","30197","","103600","84100","","minimize","","1192.915586","","","","","","365141","complete","0","1827459","","","1.338363","79747"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1209.976581402123","","","","105000","","","","","results_prod_shelf_new","2250","0","54876793","","13650","45.5157","","","","","","S(29)","30450","530100","","minimize","","855.697","","","499500","5","523103","6553","","2","","","","","532719"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.9578010104596615","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","489403","","1550","0.426441","","","3493","1750","1547","S(9)","4550","3800","","minimize","","1.892923","","","","","","4563","complete","2","35938","","","0.063355","3779"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","383.47083974815905","1025067","","9","105150","","0.94","714150","","results_prod_shelf_new","2250","0","1007093557","0.0","13649","44.1355","1022290614","923676","5738","","","20","530160","530280","319.423","minimize","0.0","319.624","1004733","35011","","","700499","35011","","9","","13649","","8.356","532796"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","527.4252355564386","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","31714072","","30200","5.36587","","","12628","35000","30197","S(30)","102200","83200","","minimize","","518.837505","","","","","","47559","complete","8","1019674","","","1.206473","79145"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","SATISFIED","1200.490776536055","13063","","0","9500","0","","","0","results_prod_shelf_new","1000","0","130198322","","6100","1.01389","","","13929","7000","6097","S(11)","19600","16100","","minimize","","1198.751323","","","","","","114880","complete","10","8618420","","","0.25542","15564"
