"configuration","problem","model","data_file","status","time","propagations","blockType","objective","nSolutions","peakDepth","paths","flatBoolConstraints","flatIntVars","flatTime","restarts","run","method","failures","unifiedVariables","evaluatedReifiedConstraints","extractedViews","flatIntConstraints","initTime","propagators","intVariables","evaluatedHalfReifiedConstraints","oracleDecisions","solveTime","userDecisions","flatBoolVars"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.0104120709002","6512590210","complete","5568","51","53326","0","7710","725","2.25423","29015","results_free_container","minimize","815658","0","1596","360","43889","0.480128","44099","365","42840","15827468","1197.299002","0","43866"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.2478381618857","5908415","complete","16698","41","8491","0","1210","1505","0.183891","132","results_free_container","minimize","25893","0","3388","750","2208","0.059208","2668","755","","369305","1199.801952","0","2178"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5558744855225","6055147","complete","7560","30","3372","0","960","1205","0.237666","408","results_free_container","minimize","23533","0","2688","600","1758","0.039721","2118","605","","270081","1199.72957","0","1728"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.254250000231","23936875","complete","6048","40","1647","0","570","725","0.141397","2107","results_free_container","minimize","203265","0","1596","360","1050","0.026241","1260","365","","680646","1199.851348","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.5542976530269","18928799","complete","3960","2","1149","0","465","605","0.193765","2402","results_free_container","minimize","322635","0","1302","300","864","0.025917","1029","305","","656743","1199.798633","0","837"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2272217255086","25312389","complete","7866","46","2501","0","615","785","0.137721","2257","results_free_container","minimize","178339","0","1722","390","1134","0.02901","1359","395","","683926","1199.854761","0","1107"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5070228725672","1773349","complete","34992","19","5722","0","1200","1505","0.224512","63","results_free_container","minimize","4373","0","3360","750","2196","0.061019","2646","755","","182853","1199.775648","0","2160"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.521009337157","14478077","complete","4914","38","2734","0","620","785","0.141595","1440","results_free_container","minimize","117658","0","1736","390","1140","0.030146","1370","395","","514967","1199.833959","0","1116"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.384033835493","33038780","complete","3264","31","1431","0","465","605","0.12178","3566","results_free_container","minimize","252735","0","1302","300","864","0.024901","1029","305","","962765","1199.859817","0","837"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2782136481255","28665546","complete","3360","44","2555","0","465","605","0.121847","3471","results_free_container","minimize","254350","0","1302","300","864","0.023974","1029","305","","902295","1199.866114","0","837"
