"configuration","problem","model","data_file","status","time","nodes","evaluatedHalfReifiedConstraints","randomSeed","nSolutions","blockType","failures","intVars","peakDepth","variables","restarts","boolVariables","backjumps","oracleDecisions","nogoods","unifiedVariables","solveTime","flatBoolVars","propagators","flatBoolConstraints","flatTime","flatIntConstraints","baseMem","solutions","paths","flatIntVars","run","peakMem","propagations","objective","objectiveBound","extractedViews","userDecisions","initTime","trailMem","evaluatedReifiedConstraints","eliminatedImplications","intVariables","method"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.810886620544","","120","","0","complete","3876166","","18","","0","","","0","","0","1198.185447","39570","729","12750","1.39007","41991","","","0","14529","results_rect_new","","163573307","","","41250","3879429","0.42023","","26880","60","153","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5267749764025","","96","","0","complete","4321543","","19","","0","","","0","","0","1199.027733","20856","517","6696","0.763111","22441","","","0","7827","results_rect_new","","145709439","","","21912","4324899","0.224021","","14208","48","117","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.775857382454","","1740","","0","complete","4241060","","18","","0","","","0","","0","1198.142795","39846","2346","12702","1.4318","42262","","","0","14077","results_rect_new","","621248276","","","39904","4244592","0.423741","","25984","58","151","satisfy"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.3285403102636","6576826","100","2076694269","0","","6266548","159","17","25214","0","25053","310269","","6266548","","1199.849","1450","2737","500","0.147294","1496","0.0","","0","133","results_rect_new","0.0","3131117801","","","","","0.042","0.05","1300","50","","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","21.807371826842427","","840","","1","complete","141432","","102","","0","","","81","","0","20.715443","14580","1179","4610","0.57933","15812","","","0","5283","results_rect_new","","16362248","","","14620","141707","0.153037","","9440","40","97","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9874938586726785","","64","","1","complete","1343","","2381","","0","","","2368","","0","0.147243","7520","306","2400","0.361278","8350","","","0","2959","results_rect_new","","54125","","","8032","1356","0.084032","","5152","32","73","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7993442257866263","","64","","1","complete","1188","","2094","","0","","","2080","","0","0.124534","6592","282","2112","0.312519","7334","","","0","2603","results_rect_new","","53828","","","7040","1202","0.074804","","4512","32","69","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.8755368888378143","","72","","1","complete","24688","","19","","0","","","0","","0","2.98444","9162","335","2934","0.38905","10085","","","0","3561","results_rect_new","","907216","","","9738","24754","0.099705","","6264","36","81","satisfy"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.3609137125313","8051520","100","1191371420","0","","7801856","155","16","23644","0","23487","249658","","7801856","","1199.849","1450","2733","500","0.148765","1494","0.0","","0","129","results_rect_new","0.0","4049512842","","","","","0.038","0.05","1300","50","","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","851.6486821509898","","88","","1","complete","3360107","","21","","0","","","0","","0","850.272853","17996","484","5764","0.683177","19460","","","0","6803","results_rect_new","","111062060","","","18964","3364271","0.190287","","12276","44","109","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","67.62624743953347","","1012","","1","complete","389065","","142","","0","","","119","","0","66.312366","17182","1376","5445","0.652063","18526","","","0","6161","results_rect_new","","48608351","","","17138","389771","0.1793","","11088","44","105","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","4.158315268345177","","76","","1","complete","22159","","21","","0","","","0","","0","3.230367","10963","368","3515","0.42597","11989","","","0","4216","results_rect_new","","835200","","","11609","22235","0.11803","","7486","38","87","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.833849198184907","","76","","1","complete","24928","","20","","0","","","0","","0","3.781434","11780","387","3762","0.473481","12901","","","0","4543","results_rect_new","","1038392","","","12502","25005","0.130063","","8056","38","91","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","ALL_SOLUTIONS","2.013807856477797","","160","","1","","31990","","","","","268","","","","","1.75938","160","","120","0.094126","235","","","0","99","results_rect_new","","2218021","0","0","","","","","","80","","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","68.02063273172826","","924","","1","complete","389785","","130","","0","","","112","","0","66.764438","16338","1286","5166","0.643442","17678","","","0","5905","results_rect_new","","46629806","","","16380","390466","0.172191","","10584","42","103","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","255.9856210174039","14244726","168","","1","","7122281","","61","281","0","","","","","","255.703","168","377","126","0.091892","249","","1","0","109","results_rect_new","","207704890","","","","","0.029614","","","84","","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.185940225608647","","80","","1","complete","25892","","21","","0","","","0","","0","4.227002","12420","393","3980","0.506158","13545","","","0","4759","results_rect_new","","1127329","","","13140","25971","0.134068","","8480","40","93","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.953544232062995","","76","","1","complete","24523","","20","","0","","","0","","0","3.91329","11780","387","3762","0.53283","12901","","","0","4543","results_rect_new","","997836","","","12502","24604","0.126247","","8056","38","91","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","83.25216858182102","","84","","1","complete","396068","","20","","0","","","0","","0","82.017494","15498","447","4956","0.605109","16839","","","0","5905","results_rect_new","","15109625","","","16380","396683","0.165259","","10584","42","103","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2353915441781","","240","","0","","","","","","","","","","","","","240","","180","0.096318","355","","","0","159","results_rect_new","","","","","","","","","","120","","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.6879789689556","","104","","0","complete","3917368","","19","","0","","","0","","0","1198.595303","28652","620","9204","1.0904","30636","","","0","10643","results_rect_new","","145632731","","","30004","3926227","0.312675","","19500","52","133","satisfy"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.583135955967","","104","","0","complete","3995775","","16","","0","","","0","","0","1198.65514","26208","584","8424","1.0616","28052","","","0","9755","results_rect_new","","134712777","","","27456","4001167","0.28146","","17836","52","129","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.674768757075071","","76","","1","complete","24881","","20","","0","","","0","","0","3.665574","11780","387","3762","0.458938","12901","","","0","4543","results_rect_new","","1036859","","","12502","24957","0.12838","","8056","38","91","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","ALL_SOLUTIONS","42.61468981951475","","168","","1","","620301","","","","","435","","","","","42.2279","168","","126","0.126366","249","","","0","109","results_rect_new","","51523272","0","0","","","","","","84","","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","24.4309376552701","","84","","1","complete","141648","","22","","0","","","0","","0","23.224207","14532","427","4662","0.574181","15769","","","0","5523","results_rect_new","","5451720","","","15330","141917","0.154616","","9912","42","99","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.1657494371757","52145122","224","","0","","26072532","","62","373","0","","","","","","1199.9","224","501","168","0.094171","331","","0","0","147","results_rect_new","","486214278","","","","","0.004656","","","112","","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.5579125592485","56928826","208","","0","","28464337","","54","345","0","","","","","","1199.9","208","465","156","0.10176","307","","0","0","135","results_rect_new","","643197419","","","","","0.038002","","","104","","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.363519522361457","","80","","1","complete","25878","","21","","0","","","0","","0","4.310764","12420","393","3980","0.508511","13545","","","0","4759","results_rect_new","","1124784","","","13140","25958","0.136373","","8480","40","93","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.3257679492235","","200","","0","","","","","","","","","","","","","200","","150","0.097189","295","","","0","129","results_rect_new","","","","","","","","","","100","","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.597919858992","","100","","0","complete","4022280","","16","","0","","","0","","0","1198.769072","25175","578","8075","0.958463","27015","","","0","9408","results_rect_new","","134848712","","","26425","4027449","0.271399","","17150","50","127","satisfy"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.8545603342354298","","76","","1","complete","22195","","21","","0","","","0","","0","3.01704","10963","368","3515","0.423937","11989","","","0","4216","results_rect_new","","858378","","","11609","22271","0.117578","","7486","38","87","satisfy"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.722372722811997","23492","72","2092301219","1","","22672","106","24","9762","0","9654","795","","22672","","1.364","792","1459","297","0.115645","822","0.0","","0","87","results_rect_new","0.0","9076049","","","","","0.024","0.02","684","36","","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","833.586625892669","","92","","1","complete","3370291","","22","","0","","","0","","0","832.263323","18837","490","6049","0.696304","20305","","","0","7086","results_rect_new","","112031178","","","19803","3374560","0.193735","","12834","46","111","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","ALL_SOLUTIONS","757.3312969403341","","184","","1","","10452599","","","","","516","","","","","756.984","184","","138","0.094012","273","","","0","121","results_rect_new","","965505248","0","0","","","","","","92","","satisfy"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","78.48320081364363","","84","","1","complete","395660","","20","","0","","","0","","0","77.316741","15498","447","4956","0.605254","16839","","","0","5905","results_rect_new","","15585746","","","16380","396284","0.163608","","10584","42","103","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.710056619718671","","68","","1","complete","24677","","18","","0","","","0","","0","2.886965","8636","329","2754","0.364191","9555","","","0","3383","results_rect_new","","904462","","","9214","24733","0.095011","","5916","34","79","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.2495856042951345","","684","","1","complete","24557","","77","","0","","","58","","0","2.441692","9774","944","3087","0.404634","10696","","","0","3561","results_rect_new","","2480966","","","9738","24623","0.105451","","6264","36","81","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9812126038596034","","544","","1","complete","1343","","2917","","0","","","2904","","0","0.115159","8000","782","2520","0.362616","8829","","","0","2959","results_rect_new","","138432","","","8032","1356","0.09058","","5152","32","73","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6782934181392","","112","","0","complete","3405927","","16","","0","","","0","","0","1198.492254","32452","655","10444","1.15586","34575","","","0","11991","results_rect_new","","136488935","","","33908","3408141","0.35125","","22064","56","141","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","24.728130063042045","","80","","1","complete","141489","","21","","0","","","0","","0","23.683097","13820","421","4420","0.549507","15053","","","0","5283","results_rect_new","","5435243","","","14620","141756","0.145968","","9440","40","97","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.749670997262001","","72","","1","complete","22234","","19","","0","","","0","","0","2.931309","10368","362","3312","0.414374","11390","","","0","4015","results_rect_new","","859378","","","11016","22308","0.112194","","7092","36","85","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.8101861411706","","104","","0","complete","3815531","","19","","0","","","0","","0","1198.621506","28652","620","9204","1.06361","30636","","","0","10643","results_rect_new","","142699128","","","30004","3824442","0.312473","","19500","52","133","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4905566396192","","92","","0","complete","4413250","","18","","0","","","0","","0","1199.059202","19964","511","6394","0.730344","21545","","","0","7527","results_rect_new","","148080879","","","21022","4416621","0.208106","","13616","46","115","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","24.05444631446153","","80","","1","complete","141576","","21","","0","","","0","","0","23.010916","13820","421","4420","0.549066","15053","","","0","5283","results_rect_new","","5432923","","","14620","141840","0.145171","","9440","40","97","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.8630269477143884","","72","","1","complete","24688","","19","","0","","","0","","0","2.981904","9162","335","2934","0.407363","10085","","","0","3561","results_rect_new","","907216","","","9738","24754","0.098643","","6264","36","81","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","843.0787774696946","","88","","1","complete","3359883","","21","","0","","","0","","0","841.783457","17996","484","5764","0.688173","19460","","","0","6803","results_rect_new","","110359525","","","18964","3364123","0.185346","","12276","44","109","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8056909274309874","","64","","1","complete","1184","","2094","","0","","","2080","","0","0.136742","6592","282","2112","0.311088","7334","","","0","2603","results_rect_new","","51778","","","7040","1198","0.072974","","4512","32","69","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","ALL_SOLUTIONS","13.314958069473505","","160","","1","","209027","","","","","324","","","","","12.9323","160","","120","0.098319","237","","","0","103","results_rect_new","","15874730","0","0","","","","","","80","","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","842.8480754084885","","88","","1","complete","3359883","","21","","0","","","0","","0","841.542758","17996","484","5764","0.679615","19460","","","0","6803","results_rect_new","","110359525","","","18964","3364123","0.188208","","12276","44","109","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","25.555270300246775","","80","","1","complete","141489","","21","","0","","","0","","0","24.509569","13820","421","4420","0.550735","15053","","","0","5283","results_rect_new","","5408353","","","14620","141761","0.146684","","9440","40","97","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5577033376321","","1300","","0","complete","4516264","","16","","0","","","0","","0","1198.628449","26375","1777","8375","1.08452","28214","","","0","9408","results_rect_new","","530419508","","","26425","4522144","0.28328","","17150","50","127","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.920186950825155","","72","","1","complete","24681","","19","","0","","","0","","0","3.077039","9162","335","2934","0.385746","10085","","","0","3561","results_rect_new","","906311","","","9738","24747","0.099122","","6264","36","81","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6141245467588","","208","","0","","","","","","","","","","","","","208","","156","0.105026","307","","","0","135","results_rect_new","","","","","","","","","","104","","satisfy"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","80.25167964026332","","84","","1","complete","397579","","21","","0","","","0","","0","78.931254","15498","447","4956","0.653127","16839","","","0","5905","results_rect_new","","15816542","","","16380","398242","0.165651","","10584","42","103","satisfy"
