"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5550539623945951","0.074902","19","52","2194","0","0.014073","961","12263","788","21","754","13","261377","results_free_filter","787","613","minimize","0.219767","34","754","0","241","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.7020507482811809","0.035814","15","33","809","0","0.005596","27","266","26","40","","3","8275","results_free_filter","25","746","minimize","0.167224","24","","0","","1","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5385376485064626","0.073884","18","49","4521","0","0.011914","705","4546","635","110","600","5","359099","results_free_filter","631","2502","minimize","0.210025","29","600","0","180","4","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.7728801351040602","0.035098","15","33","809","0","0.005004","27","266","26","40","","3","8272","results_free_filter","25","746","minimize","0.160484","24","","0","","1","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.6986968237906694","0.032889","10","48","1016","0","0.005092","129","224","26","1","","4","4666","results_free_filter","25","228","minimize","0.174395","32","","0","","1","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","1.064352503977716","0.035537","15","33","824","0","0.005265","41","282","26","40","","3","8309","results_free_filter","25","746","minimize","0.250537","32","","0","","1","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.8166962265968323","0.017019","17","77","180","0","0.00762","67","0","57","0","","2","806","results_free_filter","49","19","minimize","0.175343","69","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.8080498976632953","0.054468","18","77","954","0","0.006093","57","0","57","0","","3","3168","results_free_filter","49","123","minimize","0.239721","35","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","547.7203566124663","547.002694","18","105","3297878","0","0.007948","141","2102132","75","121483","","4","38328745","results_free_filter","67","2597664","minimize","0.17504","49","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.423632824793458","1.032609","28","43","9372","0","0.005516","35","8479","57","669","","1","173863","results_free_filter","49","8524","minimize","0.161","35","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.292150585912168","0.345357","28","51","3029","0","0.005695","40","2230","57","61","","1","52345","results_free_filter","49","3848","minimize","0.216299","35","","0","","8","complete"
