"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","606.6608485570177","606.026954","18","105","3404404","0","0.007112","141","2291447","75","126687","","4","40611544","results_free_filter","67","2752314","minimize","0.164901","49","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.863456797786057","0.473535","18","49","12746","0","0.005726","37","3316","37","109","","4","109230","results_free_filter","33","5578","minimize","0.16301","29","","0","","4","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.3147437274456024","1.933338","34","33","21670","0","0.005299","46","19070","37","1398","","1","347609","results_free_filter","33","26990","minimize","0.160148","29","","0","","4","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","201.22635170072317","200.47002","35","35","506544","0","0.011875","550","583041","516","23845","482","6","115780865","results_free_filter","515","764709","minimize","0.205828","34","482","0","241","1","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","610.8571838354692","610.215443","18","105","3339368","0","0.00721","143","2182942","75","115685","","4","38480910","results_free_filter","67","2744519","minimize","0.165091","49","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5431389287114143","0.077327","18","25","2159","0","0.004979","24","239","26","32","","1","21452","results_free_filter","25","2210","minimize","0.161568","24","","0","","1","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","147.54209736548364","146.919286","32","73","823189","0","0.007865","82","482351","75","29057","","1","14040781","results_free_filter","67","608652","minimize","0.161796","49","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7702372232452035","0.076188","15","61","2884","0","0.005559","55","363","37","9","","2","11833","results_free_filter","33","862","minimize","0.179245","45","","0","","4","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","142.923358165659","142.081143","32","73","823189","0","0.007336","82","482351","75","29057","","1","14040781","results_free_filter","67","608652","minimize","0.176188","49","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.3586144763976","1199.71986","14","105","6458374","0","0.034614","3515","4268911","2505","188954","2432","7","1123941879","results_free_filter","2497","6245218","minimize","0.252928","97","2432","0","608","8","complete"
