"configuration","problem","model","data_file","status","time","randomSeed","flatBoolConstraints","optTime","trailMem","evaluatedReifiedConstraints","intVariables","failures","oracleDecisions","nogoods","solutions","nodes","peakDepth","flatTime","flatIntVars","objective","userDecisions","evaluatedHalfReifiedConstraints","initTime","propagations","solveTime","variables","intVars","backjumps","propagators","extractedViews","blockType","flatIntConstraints","objectiveBound","nSolutions","unifiedVariables","flatBoolVars","paths","baseMem","run","peakMem","boolVariables","method","restarts"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.26806762442","","7140","","","","","875140","","","0","1750436","209","2.48097","725","","","42840","0.388401","2906352221","1197.52","43565","","","50459","","","43319","","0","","42840","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.1916411770508","","20860","","","1344","","478","","","","","","6.93572","1205","12852","","119400","","2170267","52.2656","","","","","","","120965","225","1","","120552","0","","results_container_new","","119554","minimize",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.4101639678702","","8385","","","","","600360","","","0","1200849","221","2.84269","785","","","50310","0.447469","2227377846","1197.16","51095","","","59213","","","50828","","0","","50310","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.9560134988278","","7710","","","798","","434","","","","","","2.40248","725","5376","","42840","","4627548","26.8674","","","","","","","43775","96","4","","43524","0","","results_container_new","","42958","minimize",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.310320917517","","960","","","2688","605","67250","166507","","","","3429","0.164077","1205","7488","0","","0.043324","5851297","1199.827194","","","","2118","600","complete","1758","","45","0","1728","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.1613120194525","-1679086100","5420","199.543","0.63","30358","","2430934","","2430934","","3422353","646","1.76106","899","6240","","","0.414","4723924273","1198.236","82899","899","972470","61146","","","30769","","39","","30264","0","0.0","results_container_new","0.0","81998","minimize","39"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3568845940754","","1210","","","3388","755","62948","290367","","","","4457","0.186283","1505","16320","0","","0.059889","6012963","1199.873761","","","","2668","750","complete","2208","","44","0","2178","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.7151285028085","","5420","","","1316","305","2035251","3615360","","","","10847","1.66071","605","5040","0","29700","0.353349","1581499159","1198.015458","","","","30739","300","complete","30569","","32","0","30546","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2806099420413","","615","","","1722","395","218984","264748","","","","914","0.127904","785","7840","0","","0.027986","14167958","1199.971369","","","","1359","390","complete","1134","","31","0","1107","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2303492398933","","470","","","1316","305","486485","545590","","","","697","0.118817","605","5115","0","","0.023893","31732404","1199.869421","","","","1040","300","complete","870","","37","0","846","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.159293519333","","570","","","1596","365","310293","366409","","","","738","0.123023","725","5292","0","","0.025994","13215955","1199.859595","","","","1260","360","complete","1050","","41","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.1683708317578","","465","","","1302","305","346584","394242","","","","629","0.118099","605","3952","0","","0.022387","14391938","1199.866898","","","","1029","300","complete","864","","36","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.490618380718","","20860","","","2688","605","1108252","3838714","","","","38412","6.43198","1205","9792","0","119400","1.448383","1971524237","1192.240754","","","","121517","600","complete","121157","","37","0","121128","0","","results_container_new","","","minimize","0"
