"configuration","problem","model","data_file","status","time","propagators","flatBoolVars","evaluatedHalfReifiedConstraints","blockType","flatIntConstraints","initTime","userDecisions","evaluatedReifiedConstraints","nSolutions","solveTime","flatBoolConstraints","extractedViews","flatTime","peakDepth","method","restarts","oracleDecisions","propagations","unifiedVariables","failures","paths","run","objective","flatIntVars","intVariables"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.7068991763517","38852","60917","1870","init","107170","1.787459","","44960","0","","14622","46303","3.25967","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_free_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1205.6350945830345","81113","172680","948","init","222683","5.323932","","117680","0","","54379","143748","6.81783","","minimize","","","","0","","0","results_carpet","","100973","31949"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.6193003989756","82422","246973","1225","complete","326937","7.640362","45548265","169682","0","1182.919859","76477","204778","10.2007","148110","minimize","4","20206773","274428867","0","4336","0","results_carpet","","151903","44537"
"Huub_vsid_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1205.3948966898024","62286","93583","4179","init","154825","2.297226","","67551","0","","23050","73929","5.0974","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1204.6127902762964","39104","63956","114","init","104804","2.780764","","45800","0","","18110","45800","2.7329","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.5912102377042","82422","246973","1225","init","326937","7.713492","","169682","0","","76477","204778","10.0989","","minimize","","","","0","","0","results_carpet","","151903","44537"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1203.6396097978577","62286","93583","4179","init","154825","2.311288","","67551","0","","23050","73929","4.83826","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.3606178527698","37430","79261","4559","init","117453","1.99497","","54874","0","","21155","63972","3.66065","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.4250901965424","85281","226725","1031","init","310217","8.416234","","156361","0","","69684","181479","9.32613","","minimize","","","","0","","0","results_carpet","","148741","46927"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","SATISFIED","1207.0339017100632","153626","226725","1031","complete","310217","8.500052","37612","156361","13","1182.039707","69684","181479","9.48569","150809","minimize","0","1959741","61412429","0","36648","0","results_carpet","1320","148741","61807"
"Huub_free_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","OPTIMAL_SOLUTION","583.1645132731646","67711","67230","149","complete","109747","3.14642","436","48118","468","575.311804","19034","48122","2.58623","60266","minimize","1","27334931","290647739","0","2069","0","results_carpet","963","58256","29132"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.6594870490953","55926","131429","428","init","191572","4.064113","","92057","0","","39113","102874","5.66083","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.4425103012472","37430","79261","4559","init","117453","1.998678","","54874","0","","21155","63972","3.70462","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.354983465746","37430","79261","4559","init","117453","1.995801","","54874","0","","21155","63972","3.6887","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_user_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1207.6639455538243","82422","246973","1225","complete","326937","7.356515","66907883","169682","0","1183.846235","76477","204778","9.64226","139156","minimize","0","0","153978740","0","5419","0","results_carpet","","151903","44537"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","OPTIMAL_SOLUTION","32.729282583110034","61776","63956","114","complete","104804","3.453512","30","45800","1","21.972264","18110","45800","2.95094","57838","minimize","0","57818","270329","0","11","0","results_carpet","815","55441","27717"
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.5228986050934","82422","246973","1225","complete","326937","7.614769","58158362","169682","0","1182.693829","76477","204778","10.4647","139156","minimize","0","0","144817280","0","5273","0","results_carpet","","151903","44537"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.5765108913183","53097","85313","4732","init","142671","2.548543","","60675","0","","21244","62688","4.22425","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.767248379998","37558","65242","4004","init","98928","1.765659","","45238","0","","17186","51459","3.12239","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1202.8046563249081","26843","38481","1532","init","70595","0.952556","","29066","0","","8371","31126","2.16189","","minimize","","","","0","","0","results_carpet","","39090","7348"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1202.6463964162394","66911","75238","4160","complete","138846","4.120686","182001","55743","7","1192.016458","16540","55862","3.91793","116327","minimize","0","695986","186437322","0","167901","0","results_carpet","4117","78022","37768"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.2562388787046","38852","60917","1870","init","107170","1.788493","","44960","0","","14622","46303","3.38232","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","OPTIMAL_SOLUTION","199.73048746958375","40819","46170","1635","complete","88225","2.731261","35974","35186","18","192.701421","9859","35315","2.38297","58722","minimize","0","1040326","32274242","0","28927","0","results_carpet","2033","50479","24734"
"Huub_vsid_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.5048321010545","32968","46170","1635","init","88225","1.496785","","35186","90","","9859","35315","2.31256","","minimize","","","","0","","0","results_carpet","4108","50479","9312"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","UNKNOWN","1209.0902794031426","152061","381858","1318","init","529883","12.210475","","264931","0","","116026","306085","16.3728","","minimize","","","","0","","0","results_carpet","","257309","77866"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1204.333706133999","41175","74443","3478","init","118711","1.737525","","52989","0","","19008","58991","3.90266","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_vsid_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1201.9886642005295","40819","46170","1635","complete","88225","2.736523","0","35186","593","1194.881505","9859","35315","2.37723","277589","minimize","0","44548340","181157923","0","3774","0","results_carpet","4058","50479","24734"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","SATISFIED","1208.1715426072478","96277","219411","851","init","314333","8.603083","","151921","1","","66933","164982","9.21293","","minimize","","","","0","","0","results_carpet","1933","157346","55219"
"Huub_user_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.4385216962546","37430","79261","4559","init","117453","1.998957","","54874","0","","21155","63972","3.7134","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_vsid_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","UNKNOWN","1209.6980028385296","152061","381858","1318","init","529883","12.367475","","264931","0","","116026","306085","16.5101","","minimize","","","","0","","0","results_carpet","","257309","77866"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1206.0767997410148","62286","93583","4179","init","154825","2.291334","","67551","0","","23050","73929","5.06578","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1202.700319416821","38852","60917","1870","init","107170","1.734461","","44960","0","","14622","46303","3.0091","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","SATISFIED","1209.9228583537042","257723","381858","1318","complete","529883","13.82165","16558","264931","8","1170.51729","116026","306085","16.5618","260789","minimize","0","2063125","191055125","0","16043","0","results_carpet","2757","257309","108082"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","UNKNOWN","1209.4440557258204","152061","381858","1318","init","529883","12.510738","","264931","0","","116026","306085","16.3316","","minimize","","","","0","","0","results_carpet","","257309","77866"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1202.8141487976536","26843","38481","1532","init","70595","1.019395","","29066","41","","8371","31126","2.16159","","minimize","","","","0","","0","results_carpet","3733","39090","7348"
"Huub_user_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.8770283851773","41175","74443","3478","init","118711","1.676614","","52989","0","","19008","58991","3.53269","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1203.0384701415896","39104","63956","114","init","104804","2.786371","","45800","0","","18110","45800","2.75487","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","OPTIMAL_SOLUTION","1125.9523686459288","98312","131429","428","complete","191572","5.682019","96843","92057","16","1111.189016","39113","102874","5.52995","97893","minimize","0","1502279","263978982","0","92626","0","results_carpet","875","95275","42225"
"Huub_free_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1203.229456123896","26843","38481","1532","init","70595","0.95065","","29066","41","","8371","31126","2.12463","","minimize","","","","0","","0","results_carpet","3733","39090","7348"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.0244220923632","55926","131429","428","init","191572","4.067476","","92057","0","","39113","102874","5.46453","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_vsid_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1203.2606829274446","39575","67662","225","init","101079","3.006899","","46692","0","","20845","46696","2.66114","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.338478319347","82422","246973","1225","init","326937","7.550154","","169682","0","","76477","204778","10.2266","","minimize","","","","0","","0","results_carpet","","151903","44537"
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1203.0094154411927","39575","67662","225","init","101079","3.101746","","46692","0","","20845","46696","2.79996","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_free_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.9535106727853","53097","85313","4732","init","142671","2.607618","","60675","0","","21244","62688","4.08077","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1202.859248478897","44826","67230","149","init","109747","2.666052","","48118","0","","19034","48122","2.71038","","minimize","","","","0","","0","results_carpet","","58256","19568"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1203.2327885506675","26843","38481","1532","init","70595","0.955435","","29066","41","","8371","31126","2.16267","","minimize","","","","0","","0","results_carpet","3733","39090","7348"
"Huub_vsid_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1211.220549586229","131733","401546","2284","init","508600","17.953721","","273920","0","","126042","343262","16.6106","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_free_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","UNKNOWN","1209.9558130968362","152061","381858","1318","init","529883","12.450848","","264931","0","","116026","306085","16.3676","","minimize","","","","0","","0","results_carpet","","257309","77866"
"Huub_free_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.6515329312533","37430","79261","4559","init","117453","2.000764","","54874","0","","21155","63972","4.044089","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_vsid_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.9102026093751","41175","74443","3478","init","118711","1.637234","","52989","0","","19008","58991","3.4361","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_free_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1204.036110471934","37558","65242","4004","init","98928","1.815363","","45238","0","","17186","51459","3.34259","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1205.0228408807889","39104","63956","114","init","104804","2.776884","","45800","0","","18110","45800","2.99588","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1202.8771441048011","31871","58127","184","init","87485","2.644464","","40204","0","","17824","40208","2.36194","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_free_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1209.6642031371593","131733","401546","2284","init","508600","11.681199","","273920","0","","126042","343262","16.0788","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_vsid_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","SATISFIED","1203.4671956505626","69268","85313","4732","complete","142671","3.441929","0","60675","353","1193.176445","21244","62688","4.149","118033","minimize","0","38968212","215648477","0","5120","0","results_carpet","6083","76363","35752"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1204.2600578060374","53097","85313","4732","init","142671","2.493164","","60675","0","","21244","62688","4.20151","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1203.283853086643","44826","67230","149","init","109747","2.706703","","48118","0","","19034","48122","2.63468","","minimize","","","","0","","0","results_carpet","","58256","19568"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1204.0127647295594","53097","85313","4732","init","142671","2.572773","","60675","0","","21244","62688","4.135399","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.7549177976325","37558","65242","4004","init","98928","1.811901","","45238","0","","17186","51459","3.16268","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_user_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1204.1735461419448","62286","93583","4179","init","154825","2.40273","","67551","0","","23050","73929","4.89731","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_vsid_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","SATISFIED","1204.1918256375939","98312","131429","428","init","191572","5.692473","","92057","544","","39113","102874","5.53449","","minimize","","","","0","","0","results_carpet","1551","95275","42225"
"Huub_user_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","UNKNOWN","1203.7780172526836","54286","75238","4160","init","138846","2.375198","","55743","0","","16540","55862","3.93643","","minimize","","","","0","","0","results_carpet","","78022","14686"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1203.3225263049826","44826","67230","149","init","109747","2.725781","","48118","0","","19034","48122","2.69412","","minimize","","","","0","","0","results_carpet","","58256","19568"
"Huub_free_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.857912266627","32968","46170","1635","init","88225","1.538655","","35186","343","","9859","35315","2.40024","","minimize","","","","0","","0","results_carpet","2493","50479","9312"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.9883312284946","53097","85313","4732","init","142671","2.589066","","60675","0","","21244","62688","4.08835","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","OPTIMAL_SOLUTION","43.39298175834119","32044","38481","1532","complete","70595","1.381202","4843","29066","2","38.200248","8371","31126","2.01073","41836","minimize","0","82779","5504753","0","4608","0","results_carpet","2370","39090","18017"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1205.3450109632686","62286","93583","4179","init","154825","2.305085","","67551","0","","23050","73929","5.15605","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1205.7097779316828","96277","219411","851","init","314333","8.633878","","151921","0","","66933","164982","8.6955","","minimize","","","","0","","0","results_carpet","","157346","55219"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.5007602665573","32968","46170","1635","init","88225","1.486476","","35186","373","","9859","35315","2.31467","","minimize","","","","0","","0","results_carpet","2332","50479","9312"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.825210807845","55926","131429","428","init","191572","4.107427","","92057","0","","39113","102874","5.47469","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1205.0237660808489","39104","63956","114","init","104804","2.771055","","45800","0","","18110","45800","2.96585","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.9462724374607","32968","46170","1635","init","88225","1.478067","","35186","343","","9859","35315","2.37127","","minimize","","","","0","","0","results_carpet","2493","50479","9312"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1204.3171888338402","41175","74443","3478","init","118711","1.724941","","52989","0","","19008","58991","3.81985","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.0561329256743","31871","58127","184","init","87485","2.519676","","40204","0","","17824","40208","2.23349","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.6847830172628","32968","46170","1635","init","88225","1.56454","","35186","343","","9859","35315","2.48158","","minimize","","","","0","","0","results_carpet","2493","50479","9312"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.3893355811015","53097","85313","4732","init","142671","2.582981","","60675","0","","21244","62688","4.34802","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_free_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1205.6713984571397","85281","226725","1031","init","310217","8.042896","","156361","0","","69684","181479","8.96355","","minimize","","","","0","","0","results_carpet","","148741","46927"
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.6878855340183","32968","46170","1635","init","88225","1.469874","","35186","373","","9859","35315","2.34791","","minimize","","","","0","","0","results_carpet","2332","50479","9312"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.6075936397538","55926","131429","428","init","191572","4.165986","","92057","0","","39113","102874","5.75767","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.8144797002897","38852","60917","1870","init","107170","1.831856","","44960","0","","14622","46303","3.26759","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.58079811465","37430","79261","4559","init","117453","2.000362","","54874","0","","21155","63972","4.03367","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1203.296268611215","26843","38481","1532","init","70595","0.956572","","29066","0","","8371","31126","2.13165","","minimize","","","","0","","0","results_carpet","","39090","7348"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.2741774646565","38852","60917","1870","init","107170","1.802636","","44960","0","","14622","46303","3.41243","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_free_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","SATISFIED","1203.3392643807456","47033","65242","4004","complete","98928","2.317172","51545","45238","378","1194.356583","17186","51459","3.36649","64190","minimize","2245","22497556","411170129","0","38242","0","results_carpet","1553","48937","19890"
"Huub_vsid_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1202.5986061850563","31871","58127","184","init","87485","2.568142","","40204","0","","17824","40208","2.30355","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_vsid_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","UNKNOWN","1203.4034357145429","39104","63956","114","init","104804","2.735452","","45800","0","","18110","45800","2.75875","","minimize","","","","0","","0","results_carpet","","55441","18161"
"Huub_vsid_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","OPTIMAL_SOLUTION","275.2893933132291","67711","67230","149","complete","109747","3.176841","0","48118","179","267.417758","19034","48122","2.51822","66948","minimize","0","10704769","160269991","0","2147","0","results_carpet","963","58256","29132"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","OPTIMAL_SOLUTION","192.0534830922261","203729","401546","2284","complete","508600","14.522836","1632","273920","6","152.038549","126042","343262","16.3641","226489","minimize","0","1325922","13565238","0","1288","0","results_carpet","1640","227513","79080"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1204.3289387943223","41175","74443","3478","init","118711","1.729241","","52989","0","","19008","58991","3.85804","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.4762872345746","32968","46170","1635","init","88225","1.465581","","35186","90","","9859","35315","2.27908","","minimize","","","","0","","0","results_carpet","4108","50479","9312"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1203.4443696578965","38852","60917","1870","init","107170","1.885034","","44960","0","","14622","46303","3.319","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_user_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.8099452573806","38852","60917","1870","init","107170","1.793214","","44960","0","","14622","46303","3.26091","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.7950908755884","38852","60917","1870","init","107170","1.791072","","44960","0","","14622","46303","3.28686","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.1989557323977","55926","131429","428","init","191572","4.158006","","92057","0","","39113","102874","5.53267","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.9075083695352","55926","131429","428","init","191572","4.163427","","92057","0","","39113","102874","5.52572","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_user_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1203.209647366777","37558","65242","4004","init","98928","1.790049","","45238","0","","17186","51459","3.09936","","minimize","","","","0","","0","results_carpet","","48937","11416"
