"configuration","problem","model","data_file","status","time","propagators","flatBoolVars","evaluatedHalfReifiedConstraints","blockType","flatIntConstraints","initTime","userDecisions","evaluatedReifiedConstraints","nSolutions","solveTime","flatBoolConstraints","extractedViews","flatTime","peakDepth","method","restarts","oracleDecisions","propagations","unifiedVariables","failures","paths","run","objective","flatIntVars","intVariables"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","SATISFIED","1203.8441710462794","49580","79261","4559","complete","117453","2.57923","369344","54874","6","1193.34075","21155","63972","4.08028","68064","minimize","0","399038","173391333","0","358278","0","results_carpet","2038","57134","22263"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1206.0951386811212","62286","93583","4179","init","154825","2.285413","","67551","0","","23050","73929","5.03287","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1203.020859687589","39575","67662","225","init","101079","3.112936","","46692","0","","20845","46696","2.78988","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.4317232258618","37430","79261","4559","init","117453","2.007154","","54874","0","","21155","63972","3.70854","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_free_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","OPTIMAL_SOLUTION","333.05209945794195","98312","131429","428","complete","191572","5.668422","1527","92057","113","318.247594","39113","102874","5.49486","97893","minimize","6","10577001","173225930","0","1999","0","results_carpet","875","95275","42225"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.8594540609047","37558","65242","4004","init","98928","1.813275","","45238","0","","17186","51459","3.2194","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_vsid_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.7631695531309","131733","401546","2284","init","508600","13.225989","","273920","0","","126042","343262","16.503799","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.011442466639","85281","226725","1031","init","310217","8.188007","","156361","0","","69684","181479","9.18215","","minimize","","","","0","","0","results_carpet","","148741","46927"
"Huub_vsid_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1203.3180255955085","26843","38481","1532","init","70595","0.949277","","29066","0","","8371","31126","2.12487","","minimize","","","","0","","0","results_carpet","","39090","7348"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1203.8712849821895","37558","65242","4004","init","98928","1.825536","","45238","0","","17186","51459","3.25732","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1203.3548171995208","44826","67230","149","init","109747","2.711471","","48118","0","","19034","48122","2.6701","","minimize","","","","0","","0","results_carpet","","58256","19568"
"Huub_free_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.395901825279","31871","58127","184","init","87485","2.540152","","40204","0","","17824","40208","2.43256","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","SATISFIED","1202.8689591744915","54032","74443","3478","complete","118711","2.278237","481378","52989","16","1194.61401","19008","58991","3.40503","71592","minimize","0","1123096","212412663","0","475277","0","results_carpet","2347","61253","26409"
"Huub_free_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.9226746270433","41175","74443","3478","init","118711","1.683417","","52989","0","","19008","58991","3.5632","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_free_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","SATISFIED","1207.4221933772787","153626","226725","1031","complete","310217","8.486693","7638","156361","193","1182.172608","69684","181479","9.48305","153368","minimize","15","29286079","334369501","0","9915","0","results_carpet","1069","148741","61807"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.7197813438252","55926","131429","428","init","191572","4.177916","","92057","0","","39113","102874","5.608","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_vsid_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.8181116748601","38852","60917","1870","init","107170","1.784771","","44960","0","","14622","46303","3.26797","","minimize","","","","0","","0","results_carpet","","59252","13238"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.3946667909622","31871","58127","184","init","87485","2.533901","","40204","0","","17824","40208","2.46023","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_vsid_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1203.2089204220101","37558","65242","4004","init","98928","1.797962","","45238","0","","17186","51459","3.23107","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.531337074004","131733","401546","2284","init","508600","14.241195","","273920","0","","126042","343262","16.0396","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.8692389838398","39575","67662","225","init","101079","3.108705","","46692","0","","20845","46696","2.77905","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_free_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1203.2909387927502","54286","75238","4160","init","138846","2.37413","","55743","23","","16540","55862","3.85416","","minimize","","","","0","","0","results_carpet","7294","78022","14686"
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.8686869274825","39575","67662","225","init","101079","3.0859","","46692","0","","20845","46696","2.78082","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_free_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1202.7388716638088","37558","65242","4004","init","98928","1.780614","","45238","0","","17186","51459","3.13801","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.8226017998531","39575","67662","225","init","101079","3.00761","","46692","0","","20845","46696","2.78365","","minimize","","","","0","","0","results_carpet","","51819","21256"
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.5489695426077","53097","85313","4732","init","142671","2.527706","","60675","0","","21244","62688","4.16104","","minimize","","","","0","","0","results_carpet","","76363","17550"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1202.5738671254367","31871","58127","184","init","87485","2.52363","","40204","0","","17824","40208","2.28093","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.18.dzn","UNKNOWN","1203.2283872580156","37558","65242","4004","init","98928","1.769295","","45238","0","","17186","51459","3.22909","","minimize","","","","0","","0","results_carpet","","48937","11416"
"Huub_free_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1202.8188021127135","26843","38481","1532","init","70595","0.957563","","29066","41","","8371","31126","2.16834","","minimize","","","","0","","0","results_carpet","3733","39090","7348"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1203.3943247450516","54286","75238","4160","init","138846","2.378615","","55743","23","","16540","55862","3.8669","","minimize","","","","0","","0","results_carpet","7294","78022","14686"
"Huub_user_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1205.9735459461808","96277","219411","851","init","314333","8.633377","","151921","0","","66933","164982","9.16814","","minimize","","","","0","","0","results_carpet","","157346","55219"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","UNKNOWN","1209.9221033370122","152061","381858","1318","init","529883","12.302836","","264931","0","","116026","306085","16.3781","","minimize","","","","0","","0","results_carpet","","257309","77866"
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1203.2623992478475","26843","38481","1532","init","70595","0.954784","","29066","0","","8371","31126","2.15888","","minimize","","","","0","","0","results_carpet","","39090","7348"
"Huub_user_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.1433635214344","55926","131429","428","init","191572","4.22871","","92057","0","","39113","102874","5.62092","","minimize","","","","0","","0","results_carpet","","95275","29397"
"Huub_vsid_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1204.678004765883","37430","79261","4559","init","117453","2.002408","","54874","0","","21155","63972","4.03519","","minimize","","","","0","","0","results_carpet","","57134","11765"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1203.3874103054404","54286","75238","4160","init","138846","2.419281","","55743","23","","16540","55862","3.94904","","minimize","","","","0","","0","results_carpet","7294","78022","14686"
"Huub_vsid_m","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1206.1045398814604","62286","93583","4179","init","154825","2.279589","","67551","0","","23050","73929","5.0392","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_free_s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1204.3417204562575","41175","74443","3478","init","118711","1.738828","","52989","0","","19008","58991","3.88696","","minimize","","","","0","","0","results_carpet","","61253","13179"
"Huub_free_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1203.5163686489686","62286","93583","4179","init","154825","2.380809","","67551","0","","23050","73929","4.92101","","minimize","","","","0","","0","results_carpet","","81889","17671"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.8662006249651","131733","401546","2284","init","508600","13.347348","","273920","0","","126042","343262","16.683499","","minimize","","","","0","","0","results_carpet","","227513","62106"
"Huub_free_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1202.541610300541","31871","58127","184","init","87485","2.50949","","40204","0","","17824","40208","2.26128","","minimize","","","","0","","0","results_carpet","","44866","18170"
"Huub_free_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.807172412984","82422","246973","1225","init","326937","7.541092","","169682","0","","76477","204778","10.0628","","minimize","","","","0","","0","results_carpet","","151903","44537"
"Huub_vsid_o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1204.8127521891147","38852","60917","1870","init","107170","1.794722","","44960","0","","14622","46303","3.28591","","minimize","","","","0","","0","results_carpet","","59252","13238"
