"configuration","problem","model","data_file","status","time","solveTime","oracleDecisions","eliminatedImplications","flatIntConstraints","unifiedVariables","restarts","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","propagations","method","flatBoolVars","flatTime","userDecisions","failures","objective","blockType","paths","peakDepth","flatBoolConstraints","nSolutions","intVariables","extractedViews","run","propagators","flatIntVars"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.090979391709","1193.326728","7816474","5000","79145","0","0","","1.459767","102200","206784190","minimize","83200","5.29801","0","158247","","complete","0","17308","49000","0","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","16.37953124474734","15.235765","743265","240","3738","0","0","","0.074652","4620","13067685","minimize","3810","0.406901","0","80731","S(5)","complete","0","3143","2250","4","1485","1680","results_free_prod_new","3107","1488"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","133.05279949307442","124.510195","949079","5000","79145","0","0","","1.225675","102200","25522044","minimize","83200","5.31786","0","37022","S(30)","complete","0","13952","49000","7","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.0930650522932","1192.999766","4808235","5000","78844","0","0","","1.439335","101500","186363336","minimize","82750","5.66533","0","43991","","complete","0","25776","48750","0","30197","35000","results_free_prod_new","67593","30200"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","6.512906653806567","5.366202","122648","240","3738","0","0","","0.074831","4620","2485220","minimize","3810","0.411953","0","31896","S(5)","complete","0","3127","2250","4","1485","1680","results_free_prod_new","3107","1488"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","15.045147970318794","11.060465","162576","2250","35530","0","0","","0.543868","45570","4262588","minimize","37170","2.48947","0","10460","S(20)","complete","0","6549","21900","9","13647","15750","results_free_prod_new","30429","13650"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.0205376837403","1197.114699","6747216","2250","35349","0","0","","0.609014","45150","150989059","minimize","36900","2.32075","0","165642","S(17)","complete","0","10794","21750","3","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","43.40363791119307","41.553066","819927","1000","15564","0","0","","0.271508","19600","13275724","minimize","16100","1.07433","0","30248","S(8)","complete","0","14205","9500","9","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.1644942359999","1193.353663","3666681","5000","79145","0","0","","1.417952","102200","128334044","minimize","83200","5.33723","0","294073","S(24)","complete","0","19653","49000","5","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","7.409877582453191","6.265997","231122","240","3738","0","0","","0.072605","4620","3897748","minimize","3810","0.408756","0","29537","S(5)","complete","0","3062","2250","4","1485","1680","results_free_prod_new","3107","1488"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","SATISFIED","1200.707428987138","1198.699059","29129361","1000","15564","0","0","","0.272105","19600","338170676","minimize","16100","1.04705","0","66933","S(17)","complete","0","15563","9500","3","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","78.6908448971808","76.306246","1193819","1000","14959","0","0","","0.355262","18200","10194181","minimize","15200","1.15739","0","9015","S(6)","complete","0","26773","9000","7","6097","7000","results_free_prod_new","11958","6100"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.4018049333245","1196.945182","24106253","2250","35349","0","0","","0.641814","45150","378653147","minimize","36900","2.45154","0","86023","S(17)","complete","0","9396","21750","1","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.0979383187369","1197.151933","1363097","2250","35892","0","0","","0.577216","46410","559280516","minimize","37710","2.34994","0","349762","","complete","0","2416","22200","0","13647","15750","results_free_prod_new","31091","13650"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","9.68694345280528","7.834564","148623","1000","15927","0","0","","0.249523","20440","2907335","minimize","16640","1.10464","0","9867","S(13)","complete","0","13291","9800","7","6097","7000","results_free_prod_new","13726","6100"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","23.59071126487106","4.766589","1825767","1000","161939","0","0","147000","2.357535","18200","48191374","minimize","162200","12.315","0","1186","S(6)","complete","0","309067","33500","5","6097","7000","results_free_prod_new","158938","6100"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","100.15326306968927","35.25222","2424363","2250","534819","0","0","499500","8.067842","45150","112870722","minimize","536400","43.0741","0","20768","S(13)","complete","0","951608","105000","3","13647","15750","results_free_prod_new","529568","13650"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.5817888993769884","0.930323","44052","250","3718","0","0","","0.06372","4410","565665","minimize","3710","0.321677","0","2788","S(10)","complete","0","3741","2200","1","1547","1750","results_free_prod_new","2917","1550"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1201.9742983309552","1193.29498","5765341","5000","77339","0","0","","1.748574","98000","91338782","minimize","80500","5.1147","0","108906","","complete","0","39355","47500","0","30197","35000","results_free_prod_new","64838","30200"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","UNKNOWN","1200.9535046331584","1196.954392","4467011","2250","34444","0","0","","0.751615","43050","54073736","minimize","35550","2.3682","0","139200","","complete","0","24837","21000","0","13647","15750","results_free_prod_new","28443","13650"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.845210546627641","3.697673","73831","240","3738","0","0","","0.074638","4620","2088604","minimize","3810","0.407521","0","28109","S(5)","complete","0","3126","2250","4","1485","1680","results_free_prod_new","3107","1488"
