"configuration","problem","model","data_file","status","time","solveTime","oracleDecisions","eliminatedImplications","flatIntConstraints","unifiedVariables","restarts","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","propagations","method","flatBoolVars","flatTime","userDecisions","failures","objective","blockType","paths","peakDepth","flatBoolConstraints","nSolutions","intVariables","extractedViews","run","propagators","flatIntVars"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0211915010586","1197.148848","6627241","2250","34444","0","0","","0.729207","43050","110098356","minimize","35550","2.23776","0","521572","S(10)","complete","0","29075","21000","5","13647","15750","results_free_prod_new","28443","13650"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","13.997706499882042","13.345316","370657","250","3901","0","0","","0.061658","4830","8827544","minimize","3980","0.332144","0","70416","S(4)","complete","0","3278","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.026962088421","1192.999423","2897158","5000","77339","0","0","","1.816743","98000","39679990","minimize","80500","5.32108","0","5314","","complete","0","39355","47500","0","30197","35000","results_free_prod_new","64838","30200"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1202.0443705515936","1192.948561","5328453","5000","77339","0","0","","1.792576","98000","69262838","minimize","80500","5.39824","0","34678","S(14)","complete","0","85026","47500","8","30197","35000","results_free_prod_new","64838","30200"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","68.51967208646238","60.053556","792665","5000","79145","0","0","","1.226094","102200","21877833","minimize","83200","5.30257","0","35213","S(30)","complete","0","13658","49000","8","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.1568110249937","1192.740539","214931","5000","79747","0","0","","1.303419","103600","444124163","minimize","84100","6.02557","0","115191","","complete","0","14797","49500","0","30197","35000","results_free_prod_new","69246","30200"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.087567776441574","0.491594","27570","250","3718","0","0","","0.061934","4410","321206","minimize","3710","0.318978","0","2317","S(10)","complete","0","3770","2200","1","1547","1750","results_free_prod_new","2917","1550"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","23.558281982317567","4.112603","659270","1000","162544","0","0","147000","2.321055","19600","14223705","minimize","163100","12.9089","0","2626","S(15)","complete","0","277469","34000","2","6097","7000","results_free_prod_new","160043","6100"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","46.20432273950428","45.064448","758879","240","3738","0","0","","0.069235","4620","18695885","minimize","3810","0.409311","0","160859","S(5)","complete","0","3063","2250","4","1485","1680","results_free_prod_new","3107","1488"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","723.8039869712666","719.906753","4095258","2250","35892","0","0","","0.570352","46410","171934938","minimize","37710","2.30275","0","367195","S(13)","complete","0","6536","22200","12","13647","15750","results_free_prod_new","31091","13650"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","9.092438561841846","8.396254","472304","250","3901","0","0","","0.063351","4830","8031893","minimize","3980","0.333371","0","2160","S(4)","complete","0","3292","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","11.885788131505251","7.950166","243020","2250","35530","0","0","","0.540105","45570","2932470","minimize","37170","2.47592","0","6221","S(20)","complete","0","28133","21900","6","13647","15750","results_free_prod_new","30429","13650"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.2741507738829","1192.79609","2861490","5000","78844","0","0","","1.483319","101500","131410628","minimize","82750","5.8295","0","69320","","complete","0","16074","48750","0","30197","35000","results_free_prod_new","67593","30200"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","6.55156758800149","4.698928","173255","1000","15927","0","0","","0.252749","20440","2610664","minimize","16640","1.11635","0","10094","S(13)","complete","0","13579","9800","8","6097","7000","results_free_prod_new","13726","6100"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","19.227236727252603","18.626036","519881","250","3901","0","0","","0.061706","4830","6234800","minimize","3980","0.333092","0","69286","S(4)","complete","0","3276","2350","6","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0141977621242","1197.080558","4636102","2250","34444","0","0","","0.72941","43050","58983543","minimize","35550","2.25137","0","200412","S(10)","complete","0","29221","21000","2","13647","15750","results_free_prod_new","28443","13650"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.0660309623927","1193.156022","5959545","5000","79747","0","0","","1.297846","103600","389943233","minimize","84100","5.63927","0","858380","S(17)","complete","0","14754","49500","9","30197","35000","results_free_prod_new","69246","30200"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","SATISFIED","1200.4914864432067","1198.720158","6677135","1000","15564","0","0","","0.260934","19600","253067565","minimize","16100","1.04189","0","343580","S(17)","complete","0","14856","9500","4","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.229992900975","1193.030186","1842353","5000","79747","0","0","","1.310645","103600","243107462","minimize","84100","5.77678","0","367047","","complete","0","14827","49500","0","30197","35000","results_free_prod_new","69246","30200"
