"configuration","problem","model","data_file","status","time","unifiedVariables","userDecisions","initTime","flatIntConstraints","backjumps","flatBoolVars","intVars","optTime","propagations","peakMem","randomSeed","variables","peakDepth","trailMem","boolVariables","solutions","nSolutions","evaluatedReifiedConstraints","nogoods","solveTime","intVariables","objective","method","paths","objectiveBound","failures","flatTime","flatBoolConstraints","restarts","oracleDecisions","flatIntVars","evaluatedHalfReifiedConstraints","nodes","propagators","blockType","run","extractedViews","baseMem","error"
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1203.3579953638837","0","","2.199277","150686","","89443","","","","","","","","","","","0","67560","","","17671","","minimize","0","","","4.45392","22015","","","81889","30","","58302","init","results_carpet_new","73938","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1202.9882411686704","0","","1.772689","105311","","59057","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","2.98058","14157","","","59252","8","","37107","init","results_carpet_new","46305","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","OPTIMAL_SOLUTION","447.59622999932617","0","181499784","12.598682","528584","","380558","","","113357538","","","","6239633","","","","1","264935","","409.925447","77866","2073","minimize","0","","3579","16.8027","115701","0","0","257309","14","","150817","complete","results_carpet_new","306089","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.15.dzn","SATISFIED","1200.6787589611486","","","","181","","49","","","2977329","","","","","","1506","","12","57","","2.25527","","2634","minimize","0","2073","20837","0.17869","38","","","111","10","","","","results_carpet_new","","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","SATISFIED","1201.4561614990234","","","0.117","4494","59585","4256","278","183.849","6535181325","0.0","2084681548","90705","75","0.28","90425","","33","4266","2503425","1199.633","","3929","minimize","0","","2503425","0.363395","1138","33","","212","9","2565397","8620","","results_carpet_new","","0.0",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.1966910129413","0","","2.360951","137967","","80609","","","","","","","","","","","0","60685","","","17550","","minimize","0","","","4.02745","20068","","","76362","18","","49011","init","results_carpet_new","62698","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.4383812947199","0","","2.666241","87306","","57947","","","","","","","","","","","0","40208","","","18170","","minimize","0","","","2.30285","17779","","","44866","","","31716","init","results_carpet_new","40212","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1203.055763952434","0","","2.928025","109604","","67086","","","","","","","","","","","0","48123","","","19568","","minimize","0","","","2.84306","18998","","","58256","","","44691","init","results_carpet_new","48127","",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","SATISFIED","1200.7822463409975","","","0.092698","303","","93","","","916214023","","","397","134","","","24","24","75","","1199.82","","2995","minimize","0","","505838","0.193893","59","0","","188","26","1012190","86222","","results_carpet_new","","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.01.dzn","UNKNOWN","1203.2919802041724","0","","2.793167","87306","","57947","","","","","","","","","","","0","40208","","","18170","","minimize","0","","","2.42667","17779","","","44866","","","31716","init","results_carpet_new","40212","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","SATISFIED","1200.7394459564239","","","","191","","64","","","46478","","","","","","543","","13","64","","0.130273","","742","minimize","0","636","524","0.26303","52","","","105","16","","","","results_carpet_new","","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.330470468849","0","","8.216542","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.27534","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","SATISFIED","1201.1948435064405","","","0.086","4439","349504","4214","272","7.061","5786110576","0.0","974504106","92953","84","0.28","92679","","90","4229","2656018","1199.624","","4055","minimize","0","","2656018","0.373742","1096","90","","212","10","3012835","8518","","results_carpet_new","","0.0",""
