"configuration","problem","model","data_file","status","time","unifiedVariables","userDecisions","initTime","flatIntConstraints","backjumps","flatBoolVars","intVars","optTime","propagations","peakMem","randomSeed","variables","peakDepth","trailMem","boolVariables","solutions","nSolutions","evaluatedReifiedConstraints","nogoods","solveTime","intVariables","objective","method","paths","objectiveBound","failures","flatTime","flatBoolConstraints","restarts","oracleDecisions","flatIntVars","evaluatedHalfReifiedConstraints","nodes","propagators","blockType","run","extractedViews","baseMem","error"
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","OPTIMAL_SOLUTION","1.3850458385422826","","","","81","","23","","","366949","","","","","","545","","19","22","","0.179208","","963","minimize","0","963","2268","0.187343","15","","","54","5","","","","results_carpet_new","","",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","OPTIMAL_SOLUTION","365.47129778936505","","","0.029619","93","","23","","","2447068589","","","105","29","","","19","19","18","","364.7","","963","minimize","0","","5781694","0.180981","9","0","","62","5","11563490","13717","","results_carpet_new","","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1201.2320281947032","","","","191","","53","","","121494","","","","","","660","","10","62","","0.203144","","2842","minimize","0","2370","1023","0.29732","41","","","121","12","","","","results_carpet_new","","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1204.8422479517758","0","","5.372466","222683","","172680","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","7.14523","54379","","","100973","940","","81113","init","results_carpet_new","143756","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1203.2415886791423","0","","1.532493","86602","","44546","","","","","","","","","","","673","35193","","","9312","4063","minimize","0","","","2.33463","9453","","","50479","4","","31567","init","results_carpet_new","35322","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.3911977279931","0","","4.174537","191153","","131009","","","","","","","","","","","0","92059","","","29397","","minimize","0","","","5.57135","39008","","","95275","6","","55535","init","results_carpet_new","102876","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1202.2517161564901","0","","0.90024","69084","","36969","","","","","","","","","","","0","29072","","","7348","","minimize","0","","","1.962","7993","","","39090","14","","25488","init","results_carpet_new","31132","",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","SATISFIED","1201.207500438206","","","0.055569","218","","53","","","484701549","","","265","59","","","10","10","49","","1199.71","","2842","minimize","0","","1476169","0.296177","27","0","","139","12","2952460","39900","","results_carpet_new","","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.5095050148666","0","","7.468827","325738","","245773","","","","","","","","","","","0","169687","","","44537","","minimize","0","","","10.0232","76177","","","151903","20","","81277","init","results_carpet_new","204783","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","SATISFIED","1200.8315450595692","","","0.035","984","1345582","878","122","87.15","3960324743","0.0","804094101","28621","39","0.12","28497","","28","888","6517070","1199.764","","1215","minimize","0","","6517070","0.23271","237","28","","96","5","7863716","1803","","results_carpet_new","","0.0",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","UNKNOWN","1203.3884091712534","0","","2.19797","150686","","89443","","","","","","","","","","","0","67560","","","17671","","minimize","0","","","4.60015","22015","","","81889","30","","58302","init","results_carpet_new","73938","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","SATISFIED","1200.7941058725119","","","0.04","1182","94009","1070","127","0.077","10198669189","0.0","848279779","22171","43","0.08","22042","","13","1078","6313592","1199.772","","1385","minimize","0","","6313592","0.225235","304","13","","103","5","6408190","2184","","results_carpet_new","","0.0",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1202.260676764883","0","","0.956758","69084","","36969","","","","","","","","","","","0","29072","","","7348","","minimize","0","","","2.04219","7993","","","39090","14","","25488","init","results_carpet_new","31132","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","UNKNOWN","1203.4285233635455","0","","2.357373","134708","","71098","","","","","","","","","","","0","55753","","","14686","","minimize","0","","","4.039069","15505","","","78023","10","","50653","init","results_carpet_new","55872","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","SATISFIED","1202.4050889527425","","","","89","","23","","","172284907","","","","","","1605","","11","32","","66.6686","","1011","minimize","0","930","894984","0.322109","17","","","59","4","","","","results_carpet_new","","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1204.6010240148753","0","","5.275862","221760","","171756","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","6.83979","54148","","","100973","16","","80190","init","results_carpet_new","143756","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1203.2197504518554","0","","1.493242","86602","","44546","","","","","","","","","","","1566","35193","","","9312","2925","minimize","0","","","2.36695","9453","","","50479","4","","31567","init","results_carpet_new","35322","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","SATISFIED","1201.1245145304129","","","","290","","118","","","481973579","","","","","","6622","","9","101","","154.122","","2192","minimize","0","1862","807573","0.212591","125","","","169","39","","","","results_carpet_new","","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.08.dzn","SATISFIED","1200.8171654092148","","","","355","","116","","","1189653525","","","","","","4741","","33","104","","880.599","","3929","minimize","0","3072","6217360","0.203115","103","","","212","31","","","","results_carpet_new","","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","UNKNOWN","1204.4156133020297","0","","4.111961","191153","","131009","","","","","","","","","","","0","92059","","","29397","","minimize","0","","","5.52306","39008","","","95275","6","","55535","init","results_carpet_new","102876","",""
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1202.2413612129167","0","","0.941664","69084","","36969","","","","","","","","","","","0","29072","","","7348","","minimize","0","","","1.9893","7993","","","39090","14","","25488","init","results_carpet_new","31132","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.11.dzn","UNKNOWN","1202.884725594893","0","","2.778604","109604","","67086","","","","","","","","","","","0","48123","","","19568","","minimize","0","","","2.74144","18998","","","58256","","","44691","init","results_carpet_new","48127","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1203.0863883430138","0","","1.860165","112942","","74749","","","","","","","","","","","0","54875","","","11765","","minimize","0","","","3.23494","20027","","","57134","46","","33125","init","results_carpet_new","63973","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1204.5453779073432","0","","5.349621","221760","","171756","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","6.97534","54148","","","100973","16","","80190","init","results_carpet_new","143756","",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","SATISFIED","1202.0467752339318","","","0.123857","225","","42","","","753431502","","","273","67","","","18","18","40","","1199.69","","2660","minimize","0","","1132531","0.332686","22","0","","153","6","2265213","60935","","results_carpet_new","","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1206.1870301943272","0","","9.124585","313494","","218571","","","","","","","","","","","0","151926","","","55219","","minimize","0","","","9.32322","66723","","","157346","6","","95500","init","results_carpet_new","164987","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1203.764203411527","0","","1.791302","105311","","59057","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","3.03496","14157","","","59252","8","","37107","init","results_carpet_new","46305","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.17.dzn","UNKNOWN","1203.3023544000462","0","","1.925196","117453","","79261","","","","","","","","","","","0","54875","","","11765","","minimize","0","","","3.54757","21155","","","57134","4558","","37430","init","results_carpet_new","63973","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.985902636312","0","","1.754965","118711","","74443","","","","","","","","","","","0","52993","","","13179","","minimize","0","","","3.637","19008","","","61253","3474","","41175","init","results_carpet_new","58995","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","SATISFIED","1201.676747750491","","","0.081","3710","808833","3537","216","77.309","7453605466","0.0","-350593429","75674","74","0.28","75456","","47","3557","4763356","1199.473","","2629","minimize","0","","4763356","0.525263","948","47","","164","4","5575621","7148","","results_carpet_new","","0.0",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","SATISFIED","1200.7104936195537","","","","145","","38","","","237939264","","","","","","2165","","25","46","","118.47","","1271","minimize","0","1075","1313731","0.175479","27","","","96","7","","","","results_carpet_new","","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.02.dzn","SATISFIED","1201.5375273497775","","","","51","","14","","","204056","","","","","","766","","8","18","","0.244515","","919","minimize","0","815","1215","0.247638","10","","","37","2","","","","results_carpet_new","","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.14.dzn","UNKNOWN","1208.6418809816241","0","","11.589111","506357","","399302","","","","","","","","","","","0","273928","","","62106","","minimize","0","","","15.6543","125481","","","227513","32","","129566","init","results_carpet_new","343270","",""
"Huub_user_s+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","UNKNOWN","1202.9010232221335","0","","3.179529","100860","","67442","","","","","","","","","","","0","46697","","","21256","","minimize","0","","","2.65382","20790","","","51819","","","39380","init","results_carpet_new","46701","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.10.dzn","UNKNOWN","1203.1838134611025","0","","2.463075","137967","","80609","","","","","","","","","","","0","60685","","","17550","","minimize","0","","","3.90238","20068","","","76362","18","","49011","init","results_carpet_new","62698","",""
"Huub_user_diffn","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.07.dzn","UNKNOWN","1202.8087787637487","0","","0.976607","69084","","36969","","","","","","","","","","","0","29072","","","7348","","minimize","0","","","2.01974","7993","","","39090","14","","25488","init","results_carpet_new","31132","",""
"chuffed","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.03.dzn","SATISFIED","1202.602277547121","","","0.025","499","5858081","434","75","287.758","3646053487","0.0","-409869973","23757","29","0.08","23680","","12","445","7823193","1199.649","","1007","minimize","0","","7823193","0.347899","120","12","","59","2","13681607","897","","results_carpet_new","","0.0",""
"gecode","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.12.dzn","SATISFIED","1200.6127084661275","","","0.029122","116","","29","","","11593076881","","","129","44","","","28","28","24","","1199.81","","641","minimize","0","","4522919","0.192983","12","0","","75","5","9045975","15578","","results_carpet_new","","",""
