"configuration","problem","model","data_file","status","time","extractedViews","flatIntVars","propagators","method","evaluatedReifiedConstraints","userDecisions","objective","eliminatedImplications","evaluatedHalfReifiedConstraints","blockType","solveTime","nSolutions","restarts","intVariables","failures","unifiedVariables","run","flatBoolConstraints","flatTime","flatIntConstraints","initTime","flatBoolVars","peakDepth","oracleDecisions","paths","propagations"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.8282768931239843","1750","1550","20907","minimize","4410","0","S(10)","250","18000","complete","0.325252","1","21","1547","825","0","results_free_prod_shelf","5200","1.52912","21708","0.291945","21710","36510","69604","0","2069431"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1201.9259044835344","35000","30200","67593","minimize","101500","0","S(21)","5000","","complete","1193.121034","6","168","30197","21578","0","results_free_prod_shelf","48750","5.57207","78844","1.38753","82750","51216","2751967","0","66936756"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0020629428327","15750","13650","28443","minimize","43050","0","S(11)","2250","","complete","1197.057144","2","56","13647","17561","0","results_free_prod_shelf","21000","2.30083","34444","0.706033","35550","48123","3037125","0","41518481"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","169.9429488973692","7000","6100","13284","minimize","19880","0","S(20)","1000","","complete","168.155592","1","5052","6097","156572","0","results_free_prod_shelf","9600","1.06281","15685","0.221508","16280","11210","1021394","0","45436898"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.0806065974757","15750","13650","30098","minimize","45150","0","S(17)","2250","","complete","1197.004292","6","397","13647","54049","0","results_free_prod_shelf","21750","2.40386","35349","0.62747","36900","29544","4005428","0","77312860"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","671.5457450961694","35000","30200","1553094","minimize","102200","0","S(24)","5000","1485000","complete","476.343288","9","205","30197","25860","0","results_free_prod_shelf","296500","131.8","1564095","24.392046","1568200","2948534","97963299","0","1774405686"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.1142808599398","35000","30200","69246","minimize","103600","0","S(26)","5000","","complete","1193.052552","3","1170","30197","81965","0","results_free_prod_shelf","49500","5.65493","79747","1.383977","84100","57478","2735560","0","88100807"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.105597791261971","1750","1550","21018","minimize","4550","0","S(9)","250","18000","complete","0.611449","2","32","1547","2013","0","results_free_prod_shelf","5250","1.51911","21769","0.297214","21800","36487","146747","0","3841430"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","823.8950958848","1750","1550","3250","minimize","4830","0","S(6)","250","","complete","823.290322","5","19","1547","2079939","0","results_free_prod_shelf","2350","0.311877","3901","0.060454","3980","3095","16434456","0","713658584"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.4993589594960213","1750","1550","3250","minimize","4830","0","S(6)","250","","complete","0.718846","5","16","1547","2051","0","results_free_prod_shelf","2350","0.312925","3901","0.059956","3980","3056","26732","0","368192"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.532136345282197","1680","1488","3107","minimize","4620","0","S(5)","240","","complete","4.81589","3","421","1485","18606","0","results_free_prod_shelf","2250","0.338467","3738","0.06204","3810","3023","90616","0","1886524"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","96.4589101113379","15750","13650","30429","minimize","45570","0","S(20)","2250","","complete","92.397386","9","245","13647","5323","0","results_free_prod_shelf","21900","2.49071","35530","0.543463","37170","25705","518047","0","9224578"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1202.1096228435636","35000","30200","67593","minimize","101500","0","S(36)","5000","","complete","1192.931985","11","163","30197","11701","0","results_free_prod_shelf","48750","5.7032","78844","1.438359","82750","67615","2760284","0","54252823"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.5897897463291883","1750","1550","2917","minimize","4410","0","S(10)","250","","complete","1.037461","1","35","1547","1372","0","results_free_prod_shelf","2200","0.301047","3718","0.059","3710","3935","26534","0","292222"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.019413861446","35000","30200","69246","minimize","103600","0","S(35)","5000","","complete","1193.201746","16","660","30197","54755","0","results_free_prod_shelf","49500","5.60791","79747","1.279651","84100","57357","2571278","0","97732691"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","788.5537922400981","35000","30200","68144","minimize","102200","0","S(30)","5000","","complete","780.166226","10","751","30197","31837","0","results_free_prod_shelf","49000","5.21452","79145","1.197056","83200","70139","2117214","0","53610229"
