"configuration","problem","model","data_file","status","time","extractedViews","flatIntVars","propagators","method","evaluatedReifiedConstraints","userDecisions","objective","eliminatedImplications","evaluatedHalfReifiedConstraints","blockType","solveTime","nSolutions","restarts","intVariables","failures","unifiedVariables","run","flatBoolConstraints","flatTime","flatIntConstraints","initTime","flatBoolVars","peakDepth","oracleDecisions","paths","propagations"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","22.654442436993122","7000","6100","160706","minimize","20440","0","S(13)","1000","147000","complete","4.387708","5","47","6097","1055","0","results_free_prod_shelf","34300","12.0442","162907","2.27582","163640","285214","1468512","0","28425267"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.896480699069798","1750","1550","2917","minimize","4410","0","S(10)","250","","complete","2.239634","1","55","1547","1933","0","results_free_prod_shelf","2200","0.303129","3718","0.059426","3710","4058","60015","0","580570"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1202.0747958598658","35000","30200","68144","minimize","102200","0","S(31)","5000","","complete","1193.615904","7","817","30197","94523","0","results_free_prod_shelf","49000","5.20358","79145","1.220702","83200","52391","2792159","0","89383519"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1202.09935942851","35000","30200","67593","minimize","101500","0","S(47)","5000","","complete","1193.072255","4","63","30197","49668","0","results_free_prod_shelf","48750","5.60696","78844","1.409476","82750","67076","2493685","0","71009783"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.224189454689622","1750","1550","3250","minimize","4830","0","S(6)","250","","complete","0.660564","5","6","1547","995","0","results_free_prod_shelf","2350","0.308255","3901","0.058096","3980","2959","19907","0","186693"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1201.070058843121","15750","13650","31091","minimize","46410","0","S(14)","2250","","complete","1197.192505","15","4583","13647","270332","0","results_free_prod_shelf","22200","2.26846","35892","0.57558","37710","23055","3686364","0","145947050"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0491388039663","15750","13650","28443","minimize","43050","0","S(11)","2250","","complete","1197.093612","5","112","13647","34761","0","results_free_prod_shelf","21000","2.23563","34444","0.741915","35550","48812","4262607","0","47908999"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","243.31818427983671","7000","6100","13063","minimize","19600","0","S(8)","1000","","complete","241.42325","10","317","6097","21551","0","results_free_prod_shelf","9500","1.05776","15564","0.271965","16100","15066","1830494","0","26118261"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","8.035990266129375","1680","1488","3107","minimize","4620","0","S(5)","240","","complete","7.435295","6","393","1485","20738","0","results_free_prod_shelf","2250","0.321785","3738","0.062608","3810","3268","142697","0","2311809"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1202.022884982638","35000","30200","68144","minimize","102200","0","S(31)","5000","","complete","1193.648424","19","1045","30197","58517","0","results_free_prod_shelf","49000","5.1684","79145","1.232764","83200","52486","2766769","0","76725943"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1200.9741555238143","15750","13650","30098","minimize","45150","0","S(13)","2250","","complete","1196.933604","7","623","13647","101403","0","results_free_prod_shelf","21750","2.49014","35349","0.605537","36900","31554","4065685","0","85922493"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","2.6977090211585164","1750","1550","21240","minimize","4830","0","S(4)","250","18000","complete","0.317623","4","16","1547","581","0","results_free_prod_shelf","5350","1.49642","21891","0.290756","21980","36451","157215","0","2177339"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.5961777726188302","1750","1550","2917","minimize","4410","0","S(10)","250","","complete","1.040474","1","37","1547","1427","0","results_free_prod_shelf","2200","0.302915","3718","0.059296","3710","3935","27168","0","306823"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","164.375264627859","7000","6100","13726","minimize","20440","0","S(13)","1000","","complete","162.52936","8","87","6097","59686","0","results_free_prod_shelf","9800","1.12475","15927","0.236256","16640","13343","1272125","0","35265624"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","118.69303503539413","15750","13650","529568","minimize","45150","0","S(13)","2250","499500","complete","54.563568","4","174","13647","21285","0","results_free_prod_shelf","105000","42.4833","534819","8.128193","536400","984208","5646051","0","300677399"
