"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","98.48082103393972","152","19139091","96.922384","25025","satisfy","23875","8904","556","0","results_free_rect","50","7675","1","25593","314319","123","100","7787","complete","0","16250","406240","0.812257","180563","0.242511"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6608280939981341","4420","189476","0.559968","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3845","0.531446","10506","0.145271"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","8.788031755946577","83","1999389","7.408228","19803","satisfy","18837","7086","490","0","results_free_rect","46","6049","1","20305","33471","111","92","1291","complete","0","12834","39756","0.683653","16170","0.192182"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5510398969054222","64","167396","0.519376","13140","satisfy","12420","4759","393","0","results_free_rect","40","3980","1","13545","2606","93","80","27","complete","0","8480","3502","0.497004","1165","0.130029"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","4.869237675331533","2934","1347984","4.149926","9738","satisfy","9162","3561","335","0","results_free_rect","36","2934","1","10085","26251","81","72","871","complete","0","6264","30302","0.36062","11845","0.094699"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","64.95573229994625","2005","12104223","62.367237","41250","satisfy","39570","14529","729","0","results_free_rect","60","12750","1","41991","151180","153","120","2387","complete","0","26880","233357","1.34749","116028","0.411955"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","2.394890475086868","2934","659278","1.664023","9738","satisfy","9162","3561","335","0","results_free_rect","36","2934","1","10085","8030","81","72","611","complete","0","6264","12956","0.374048","14338","0.095328"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","2.0986389303579926","252","634027","0.680079","17138","satisfy","17182","6161","1376","0","results_free_rect","44","5445","1","18526","2587","105","1012","83","complete","0","11088","4251","0.670977","2630","0.177972"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","49.924349242821336","1047","11345391","48.128803","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","148844","127","100","6669","complete","0","17150","221063","0.928575","134931","0.259062"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.671288206242025","369","611913","1.871905","11016","satisfy","10368","4015","362","0","results_free_rect","36","3312","1","11390","8052","85","72","283","complete","0","7092","14589","0.405526","8210","0.112104"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.700174025259912","1953","72196","0.143557","6615","satisfy","6165","2458","276","0","results_free_rect","30","1965","1","6903","1124","67","60","85","complete","0","4230","1382","0.275411","2470","0.066128"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.67073361761868","3549","1033847","0.825601","9738","satisfy","9774","3561","944","0","results_free_rect","36","3087","1","10696","5627","81","684","295","complete","0","6264","7841","0.385639","10835","0.103948"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","11.600282742641866","541","2390131","9.865142","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","33364","127","100","1421","complete","0","17150","47925","0.938241","27370","0.260042"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.832581242546439","141","634903","2.008756","11609","satisfy","10963","4216","368","0","results_free_rect","38","3515","1","11989","10302","87","76","285","complete","0","7486","14633","0.407637","5811","0.110342"
