"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","3.6100357631221414","5769","826329","2.237685","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","9781","109","88","559","complete","0","12276","13556","0.699592","19394","0.178098"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8339133765548468","2548","71566","0.175454","8517","satisfy","8007","3124","312","0","results_free_rect","34","2567","1","8841","1297","75","68","108","complete","0","5474","1579","0.330992","3145","0.085749"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","2.269230146892369","2760","624584","1.576922","9214","satisfy","8636","3383","329","0","results_free_rect","34","2754","1","9555","8715","79","68","517","complete","0","5916","12629","0.350733","12244","0.090655"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","28.68537492211908","108","6951713","27.44355","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121216","103","84","4067","complete","0","10584","154463","0.616598","61998","0.161456"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","50.89287457242608","1047","11345391","49.17543","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","148844","127","100","6669","complete","0","17150","221063","0.957179","134931","0.257727"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.725720101036131","541","2390131","9.943398","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","33364","127","100","1421","complete","0","17150","47925","0.933131","27370","0.260232"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","95.56418140139431","1968","19983511","93.440844","33908","satisfy","32452","11991","655","0","results_free_rect","56","10444","1","34575","237895","141","112","9795","complete","0","22064","339909","1.15078","237872","0.333909"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","6.534963178448379","1956","3516865","4.345442","33908","satisfy","33964","11991","2166","0","results_free_rect","56","10822","1","36086","14601","141","1624","85","complete","0","22064","19403","1.19535","8062","0.354147"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","8.613962767645717","2446","5384457","6.448205","30004","satisfy","29952","10643","1919","0","results_free_rect","52","9529","1","31935","17306","133","1404","685","complete","0","19500","24754","1.10147","16341","0.339586"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6889788089320064","1952","66359","0.134352","6615","satisfy","6165","2458","276","0","results_free_rect","30","1965","1","6903","1097","67","60","81","complete","0","4230","1347","0.275719","2436","0.066561"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","98.30498934350908","138","19141600","96.570744","25025","satisfy","23875","8904","556","0","results_free_rect","50","7675","1","25593","314320","123","100","7787","complete","0","16250","406243","0.826273","180554","0.242824"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","51.018438468687236","1815","10900703","48.724911","38019","satisfy","36453","13406","698","0","results_free_rect","58","11745","1","38729","154970","147","116","5165","complete","0","24766","205189","1.25365","102117","0.374281"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","56.001600126735866","2001","43636260","53.293259","41250","satisfy","41310","14529","2468","0","results_free_rect","60","13185","1","43730","165503","153","1860","3117","complete","0","26880","229713","1.41458","105688","0.432281"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","27.535988667979836","114","6968071","26.310051","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121115","103","84","4181","complete","0","10584","154559","0.585391","62971","0.158878"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","58.110652666538954","1968","12141076","55.876516","33908","satisfy","32452","11991","655","0","results_free_rect","56","10444","1","34575","152601","141","112","6153","complete","0","22064","204753","1.14412","141567","0.346815"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","47.22450483310968","240","9400927","44.853099","36736","satisfy","35168","12975","692","0","results_free_rect","56","11312","1","37440","126235","145","112","3619","complete","0","23912","171502","1.31592","83378","0.366578"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.6574041210114956","4420","188563","0.552813","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3853","0.533598","10521","0.143689"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.8519272822886705","141","638183","2.022771","11609","satisfy","10963","4216","368","0","results_free_rect","38","3515","1","11989","10301","87","76","285","complete","0","7486","14655","0.40966","5813","0.113551"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","26.105343785136938","261","5864392","24.172325","30004","satisfy","28652","10643","620","0","results_free_rect","52","9204","1","30636","57725","133","104","1599","complete","0","19500","97362","1.04557","57936","0.299719"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","4.49795953091234","1466","2386879","2.62784","26425","satisfy","26375","9408","1777","0","results_free_rect","50","8375","1","28214","9964","127","1300","203","complete","0","17150","14661","1.02443","7764","0.272714"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","16.209217209368944","915","3802732","14.94542","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","51251","109","88","2081","complete","0","12276","80967","0.664661","48098","0.185633"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","99.82537682726979","103","19223716","98.168564","25025","satisfy","23875","8904","556","0","results_free_rect","50","7675","1","25593","314319","123","100","7787","complete","0","16250","406221","0.823821","180492","0.246639"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","142.81869874428958","1062","31040634","141.445073","21022","satisfy","19964","7527","511","0","results_free_rect","46","6394","1","21545","494762","115","92","15339","complete","0","13616","622829","0.714617","315658","0.199789"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.866147303953767","141","634903","2.064096","11609","satisfy","10963","4216","368","0","results_free_rect","38","3515","1","11989","10302","87","76","285","complete","0","7486","14633","0.40649","5811","0.113151"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.6490427171811461","4420","189476","0.550448","14620","satisfy","13820","5283","421","0","results_free_rect","40","4420","1","15053","2444","97","80","27","complete","0","9440","3845","0.534399","10506","0.144808"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","33.41613627690822","541","27359535","32.173488","16380","satisfy","16338","5905","1286","0","results_free_rect","42","5166","1","17678","134620","103","924","4361","complete","0","10584","203489","0.611933","101640","0.169889"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","28.162899107672274","109","6966031","27.048563","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121103","103","84","4181","complete","0","10584","154537","0.594817","62973","0.160438"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","59.045902110636234","1536","12278422","57.163762","27456","satisfy","26208","9755","584","0","results_free_rect","52","8424","1","28052","170403","129","104","6661","complete","0","17836","246841","0.983734","138715","0.279428"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","62.89418594073504","1873","13678359","60.856299","32724","satisfy","31266","11593","649","0","results_free_rect","54","10044","1","33385","142755","139","108","8525","complete","0","21276","208541","1.11583","190613","0.32623"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9704538974910975","2381","72029","0.171306","8032","satisfy","7520","2959","306","0","results_free_rect","32","2400","1","8350","1309","73","64","110","complete","0","5152","1590","0.339797","2982","0.082606"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","27.060107350349426","333","22636627","25.369422","24048","satisfy","24000","8575","1653","0","results_free_rect","48","7620","1","25713","103294","121","1200","3931","complete","0","15600","125785","0.866197","71824","0.25249"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","6.240931384265423","1536","989412","4.345965","27456","satisfy","26208","9755","584","0","results_free_rect","52","8424","1","28052","14162","129","104","207","complete","0","17836","19628","0.960731","8707","0.275229"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7422879878431559","2639","181658","0.125545","7040","satisfy","7072","2603","758","0","results_free_rect","32","2232","1","7813","1106","69","544","89","complete","0","4512","1410","0.311293","3194","0.075917"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","46.74902761820704","1124","10260056","45.302565","21912","satisfy","20856","7827","517","0","results_free_rect","48","6696","1","22441","144659","117","96","5033","complete","0","14208","201170","0.754817","119580","0.215772"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.5855165971443057","131","1777126","1.741015","11016","satisfy","10980","4015","971","0","results_free_rect","36","3465","1","12001","10281","85","684","305","complete","0","7092","14648","0.432647","5859","0.117877"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","196.48853179998696","1124","37873747","195.02348","21912","satisfy","20856","7827","517","0","results_free_rect","48","6696","1","22441","567753","117","96","12937","complete","0","14208","845748","0.745178","437335","0.214361"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.7573676090687513","2937","679051","1.944406","9738","satisfy","9162","3561","335","0","results_free_rect","36","2934","1","10085","11546","81","72","331","complete","0","6264","15572","0.366011","11757","0.096149"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4119202001020312","62","169687","0.52387","12502","satisfy","11780","4543","387","0","results_free_rect","38","3762","1","12901","2606","91","76","27","complete","0","8056","3519","0.455769","1180","0.124057"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","745.0626737615094","3081","132870481","742.559749","39904","satisfy","38222","14077","723","0","results_free_rect","58","12296","1","40639","1947122","151","116","60019","complete","0","25984","2483054","1.32087","1197301","0.394367"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","10.580695189535618","1062","2428161","9.254052","21022","satisfy","19964","7527","511","0","results_free_rect","46","6394","1","21545","33761","115","92","1013","complete","0","13616","44822","0.709498","19417","0.200378"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","8.285068373195827","82","1981438","7.010148","19803","satisfy","18837","7086","490","0","results_free_rect","46","6049","1","20305","33471","111","92","1291","complete","0","12834","39757","0.67903","16170","0.189956"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","8.851147363893688","915","2253827","7.555591","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","33231","109","88","1579","complete","0","12276","43512","0.662295","23091","0.182925"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","51.26407763827592","1047","11345391","49.432875","26425","satisfy","25175","9408","578","0","results_free_rect","50","8075","1","27015","148844","127","100","6669","complete","0","17150","221063","0.936386","134931","0.262808"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","62.24326099362224","1873","13678856","60.223952","32724","satisfy","31266","11593","649","0","results_free_rect","54","10044","1","33385","142755","139","108","8525","complete","0","21276","208531","1.09717","190592","0.32831"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.651403178460896","4661","193191","0.567334","15330","satisfy","14532","5523","427","0","results_free_rect","42","4662","1","15769","2444","99","84","27","complete","0","9912","3879","0.559333","11085","0.15185"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","182.71374548505992","2005","34775734","180.134371","41250","satisfy","39570","14529","729","0","results_free_rect","60","12750","1","41991","512887","153","120","14915","complete","0","26880","642223","1.36069","314264","0.417866"
