"configuration","problem","model","data_file","status","time","propagators","failures","intVariables","userDecisions","method","solutions","objectiveBound","flatTime","variables","optTime","trailMem","initTime","flatIntVars","propagations","randomSeed","oracleDecisions","flatBoolConstraints","evaluatedHalfReifiedConstraints","intVars","restarts","nogoods","paths","unifiedVariables","flatBoolVars","peakDepth","run","backjumps","baseMem","flatIntConstraints","nSolutions","extractedViews","blockType","objective","nodes","evaluatedReifiedConstraints","solveTime","boolVariables","peakMem"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.463918541558","67","7114921","65","10350851","minimize","","","0.172051","","","","0.007736","105","53030080","","0","","","","0","","0","0","","76","results_filter_new","","","75","2","8","complete","16","","","1199.818692","",""
"chuffed","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.7210872564464808","2646","3","","","minimize","","","0.231307","11446","0.009","0.04","0.024","76","22556","1015355717","","336","","76","2","3","0","","1288","54","results_filter_new","9","0.0","1349","2","","","21","117","1288","0.009","11368","0.0"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.42682269494980574","25","621","32","739","minimize","","","0.166295","","","","0.005514","33","6034","","0","","","","0","","0","0","","32","results_filter_new","","","26","3","1","complete","15","","","0.029537","",""
"gecode","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","0.45961300283670425","79","67","","","minimize","1","","0.16517","105","","","0.00092","105","3189","","","","","","0","","0","","","116","results_filter_new","","","75","1","","","16","171","","0.007435","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.254702760838","67","4151950","49","4247550","minimize","","","0.16811","","","","0.007407","57","43361677","","0","","","","0","","0","0","","49","results_filter_new","","","75","1","8","complete","34","","","1199.842842","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3614295599982","","67","","","minimize","","7","0.169394","","","","","105","852","","","","","","","","0","","","","results_filter_new","","","75","1","","","16","","","0.007943","158",""
"chuffed","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.7060368554666638","645","434","","","minimize","","","0.190835","5260","0.008","0.01","0.009","32","114538","937103506","","127","","33","3","434","0","","310","27","results_filter_new","213","0.0","333","3","","","15","720","310","0.016","5225","0.0"
"Huub_user_s+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.230484283529222","49","123","35","954","minimize","","","0.26823","","","","0.006105","77","3168","","0","","","","0","","0","0","","57","results_filter_new","","","57","3","8","complete","18","","","0.054761","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.2439967226237","67","3887100","97","13064055","minimize","","","0.180647","","","","0.007669","105","51179393","","0","","","","0","","0","0","","83","results_filter_new","","","75","3","8","complete","14","","","1199.812647","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.2612117733806","67","5966635","49","7546638","minimize","","","0.170848","","","","0.007628","105","46540480","","0","","","","0","","0","0","","75","results_filter_new","","","75","4","8","complete","18","","","1199.836272","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.3140190429986","67","6574423","49","8168504","minimize","","","0.183822","","","","0.007715","105","48798657","","0","","","","0","","0","0","","74","results_filter_new","","","75","5","8","complete","18","","","1199.809897","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.499341458082199","33","10332","29","32840","minimize","","","0.172996","","","","0.007134","49","200970","","0","","","","0","","0","0","","37","results_filter_new","","","37","4","4","complete","18","","","0.809397","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","154.70810542814434","2497","1851577","97","3067341","minimize","","","0.257994","","","","0.034394","105","322700971","","4527","608","2432","","0","","0","0","2432","3060","results_filter_new","","","2505","4","8","complete","11","","","154.137182","",""
"gecode","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.083703076466918","18","5","","","minimize","1","","0.268857","26","","","0.00048","26","98","","","","","","0","","0","","","20","results_filter_new","","","14","1","","","4","22","","0.003807","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.6412833100184798","49","19","69","180","minimize","","","0.167577","","","","0.006213","77","772","","0","","","","0","","0","0","","67","results_filter_new","","","57","2","8","complete","17","","","0.016282","",""
"gecode","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","10.221430617384613","29","2322990","","","minimize","3","","0.17213","63","","","0.000632","33","27202243","","","","","","0","","0","","","31","results_filter_new","","","26","3","","","15","4646003","","9.68075","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.6657537305728","","101","","","minimize","","7","0.179505","","","","","105","1193","","","","","","","","0","","","","results_filter_new","","","75","1","","","18","","","0.033239","197",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4299146356061101","49","19","69","180","minimize","","","0.170829","","","","0.006257","77","772","","0","","","","0","","0","0","","67","results_filter_new","","","57","2","8","complete","17","","","0.016624","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.628830311819911","33","5589","45","8602","minimize","","","0.168664","","","","0.006476","61","20277","","0","","","","0","","0","0","","47","results_filter_new","","","37","2","4","complete","11","","","0.226118","",""
"gecode","","../filters/filter.mzn","../filters/ewf_1_2.dzn","SATISFIED","1200.6468748636544","60","318435688","","","minimize","1","","0.289177","103","","","0.016202","51","3435760072","","","","","","0","","0","","","52","results_filter_new","","","57","1","","","28","636871409","","1199.71","",""
"gecode","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","0.922813368961215","79","161","","","minimize","2","","0.194708","105","","","0.014014","105","4128","","","","","","0","","0","","","104","results_filter_new","","","75","2","","","11","399","","0.019479","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.8472525030374527","1391","19","69","179","minimize","","","0.224156","","","","0.022967","77","18688","","3432","336","1344","","0","","0","0","1344","1780","results_filter_new","","","1399","2","8","complete","17","","","0.010774","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6665590070188046","49","3231","35","3351","minimize","","","0.168293","","","","0.006121","43","28811","","0","","","","0","","0","0","","35","results_filter_new","","","57","1","8","complete","28","","","0.250146","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.360094071366","1281","4841664","49","4913132","minimize","","","0.270545","","","","0.021511","57","1082330751","","1216","608","1216","","0","","0","0","1216","1265","results_filter_new","","","1289","1","8","complete","34","","","1199.724612","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.9949785647914","67","4106186","97","14397471","minimize","","","0.26669","","","","0.008663","105","43097363","","0","","","","0","","0","0","","83","results_filter_new","","","75","3","8","complete","11","","","1199.718432","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.078577789478004","25","2354","24","2385","minimize","","","0.285188","","","","0.005703","25","20606","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.091483","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.2828355664387345","25","2168","24","2200","minimize","","","0.27633","","","","0.005371","25","19370","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.079982","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4302473859861493","25","621","24","724","minimize","","","0.167076","","","","0.005488","33","6016","","0","","","","0","","0","0","","27","results_filter_new","","","26","3","1","complete","15","","","0.030182","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.747908852994442","49","3614","35","3773","minimize","","","0.184609","","","","0.007389","43","28808","","0","","","","0","","0","0","","35","results_filter_new","","","57","1","8","complete","28","","","0.287346","",""
"gecode","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","536.5354552064091","40","92082365","","","minimize","4","","0.169971","73","","","0.000657","49","1133161167","","","","","","0","","0","","","49","results_filter_new","","","37","4","","","16","184164774","","536.082","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.9664866812527","67","3508893","97","13086032","minimize","","","0.266017","","","","0.009302","105","51602143","","0","","","","0","","0","0","","83","results_filter_new","","","75","2","8","complete","14","","","1199.724227","",""
"chuffed","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.504172739572823","1482","383","","","minimize","","","0.210808","8062","0.02","0.02","0.016","64","159073","-2001602409","","180","","63","2","383","0","","720","52","results_filter_new","3062","0.0","757","2","","","15","3546","720","0.021","7997","0.0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","65.85673975758255","67","334746","65","338625","minimize","","","0.169928","","","","0.008411","73","2260729","","0","","","","0","","0","0","","60","results_filter_new","","","75","1","8","complete","32","","","65.196779","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","25.79298589285463","35","215678","34","216154","minimize","","","0.169354","","","","0.006423","35","1480120","","0","","","","0","","0","0","","34","results_filter_new","","","36","6","1","complete","35","","","25.288349","",""
"gecode","","../filters/filter.mzn","../filters/ewf_1_1.dzn","SATISFIED","1200.22035847418","59","299290551","","","minimize","1","","0.176832","111","","","0.000773","43","3343656624","","","","","","0","","0","","","53","results_filter_new","","","57","1","","","28","598581135","","1199.82","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.0680298656225204","25","1725","24","1751","minimize","","","0.288579","","","","0.005896","25","16532","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.063795","",""
"chuffed","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.7236444866284728","1526","2848","","","minimize","","","0.225035","10778","0.006","0.02","0.018","58","715667","-1363599499","","336","","58","1","2848","0","","728","40","results_filter_new","2186","0.0","789","1","","","28","5074","728","0.068","10718","0.0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5647372854873538","775","2677","35","2868","minimize","","","0.217592","","","","0.015652","51","376721","","746","336","728","","0","","0","0","728","786","results_filter_new","","","783","1","8","complete","28","","","0.089511","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5763562405481935","25","621","32","739","minimize","","","0.176288","","","","0.006285","33","6034","","0","","","","0","","0","0","","32","results_filter_new","","","26","3","1","complete","15","","","0.028855","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","65.9537722831592","67","337027","49","341529","minimize","","","0.282225","","","","0.008663","73","2291620","","0","","","","0","","0","0","","55","results_filter_new","","","75","1","8","complete","32","","","64.272101","",""
"chuffed","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.500885964371264","533","2126","","","minimize","","","0.189861","5156","0.004","0.01","0.008","24","448275","-461278804","","127","","25","1","2126","0","","254","24","results_filter_new","279","0.0","277","1","","","18","2429","254","0.039","5129","0.0"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7685771631076932","1543","4001","","","minimize","","","0.222641","7798","0.066","0.02","0.015","51","832619","-682652285","","241","","52","1","4001","0","","754","43","results_filter_new","3600","0.0","787","1","","","19","7644","754","0.067","7744","0.0"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","6.989750599488616","35","58282","51","227393","minimize","","","0.173439","","","","0.005932","52","785599","","0","","","","0","","0","0","","46","results_filter_new","","","36","8","1","complete","18","","","6.541307","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1201.0706773074344","67","3936803","97","15118083","minimize","","","0.284567","","","","0.008867","105","46021170","","0","","","","0","","0","0","","83","results_filter_new","","","75","3","8","complete","11","","","1199.705743","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.9328009355813265","33","6214","45","26893","minimize","","","0.172027","","","","0.005883","61","91532","","0","","","","0","","0","0","","52","results_filter_new","","","37","2","4","complete","15","","","0.478885","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.5744333378970623","33","10265","29","34498","minimize","","","0.175075","","","","0.006576","49","208208","","0","","","","0","","0","0","","37","results_filter_new","","","37","4","4","complete","18","","","0.806651","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.5477673448622227","11","14","18","44","minimize","","","0.184213","","","","0.005619","26","134","","0","","","","0","","0","0","","20","results_filter_new","","","14","1","3","complete","6","","","0.003926","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.1808541370555758","33","9982","29","32278","minimize","","","0.166423","","","","0.006602","49","197210","","0","","","","0","","0","0","","37","results_filter_new","","","37","4","4","complete","18","","","0.776921","",""
"gecode","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","2.4322396414354444","40","272527","","","minimize","4","","0.174367","73","","","0.002693","49","4853726","","","","","","0","","0","","","39","results_filter_new","","","37","4","","","18","545090","","1.81388","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.5443184925243","67","7736015","65","9815366","minimize","","","0.173985","","","","0.008395","105","52006077","","0","","","","0","","0","0","","76","results_filter_new","","","75","2","8","complete","16","","","1199.824206","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4724718062207103","11","14","18","44","minimize","","","0.170618","","","","0.00474","26","134","","0","","","","0","","0","0","","20","results_filter_new","","","14","1","3","complete","6","","","0.003861","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6654399409890175","49","2738","35","2955","minimize","","","0.167762","","","","0.007207","51","24744","","0","","","","0","","0","0","","40","results_filter_new","","","57","1","8","complete","28","","","0.213434","",""
"gecode","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.0058889398351312","28","3","","","minimize","1","","0.336803","71","","","0.021415","25","404","","","","","","0","","0","","","23","results_filter_new","","","26","1","","","18","24","","0.010761","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","1021.2585555640981","67","3236028","49","3338082","minimize","","","0.169585","","","","0.008239","57","32762569","","0","","","","0","","0","0","","49","results_filter_new","","","75","1","8","complete","34","","","1020.748015","",""
"gecode","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.812203579582274","77","6","","","minimize","1","","0.187764","153","","","0.014979","57","1595","","","","","","0","","0","","","48","results_filter_new","","","75","1","","","34","49","","0.015039","",""
"chuffed","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.5721987970173","4936","6536460","","","minimize","","","0.295311","15758","1.541","0.05","0.041","112","6402333650","-926235168","","606","","111","2","6536460","0","","2424","87","results_filter_new","38567513","0.0","2503","2","","","10","45104177","2424","1199.701","15645","0.0"
"Huub_user_s+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6821263637393713","49","3364","35","3491","minimize","","","0.169221","","","","0.006082","43","29004","","0","","","","0","","0","0","","35","results_filter_new","","","57","1","8","complete","28","","","0.269132","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1202.2523874128237","67","6440294","49","8126382","minimize","","","0.199093","","","","0.008371","105","47867123","","0","","","","0","","0","0","","76","results_filter_new","","","75","4","8","complete","18","","","1199.770868","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.45211427100002766","333","623","32","738","minimize","","","0.183861","","","","0.010055","33","56917","","990","127","310","","0","","0","0","310","362","results_filter_new","","","334","3","1","complete","15","","","0.022171","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.48293619975447655","25","489","32","2302","minimize","","","0.182928","","","","0.006441","48","5751","","0","","","","0","","0","0","","39","results_filter_new","","","26","3","1","complete","10","","","0.051549","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7389482893049717","33","5589","45","8602","minimize","","","0.175801","","","","0.006828","61","20165","","0","","","","0","","0","0","","47","results_filter_new","","","37","2","4","complete","11","","","0.221871","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8688292885199189","33","5400","45","23934","minimize","","","0.166642","","","","0.007127","61","81296","","0","","","","0","","0","0","","52","results_filter_new","","","37","2","4","complete","15","","","0.417402","",""
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.4463383536785841","","1","","","minimize","","35","0.173423","","","","","35","223","","","","","","","","0","","","","results_filter_new","","","36","1","","","35","","","0.008373","33",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.46508566197007895","25","621","32","739","minimize","","","0.169255","","","","0.005436","33","6034","","0","","","","0","","0","0","","32","results_filter_new","","","26","3","1","complete","15","","","0.029908","",""
"chuffed","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.0969655252993107","177","6","","","minimize","","","0.27262","3424","0.003","0.0","0.005","28","881","-1027189350","","20","","27","1","6","0","","80","20","results_filter_new","21","0.0","93","1","","","4","47","80","0.003","3395","0.0"
"gecode","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.8321790834888816","39","6","","","minimize","1","","0.190237","84","","","0.017184","52","446","","","","","","0","","0","","","45","results_filter_new","","","36","1","","","18","46","","0.010425","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.8491253135725856","","1","","","minimize","","34","0.196183","","","","","57","626","","","","","","","","0","","","","results_filter_new","","","75","1","","","34","","","0.039393","48",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","498.03698344156146","2497","4031256","97","9178347","minimize","","","0.257985","","","","0.035304","105","1005331490","","4198","608","2432","","0","","0","0","2432","3106","results_filter_new","","","2505","3","8","complete","10","","","497.445719","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.2662648959085345","49","123","35","954","minimize","","","0.271769","","","","0.006134","77","3168","","0","","","","0","","0","0","","57","results_filter_new","","","57","3","8","complete","18","","","0.055032","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.9297515470534563","33","12257","29","12610","minimize","","","0.272297","","","","0.005684","33","114599","","0","","","","0","","0","0","","29","results_filter_new","","","37","1","4","complete","34","","","0.741466","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","8.406475563533604","35","63263","51","250746","minimize","","","0.170781","","","","0.005975","52","922309","","0","","","","0","","0","0","","46","results_filter_new","","","36","8","1","complete","18","","","7.772402","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.9002433763816953","33","5147","45","22850","minimize","","","0.172731","","","","0.007202","61","77759","","0","","","","0","","0","0","","52","results_filter_new","","","37","2","4","complete","15","","","0.380008","",""
"cp-sat","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.41387666016817093","","83","","","minimize","","15","0.167056","","","","","61","3972","","","","","","","","0","","","","results_filter_new","","","37","2","","","15","","","0.015031","97",""
"chuffed","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.6591096669435501","2758","30","","","minimize","","","0.22801","11546","0.014","0.04","0.025","84","42455","1094875238","","336","","83","3","30","0","","1344","57","results_filter_new","239","0.0","1405","3","","","18","410","1344","0.014","11461","0.0"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2354301847517","67","3253968","97","15097987","minimize","","","0.161874","","","","0.007666","105","40271468","","0","","","","0","","0","0","","87","results_filter_new","","","75","4","8","complete","10","","","1199.831943","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.826162200421","67","4032036","49","4122053","minimize","","","0.173157","","","","0.007435","57","42356023","","0","","","","0","","0","0","","49","results_filter_new","","","75","1","8","complete","34","","","1199.833113","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.3273801598698","67","4240083","97","15089674","minimize","","","0.170719","","","","0.008854","105","45569076","","0","","","","0","","0","0","","83","results_filter_new","","","75","3","8","complete","11","","","1199.822355","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.718497559428215","49","3364","35","3491","minimize","","","0.169385","","","","0.006112","43","29004","","0","","","","0","","0","0","","35","results_filter_new","","","57","1","8","complete","28","","","0.264175","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.5305772023275495","25","621","32","739","minimize","","","0.169171","","","","0.006201","33","6034","","0","","","","0","","0","0","","32","results_filter_new","","","26","3","1","complete","15","","","0.028829","",""
"gecode","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.47098797000944614","38","5","","","minimize","1","","0.171624","101","","","0.000682","35","902","","","","","","0","","0","","","33","results_filter_new","","","36","1","","","35","35","","0.006864","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6731891557574272","49","3231","35","3351","minimize","","","0.173867","","","","0.006006","43","28811","","0","","","","0","","0","0","","35","results_filter_new","","","57","1","8","complete","28","","","0.245992","",""
"chuffed","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.4551654914394","4936","7776304","","","minimize","","","0.282371","15598","0.09","0.05","0.04","112","1610239573","-1465006912","","606","","111","1","7776304","0","","2424","76","results_filter_new","4756597","0.0","2503","1","","","16","12533005","2424","1199.715","15485","0.0"
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.4131417945027351","","1","","","minimize","","4","0.320157","","","","","26","44","","","","","","","","0","","","","results_filter_new","","","14","1","","","4","","","0.030314","21",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4488995149731636","49","19","69","180","minimize","","","0.175347","","","","0.008303","77","772","","0","","","","0","","0","0","","67","results_filter_new","","","57","2","8","complete","17","","","0.01676","",""
"chuffed","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","1.292022716253996","1543","15909","","","minimize","","","0.254322","7832","0.57","0.02","0.016","51","6062875","203717097","","241","","52","1","15909","0","","754","46","results_filter_new","54486","0.0","787","1","","","18","70441","754","0.572","7778","0.0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.575449738651514","33","1331","45","5504","minimize","","","0.172613","","","","0.006759","49","29575","","0","","","","0","","0","0","","42","results_filter_new","","","37","3","4","complete","16","","","0.148828","",""
"chuffed","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.591394416987896","645","434","","","minimize","","","0.189672","5292","0.008","0.01","0.009","32","114664","297790589","","127","","33","3","434","0","","310","32","results_filter_new","213","0.0","333","3","","","15","735","310","0.016","5257","0.0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.7036602851003408","49","2738","35","2955","minimize","","","0.169106","","","","0.006805","51","24744","","0","","","","0","","0","0","","40","results_filter_new","","","57","1","8","complete","28","","","0.206917","",""
"gecode","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.44433582201600075","39","6","","","minimize","1","","0.1661","84","","","0.002645","52","528","","","","","","0","","0","","","42","results_filter_new","","","36","1","","","19","43","","0.006121","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.5947288740426","2497","8074072","97","8516563","minimize","","","0.260104","","","","0.036029","105","746828123","","6468","608","2432","","0","","0","0","2432","3057","results_filter_new","","","2505","3","8","complete","14","","","1199.704877","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4453378161415458","49","5","35","110","minimize","","","0.17191","","","","0.006294","69","885","","0","","","","0","","0","0","","54","results_filter_new","","","57","2","8","complete","21","","","0.012564","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.3779937159270048","391","10350","29","10665","minimize","","","0.319001","","","","0.009583","33","912180","","360","180","360","","0","","0","0","360","389","results_filter_new","","","395","1","4","complete","34","","","0.32915","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6168898595497012","49","2738","35","2955","minimize","","","0.165596","","","","0.006103","51","24744","","0","","","","0","","0","0","","40","results_filter_new","","","57","1","8","complete","28","","","0.207744","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","19.174868597649038","35","150350","34","150914","minimize","","","0.171433","","","","0.006697","35","1334002","","0","","","","0","","0","0","","34","results_filter_new","","","36","6","1","complete","35","","","18.73463","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6247700294479728","33","1124","45","4827","minimize","","","0.175004","","","","0.006382","49","25624","","0","","","","0","","0","0","","42","results_filter_new","","","37","3","4","complete","16","","","0.114661","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.6606187066063285","33","6056","45","9348","minimize","","","0.171857","","","","0.005969","61","21998","","0","","","","0","","0","0","","47","results_filter_new","","","37","2","4","complete","11","","","0.23797","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.5585821717977524","33","10642","29","10973","minimize","","","0.281056","","","","0.006328","33","101701","","0","","","","0","","0","0","","29","results_filter_new","","","37","1","4","complete","34","","","0.546235","",""
