"configuration","problem","model","data_file","status","time","propagators","failures","intVariables","userDecisions","method","solutions","objectiveBound","flatTime","variables","optTime","trailMem","initTime","flatIntVars","propagations","randomSeed","oracleDecisions","flatBoolConstraints","evaluatedHalfReifiedConstraints","intVars","restarts","nogoods","paths","unifiedVariables","flatBoolVars","peakDepth","run","backjumps","baseMem","flatIntConstraints","nSolutions","extractedViews","blockType","objective","nodes","evaluatedReifiedConstraints","solveTime","boolVariables","peakMem"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","15.31462726648897","35","90998","34","540687","minimize","","","0.167326","","","","0.005658","52","2474323","","0","","","","0","","0","0","","43","results_filter_new","","","36","12","1","complete","19","","","14.64794","",""
"gecode","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","0.8064389815554023","79","58","","","minimize","1","","0.187425","105","","","0.004235","105","3146","","","","","","0","","0","","","108","results_filter_new","","","75","1","","","18","154","","0.008085","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.0535802710801363","277","1859","24","1891","minimize","","","0.291162","","","","0.008057","25","163269","","254","127","254","","0","","0","0","254","278","results_filter_new","","","278","1","1","complete","18","","","0.045482","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6933919144794345","49","2738","35","2955","minimize","","","0.168862","","","","0.006674","51","24744","","0","","","","0","","0","0","","40","results_filter_new","","","57","1","8","complete","28","","","0.204873","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5007299138233066","25","621","24","724","minimize","","","0.170716","","","","0.006139","33","6016","","0","","","","0","","0","0","","27","results_filter_new","","","26","3","1","complete","15","","","0.029895","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.46742497850209475","333","623","32","738","minimize","","","0.200503","","","","0.009378","33","56917","","990","127","310","","0","","0","0","310","362","results_filter_new","","","334","3","1","complete","15","","","0.022244","",""
"chuffed","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.7222109567374","4936","9985266","","","minimize","","","0.289286","15566","0.041","0.05","0.043","112","6310064407","-661828795","","606","","111","1","9985266","0","","2424","74","results_filter_new","6653500","0.0","2503","1","","","18","16638865","2424","1199.707","15453","0.0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5254277465865016","1335","5","35","110","minimize","","","0.24063","","","","0.0214","69","16265","","3056","336","1288","","0","","0","0","1288","1582","results_filter_new","","","1343","2","8","complete","21","","","0.010911","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3235886096954","67","7184206","65","10532709","minimize","","","0.169485","","","","0.008785","105","53827932","","0","","","","0","","0","0","","76","results_filter_new","","","75","2","8","complete","16","","","1199.821487","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","17.604467762634158","35","101058","34","596600","minimize","","","0.170939","","","","0.006766","52","2735963","","0","","","","0","","0","0","","43","results_filter_new","","","36","10","1","complete","19","","","16.898767","",""
