"configuration","problem","model","data_file","status","time","peakDepth","method","propagators","optTime","failures","solveTime","flatIntConstraints","propagations","error","userDecisions","boolVariables","nogoods","flatIntVars","restarts","peakMem","flatBoolConstraints","blockType","initTime","nodes","nSolutions","unifiedVariables","evaluatedHalfReifiedConstraints","evaluatedReifiedConstraints","paths","flatTime","baseMem","variables","objectiveBound","eliminatedImplications","run","flatBoolVars","backjumps","intVars","intVariables","solutions","oracleDecisions","extractedViews","objective","randomSeed","trailMem"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","ERROR","218.83197110705078","","minimize","","","","","1540003","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","132.616","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","ERROR","116.2964553963393","","minimize","","","","","524109","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","45.6512","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","3.00188797339797","36780","minimize","21240","","1566","0.466856","21891","2438968","","0","","","1550","0","","5350","complete","0.303095","","5","0","18000","4830","0","1.56783","","","","250","results_prod_shelf","21980","","","1547","","209217","1750","S(4)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","2.9741055089980364","35767","minimize","21240","","2203","0.463364","21891","2747171","","0","","","1550","48","","5350","complete","0.301603","","2","0","18000","4830","0","1.56628","","","","250","results_prod_shelf","21980","","","1547","","113256","1750","S(4)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","799.8204252067953","1192662","minimize","1554196","","275423","594.530061","1564697","1753316488","","0","","","30200","0","","297000","complete","26.876763","","7","0","1485000","103600","0","133.741999","","","","5000","results_prod_shelf","1569100","","","30197","","14637910","35000","S(17)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","UNKNOWN","1200.69828915596","471","minimize","24247","","1315409","1198.31","20754","1117833474","","","","","1550","0","","4250","","0.186281","2631266","0","","18000","1750","0","1.69249","","21550","","250","results_prod_shelf","20000","","","","0","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","3.400442596524954","1181","minimize","38778","0.788","2227","0.933","21647","6639276","","","50759","2227","1549","7","0.0","5350","","0.322","40198","7","","","21290","0","1.5927","0.0","52310","","250","results_prod_shelf","21320","30385","1549","","","","","4","1702356462","0.12"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","ERROR","226.96977170929313","","minimize","","","","","1540101","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","140.223","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","SATISFIED","1231.2174936570227","","minimize","","","","","1559196","","","","","","30199","","","296500","","","","1","","","1553600","0","136.428","","","","5000","results_prod_shelf","1553800","","","","","","","S(50)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","SATISFIED","1204.4707885719836","","minimize","","","","","161696","","","","","","6099","","","34100","","","","1","","","160440","0","14.0799","","","","1000","results_prod_shelf","160520","","","","","","","S(20)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","UNKNOWN","1204.2038615234196","","minimize","","","","","158023","","","","","","6100","","","29500","","","","0","","147000","7000","0","12.2506","","","","1000","results_prod_shelf","155000","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1209.901249602437","","minimize","","","3096","867.228","532719","45161778","","","523911","","13650","","","105000","","","","2","","499500","30450","0","45.0282","","","2","2250","results_prod_shelf","530100","","","","","","","S(29)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1210.6958051566035","","minimize","","","","","532645","","","","","","13649","","","105000","","","","2","","","529950","0","46.4638","","","","2250","results_prod_shelf","530100","","","","","","","S(29)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1244.7795491237193","33001","minimize","1553094","","22057","1036.931431","1564095","4259751510","","0","","","30200","0","","296500","complete","26.631585","","0","0","1485000","102200","0","136.432","","","","5000","results_prod_shelf","1568200","","","30197","","20580881","35000","","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","192.2819474376738","972129","minimize","527913","","22521","120.227223","533914","525280654","","0","","","13650","0","","104250","complete","8.962075","","5","0","499500","43050","0","47.6454","","","","2250","results_prod_shelf","535050","","","13647","","8831791","15750","S(8)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","17.66465143300593","","minimize","","","8254","14.9334","21671","15919940","","","22417","","1550","","","5350","","","","7","","18000","3290","0","1.75231","","","4","250","results_prod_shelf","21320","","","","","","","4","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1231.5425188038498","","minimize","","","","","1558945","","","","","","30199","","","296250","","","","1","","","1553250","0","133.535","","","","5000","results_prod_shelf","1553500","","","","","","","S(50)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","ERROR","109.39322030730546","","minimize","","","","","524254","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","13650","","","94500","","","","0","","499500","15750","0","42.9979","","","","2250","results_prod_shelf","517500","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1210.3111845366657","","minimize","","","6553","893.979","532719","54876793","","","523103","","13650","","","105000","","","","2","","499500","30450","0","47.521","","","5","2250","results_prod_shelf","530100","","","","","","","S(29)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","3.1505322009325027","36599","minimize","21240","","2146","0.518023","21891","2495299","","0","","","1550","0","","5350","complete","0.310036","","5","0","18000","4830","0","1.60908","","","","250","results_prod_shelf","21980","","","1547","","210091","1750","S(6)","",""
