"configuration","problem","model","data_file","status","time","peakDepth","method","propagators","optTime","failures","solveTime","flatIntConstraints","propagations","error","userDecisions","boolVariables","nogoods","flatIntVars","restarts","peakMem","flatBoolConstraints","blockType","initTime","nodes","nSolutions","unifiedVariables","evaluatedHalfReifiedConstraints","evaluatedReifiedConstraints","paths","flatTime","baseMem","variables","objectiveBound","eliminatedImplications","run","flatBoolVars","backjumps","intVars","intVariables","solutions","oracleDecisions","extractedViews","objective","randomSeed","trailMem"
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","3.141063589602709","36548","minimize","21240","","2050","0.506657","21891","2447840","","0","","","1550","20","","5350","complete","0.309841","","5","0","18000","4830","0","1.61302","","","","250","results_prod_shelf","21980","","","1547","","201244","1750","S(6)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","5.5233110804110765","1323","minimize","38596","2.21","7246","2.822","21545","18040930","","","50639","7246","1549","2","0.0","5250","","0.365","96675","2","","","21150","0","1.71657","0.0","52190","","250","results_prod_shelf","21200","86839","1549","","","","","9","131082297","0.12"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1229.2058111969382","","minimize","","","","","1559295","","","","","","30200","","","296500","","","","0","","1485000","68600","0","140.726","","","","5000","results_prod_shelf","1553800","","","","","","","","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","377.656272219494","978557","minimize","530561","","121174","305.251891","535362","648822560","","0","","","13650","2983","","105450","complete","9.224126","","4","0","499500","46410","0","47.143","","","","2250","results_prod_shelf","537210","","","13647","","15370737","15750","S(13)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1203.9257706068456","","minimize","","","33936","445.885","161139","64949517","","","159154","","6100","","","33500","","","","1","","147000","12600","0","13.4827","","","2","1000","results_prod_shelf","159800","","","","","","","S(20)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1230.9235303085297","","minimize","","","","","1559044","","","","","","30200","","","296250","","","","0","","1485000","68250","0","139.334","","","","5000","results_prod_shelf","1553500","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1204.5054355021566","","minimize","","","","","158061","","","","","","6100","","","29500","","","","0","","147000","7000","0","13.6051","","","","1000","results_prod_shelf","155000","","","","","","","","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","206.07271263748407","435208","minimize","529568","","35893","137.163578","534819","525202734","","0","","","13650","0","","105000","complete","8.82679","","1","0","499500","45150","0","45.269","","","","2250","results_prod_shelf","536400","","","13647","","4431395","15750","S(13)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","32.185525704175234","287526","minimize","160043","","4684","11.979048","162544","60018483","","0","","","6100","0","","34000","complete","2.471769","","4","0","147000","19600","0","13.1386","","","","1000","results_prod_shelf","163100","","","6097","","1724822","7000","S(8)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","3.366196181625128","36575","minimize","20907","","1378","0.880517","21708","6416159","","0","","","1550","22","","5200","complete","0.295287","","1","0","18000","4410","0","1.54818","","","","250","results_prod_shelf","21710","","","1547","","183659","1750","S(10)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","220.54695323482156","428717","minimize","530561","","110593","147.081562","535362","421328783","","0","","","13650","0","","105450","complete","9.211899","","4","0","499500","46410","0","48.2167","","","","2250","results_prod_shelf","537210","","","13647","","3537475","15750","S(13)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1211.0333320777863","","minimize","","","","","532645","","","","","","13649","","","105000","","","","5","","","529950","0","46.6083","","","","2250","results_prod_shelf","530100","","","","","","","S(26)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1210.8934767879546","","minimize","","","","","533172","","","","","","13650","","","105450","","","","0","","499500","31080","0","50.2773","","","","2250","results_prod_shelf","530640","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","1034.0049799755216","1350031","minimize","1552543","","96156","824.437516","1563794","3001122492","","0","","","30200","0","","296250","complete","26.706489","","3","0","1485000","101500","0","137.241","","","","5000","results_prod_shelf","1567750","","","30197","","20838506","35000","S(16)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","228.6154178082943","388541","minimize","529899","","45565","159.444092","535000","556185890","","0","","","13650","0","","105150","complete","8.798238","","7","0","499500","45570","0","45.2825","","","","2250","results_prod_shelf","536670","","","13647","","6253856","15750","S(20)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","UNKNOWN","1203.3521371148527","","minimize","","","","","161745","","","","","","6100","","","34100","","","","0","","147000","13440","0","13.8212","","","","1000","results_prod_shelf","160520","","","","","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1231.6440527606755","","minimize","","","","","1559196","","","","","","30199","","","296500","","","","0","","","1553600","0","136.76","","","","5000","results_prod_shelf","1553800","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","ERROR","221.9959744475782","","minimize","","","","","1539709","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","30200","","","272500","","","","0","","1485000","35000","0","134.978","","","","5000","results_prod_shelf","1525000","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","768.81099896878","1298163","minimize","1553094","","43227","558.375363","1564095","2010300445","","0","","","30200","0","","296500","complete","26.202096","","6","0","1485000","102200","0","138.453","","","","5000","results_prod_shelf","1568200","","","30197","","17999936","35000","S(30)","",""
