"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.26806762442","2.48097","","209","minimize","","","","","","0","","","42840","","","","","1750436","0.388401","","725","42840","7140","875140","2906352221","results_container_new","","43319","43565","","1197.52","0","50459","0","","","","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.1916411770508","6.93572","","","minimize","","119554","","","","0","1344","","119400","225","","","12852","","","","1205","120552","20860","478","2170267","results_container_new","","120965","","","52.2656","","","1","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.4101639678702","2.84269","","221","minimize","","","","","","0","","","50310","","","","","1200849","0.447469","","785","50310","8385","600360","2227377846","results_container_new","","50828","51095","","1197.16","0","59213","0","","","","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.9560134988278","2.40248","","","minimize","","42958","","","","0","798","","42840","96","","","5376","","","","725","43524","7710","434","4627548","results_container_new","","43775","","","26.8674","","","4","","","",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.310320917517","0.164077","","3429","minimize","","","complete","166507","","0","2688","","","","","0","7488","","0.043324","","1205","1728","960","67250","5851297","results_container_new","600","1758","","","1199.827194","0","2118","45","","605","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.1613120194525","1.76106","899","646","minimize","0.0","81998","","","2430934","0","30358","0.0","","","972470","","6240","3422353","0.414","0.63","899","30264","5420","2430934","4723924273","results_container_new","","30769","82899","-1679086100","1198.236","39","61146","39","199.543","","",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3568845940754","0.186283","","4457","minimize","","","complete","290367","","0","3388","","","","","0","16320","","0.059889","","1505","2178","1210","62948","6012963","results_container_new","750","2208","","","1199.873761","0","2668","44","","755","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.7151285028085","1.66071","","10847","minimize","","","complete","3615360","","0","1316","","29700","","","0","5040","","0.353349","","605","30546","5420","2035251","1581499159","results_container_new","300","30569","","","1198.015458","0","30739","32","","305","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2806099420413","0.127904","","914","minimize","","","complete","264748","","0","1722","","","","","0","7840","","0.027986","","785","1107","615","218984","14167958","results_container_new","390","1134","","","1199.971369","0","1359","31","","395","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2303492398933","0.118817","","697","minimize","","","complete","545590","","0","1316","","","","","0","5115","","0.023893","","605","846","470","486485","31732404","results_container_new","300","870","","","1199.869421","0","1040","37","","305","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.159293519333","0.123023","","738","minimize","","","complete","366409","","0","1596","","","","","0","5292","","0.025994","","725","1026","570","310293","13215955","results_container_new","360","1050","","","1199.859595","0","1260","41","","365","0",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.1683708317578","0.118099","","629","minimize","","","complete","394242","","0","1302","","","","","0","3952","","0.022387","","605","837","465","346584","14391938","results_container_new","300","864","","","1199.866898","0","1029","36","","305","0",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.490618380718","6.43198","","38412","minimize","","","complete","3838714","","0","2688","","119400","","","0","9792","","1.448383","","1205","121128","20860","1108252","1971524237","results_container_new","600","121157","","","1192.240754","0","121517","37","","605","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1995344981551","0.115642","","651","minimize","","","complete","465480","","0","1302","","","","","0","3306","","0.022737","","605","837","465","412639","26111802","results_container_new","300","864","","","1199.876443","0","1029","34","","305","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2988477041945","0.128575","","836","minimize","","","complete","449875","","0","1596","","","","","0","4968","","0.025757","","725","1026","570","396628","22158063","results_container_new","360","1050","","","1199.88743","0","1260","36","","365","0",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2571253320202","0.122796","","769","minimize","","","complete","438702","","0","1596","","","","","0","5040","","0.026105","","725","1026","570","378191","24575953","results_container_new","360","1050","","","1199.858441","0","1260","32","","365","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.160485908389","0.122695","","905","minimize","","","complete","460156","","0","1596","","","","","0","5376","","0.026391","","725","1026","570","403678","25820585","results_container_new","360","1050","","","1199.868694","0","1260","34","","365","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2474459921941","0.161724","","1300","minimize","","","complete","147722","","0","2688","","","","","0","7560","","0.039775","","1205","1728","960","93811","6981405","results_container_new","600","1758","","","1199.881837","0","2118","27","","605","0",""
