"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","24.04318537376821","51","11958","18200","0","5297","0.996358","","6097","7000","26454","22.318512","minimize","14959","5","0","1000","S(6)","results_prod_shelf","0.306183","9000","6100","847315","7383657","complete","15200","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","467.4455045638606","20","13063","19600","0","148628","1.1027","","6097","7000","14912","465.625005","minimize","15564","2","0","1000","S(16)","results_prod_shelf","0.263062","9500","6100","10995228","165322077","complete","16100","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","241.83128245268017","2840","30098","45150","0","163121","2.58717","","13647","15750","30219","237.667975","minimize","35349","17","0","2250","S(14)","results_prod_shelf","0.59405","21750","13650","4479150","97618811","complete","36900","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1200.960653256625","32","31091","46410","0","166205","2.35268","","13647","15750","26367","1197.104535","minimize","35892","0","0","2250","","results_prod_shelf","0.582883","22200","13650","48084814","1705988903","complete","37710","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","158.11172353476286","2643","530561","46410","0","57242","43.8246","499500","13647","15750","521520","92.367289","minimize","535362","3","0","2250","S(13)","results_prod_shelf","8.191813","105450","13650","3482025","358459023","complete","537210","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","425.2480307519436","259","1549788","98000","0","24775","129.853","1485000","30197","35000","2998709","231.502084","minimize","1562289","11","0","5000","S(11)","results_prod_shelf","24.758048","295000","30200","38135809","1799939457","complete","1565500","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","6.381745487451553","43","13726","20440","0","3999","1.12029","","6097","7000","12497","4.534616","minimize","15927","8","0","1000","S(13)","results_prod_shelf","0.256951","9800","6100","188236","3765377","complete","16640","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","188.02643779758364","117","28443","43050","0","33830","2.25516","","13647","15750","49981","184.187442","minimize","34444","6","0","2250","S(8)","results_prod_shelf","0.737359","21000","13650","3206938","38371731","complete","35550","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","15.109586173668504","133","30429","45570","0","2548","2.49887","","13647","15750","25577","11.154751","minimize","35530","3","0","2250","S(20)","results_prod_shelf","0.545844","21900","13650","257463","6281366","complete","37170","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","351.18727021850646","349","1553094","102200","0","5979","125.136","1485000","30197","35000","2879537","163.209697","minimize","1564095","5","0","5000","S(30)","results_prod_shelf","24.253699","296500","30200","14075585","699310578","complete","1568200","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","17.180042911320925","92","30429","45570","0","11060","2.53469","","13647","15750","25160","13.143972","minimize","35530","6","0","2250","S(20)","results_prod_shelf","0.549545","21900","13650","442342","9230132","complete","37170","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","369.3150884732604","835","68144","102200","0","78617","5.52508","","30197","35000","61896","360.233512","minimize","79145","16","0","5000","S(24)","results_prod_shelf","1.412445","49000","30200","6172572","130859915","complete","83200","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","156.71850304771215","3721","31091","46410","0","155887","2.34586","","13647","15750","26104","152.870117","minimize","35892","16","0","2250","S(13)","results_prod_shelf","0.558243","22200","13650","2256910","76230360","complete","37710","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.251939713955","17","30098","45150","0","771968","2.59646","","13647","15750","6099","1196.890425","minimize","35349","0","0","2250","","results_prod_shelf","0.623505","21750","13650","3887506","562040384","complete","36900","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","53.03258621133864","4268","13284","19880","0","149174","1.16053","","6097","7000","11645","51.177109","minimize","15685","1","0","1000","S(20)","results_prod_shelf","0.230573","9600","6100","1034860","39952375","complete","16280","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.0676270984113","50","64838","98000","0","83262","5.7073","","30197","35000","60377","1192.699952","minimize","77339","0","0","5000","","results_prod_shelf","1.71474","47500","30200","60485228","214736609","complete","80500","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.965169781818986","21","20907","4410","0","825","1.61448","18000","1547","1750","36510","0.413529","minimize","21708","1","0","250","S(10)","results_prod_shelf","0.305887","5200","1550","69604","2069431","complete","21710","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.9148104498162866","7","3250","4830","0","867","0.331916","","1547","1750","2990","0.203239","minimize","3901","5","0","250","S(6)","results_prod_shelf","0.059742","2350","1550","20563","200032","complete","3980","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1202.11428753566","86","67593","101500","0","50949","5.75074","","30197","35000","67155","1192.857945","minimize","78844","6","0","5000","S(20)","results_prod_shelf","1.45359","48750","30200","10240634","207852370","complete","82750","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0337398108095","56","28443","43050","0","16846","2.29877","","13647","15750","48123","1197.033851","minimize","34444","2","0","2250","S(11)","results_prod_shelf","0.744875","21000","13650","2953536","40187599","complete","35550","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","191.86428278125823","2656","30098","45150","0","142175","2.48149","","13647","15750","30620","187.884135","minimize","35349","8","0","2250","S(14)","results_prod_shelf","0.597397","21750","13650","3565450","72580288","complete","36900","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","657.661181258969","235","1553094","102200","0","19768","138.11","1485000","30197","35000","2937155","452.26798","minimize","1564095","14","0","5000","S(24)","results_prod_shelf","25.317645","296500","30200","64846097","1746519334","complete","1568200","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","348.1974224373698","349","1553094","102200","0","5979","124.767","1485000","30197","35000","2879537","160.295285","minimize","1564095","5","0","5000","S(30)","results_prod_shelf","24.140097","296500","30200","14075585","699310578","complete","1568200","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","192.83524659648538","2656","30098","45150","0","142175","2.44494","","13647","15750","30620","188.673654","minimize","35349","8","0","2250","S(14)","results_prod_shelf","0.608338","21750","13650","3565450","72580288","complete","36900","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","518.1641510445625","5488","69246","103600","0","255959","5.31856","","30197","35000","57184","509.570587","minimize","79747","28","0","5000","S(17)","results_prod_shelf","1.263365","49500","30200","5918171","220973858","complete","84100","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.8477541990578175","18","2917","4410","0","2680","0.315198","","1547","1750","3977","2.279727","minimize","3718","1","0","250","S(10)","results_prod_shelf","0.058777","2200","1550","178224","1958256","complete","3710","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.076883907429874","99","3028","4550","0","7498","0.307422","","1547","1750","3715","1.437384","minimize","3779","2","0","250","S(9)","results_prod_shelf","0.057076","2250","1550","93740","1233727","complete","3800","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.077132730744779","32","21018","4550","0","2013","1.52932","18000","1547","1750","36487","0.649841","minimize","21769","2","0","250","S(9)","results_prod_shelf","0.295116","5250","1550","146747","3841430","complete","21800","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.2868705373257399","8","3250","4830","0","1682","0.326623","","1547","1750","3057","0.621997","minimize","3901","5","0","250","S(6)","results_prod_shelf","0.06113","2350","1550","48842","808577","complete","3980","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8712814366444945","14","3250","4830","0","1384","0.313773","","1547","1750","2982","0.273667","minimize","3901","5","0","250","S(6)","results_prod_shelf","0.058567","2350","1550","23664","272010","complete","3980","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","3.38421278167516","545","3107","4620","0","21562","0.306333","","1485","1680","3438","2.737925","minimize","3738","4","0","240","S(5)","results_prod_shelf","0.061697","2250","1488","102214","1851716","complete","3810","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","25.301986345089972","35","160043","19600","0","1277","12.8515","147000","6097","7000","291448","5.74754","minimize","162544","6","0","1000","S(8)","results_prod_shelf","2.349644","34000","6100","1879272","39079231","complete","163100","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","1.3921762891113758","56","2917","4410","0","2265","0.338223","","1547","1750","3708","0.714556","minimize","3718","1","0","250","S(10)","results_prod_shelf","0.058835","2200","1550","49596","602532","complete","3710","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","2.8189451098442078","0","21240","4830","0","586","1.54924","18000","1547","1750","36450","0.269435","minimize","21891","5","0","250","S(6)","results_prod_shelf","0.297385","5350","1550","188626","1693623","complete","21980","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","501.0146704055369","1175","67593","101500","0","91109","5.46314","","30197","35000","67222","492.092373","minimize","78844","7","0","5000","S(16)","results_prod_shelf","1.416788","48750","30200","11478267","139088297","complete","82750","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.1865395475178957","8","3250","4830","0","1682","0.320761","","1547","1750","3057","0.612654","minimize","3901","5","0","250","S(6)","results_prod_shelf","0.058723","2350","1550","48842","808577","complete","3980","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","175.19032479450107","1387","68144","102200","0","69347","5.264","","30197","35000","53261","166.796915","minimize","79145","12","0","5000","S(30)","results_prod_shelf","1.200965","49000","30200","2589112","76503205","complete","83200","0"
