"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","458.7995855184272","18","13726","20440","0","309497","1.13344","","6097","7000","12112","456.938038","minimize","15927","8","0","1000","S(13)","results_prod_shelf","0.257003","9800","6100","5688625","271832120","complete","16640","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","122.35220114234835","251","529568","45150","0","24731","42.5395","499500","13647","15750","990406","58.199119","minimize","534819","8","0","2250","S(13)","results_prod_shelf","8.100061","105000","13650","9052535","308014646","complete","536400","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","5.166632593609393","20","2917","4410","0","2685","0.338664","","1547","1750","3870","4.488234","minimize","3718","1","0","250","S(10)","results_prod_shelf","0.059499","2200","1550","90742","1362494","complete","3710","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","47.88827661704272","5467","13284","19880","0","142274","1.07486","","6097","7000","11280","46.129216","minimize","15685","1","0","1000","S(20)","results_prod_shelf","0.230848","9600","6100","995544","42701453","complete","16280","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","3.362593454308808","545","3107","4620","0","21562","0.310919","","1485","1680","3438","2.714115","minimize","3738","4","0","240","S(5)","results_prod_shelf","0.058947","2250","1488","102214","1851716","complete","3810","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","23.841831911355257","11","160043","19600","0","1686","12.3237","147000","6097","7000","291410","5.005407","minimize","162544","2","0","1000","S(15)","results_prod_shelf","2.342404","34000","6100","744749","30596871","complete","163100","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","26.915800682269037","60","11958","18200","0","3775","0.994813","","6097","7000","26804","25.177602","minimize","14959","6","0","1000","S(6)","results_prod_shelf","0.315997","9000","6100","1790972","13512565","complete","15200","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","933.0653756875545","3216","1554196","103600","0","98246","132.408999","1485000","30197","35000","2944219","734.749389","minimize","1564697","31","0","5000","S(17)","results_prod_shelf","24.647296","297000","30200","106304095","2327796604","complete","1569100","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.932998352684","123","28443","43050","0","69659","2.26944","","13647","15750","48356","1197.053552","minimize","34444","5","0","2250","S(10)","results_prod_shelf","0.714913","21000","13650","45136533","505251285","complete","35550","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","1056.677434979938","8997","69246","103600","0","611724","5.60918","","30197","35000","55991","1047.674697","minimize","79747","17","0","5000","S(17)","results_prod_shelf","1.262362","49500","30200","8330364","366686362","complete","84100","0"
