"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6456092214212","2196","1505","679","","48","","complete","0.306768","","0","","","","","1200","0.061288","18816","","","","0","","755","","76733","679363","2646","2160","6881","results_container","","20613430","minimize","0","750","3360","","1199.65732"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1203.8227090826258","188957","1505","5776","","57","","complete","10.4597","","0","","186750","","","32335","2.233858","16896","","","","0","","755","","235666","17676482","189417","188928","247767","results_container","","5731152747","minimize","0","750","3388","","1187.464969"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.171918076463","1050","725","2788","","32","","complete","0.13043","","0","","","","","570","0.025661","4788","","","","0","","365","","306443","838870","1260","1026","2360","results_container","","25784821","minimize","0","360","1596","","1199.865355"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2422772189602","120197","1205","","","0","","","6.77161","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6812464008108","1758","1205","799","","40","","complete","0.282108","","0","","","","","960","0.048677","10368","","","","0","","605","","79177","363379","2118","1728","2502","results_container","","13064657","minimize","0","600","2688","","1199.708551"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.351222367026","1050","725","1632","","31","","complete","0.131436","","0","","","","","570","0.025351","4968","","","","0","","365","","140480","553659","1260","1026","1945","results_container","","16029503","minimize","0","360","1596","","1199.860459"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","UNKNOWN","1203.2096378868446","120197","1205","","","0","","","6.8954","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6262332713231","2208","1505","369","","46","","complete","0.282391","","0","","","","","1210","0.059443","17664","","","","0","","755","","20268","418817","2668","2178","6529","results_container","","8094978","minimize","0","750","3388","","1199.701016"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.624729739502","2208","1505","465","","40","","complete","0.281383","","0","","","","","1210","0.059094","18144","","","","0","","755","","28178","391753","2668","2178","4580","results_container","","8413247","minimize","0","750","3388","","1199.693934"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1203.2096496773884","121559","1799","","","19","","","7.05901","","","","","","","20860","","20520","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.5455704750493","44129","1079","33","995957","33","1698524","","2.47921","148.63","","2089319340","","109099","0.0","7710","0.572","10800","2713883","1079","","","0.94","","0.0","1698524","","87786","43524","711","results_container","110180","8948878249","minimize","0","","43638","","1197.517"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.212992908433","1758","1205","525","","53","","complete","0.158957","","0","","","","","960","0.042475","7488","","","","0","","605","","31136","407614","2118","1728","5479","results_container","","7908710","minimize","0","600","2688","","1199.855076"
