"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1229.9947541635484","","","","1485000","","","","","","1554400","","","","0","","1559797","","","","","","minimize","","","","297000","","","","5000","30200","","","results_prod_new","","69300","136.337","","","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","30.832268330268562","","","88","","","","","","0.733684","35550","","S(8)","26.85981","5","13647","34444","complete","","","1388665","","minimize","","28443","0","21000","12548547","46923","12416","2250","13650","15750","0","results_prod_new","","43050","2.31315","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","1047.2980847069994","","","8997","","","","","","1.258225","84100","","S(17)","1038.896531","17","30197","79747","complete","","","8330364","","minimize","","69246","0","49500","366686362","55991","611724","5000","30200","35000","0","results_prod_new","","103600","5.16583","","","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","5.349630618467927","","","29","","","","","","0.262131","16100","","S(15)","3.303078","6","6097","15564","complete","","","219870","","minimize","","13063","0","9500","2652517","13866","2813","1000","6100","7000","0","results_prod_new","","19600","1.10886","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","34.313514625653625","","","2758","","","","","","0.23314","16280","","S(20)","32.523448","1","6097","15685","complete","","","903488","","minimize","","13284","0","9600","27739869","10421","107489","1000","6100","7000","0","results_prod_new","","19880","1.10217","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","140.18688451498747","","","1637","","","","","","0.565297","37710","","S(13)","136.183507","15","13647","35892","complete","","","1434521","","minimize","","31091","0","22200","61527860","26539","411382","2250","13650","15750","0","results_prod_new","","46410","2.40638","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","292.7849773596972","","","242","","","","","","0.27621","16100","","S(8)","290.736596","8","6097","15564","complete","","","1534700","","minimize","","13063","0","9500","23310203","15031","35969","1000","6100","7000","0","results_prod_new","","19600","1.23283","","","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1200.5287581617013","","","6","","","","","","0.257544","16100","","","1198.749662","0","6097","15564","complete","","","13448720","","minimize","","13063","0","9500","726638482","3258","653128","1000","6100","7000","0","results_prod_new","","19600","1.06817","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","170.854737540707","","","145","","","","","","1.959605","80500","","S(11)","161.289956","25","30197","77339","complete","","","3560582","","minimize","","64838","0","47500","50235815","68140","111343","5000","30200","35000","0","results_prod_new","","98000","5.59076","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","194.61163135804236","","","4691","","","","","","1.321794","84100","","S(17)","185.809838","24","30197","79747","complete","","","3644822","","minimize","","69246","0","49500","113568798","58416","201274","5000","30200","35000","0","results_prod_new","","103600","5.43193","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","298.84106832835823","","","2424","499500","","","","","9.542514","536400","","S(14)","229.782072","16","13647","534819","complete","","","23904400","","minimize","","529568","0","105000","815948905","993654","64599","2250","13650","15750","0","results_prod_new","","45150","45.32","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","6.390682580880821","","","42","","","","","","0.327871","15200","","S(6)","4.396612","6","6097","14959","complete","","","401776","","minimize","","11958","0","9000","2791197","26122","2490","1000","6100","7000","0","results_prod_new","","18200","1.15937","","","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.419143472798169","","","351","","","","","","0.062907","3810","","S(5)","3.697917","4","1485","3738","complete","","","71893","","minimize","","3107","0","2250","2345223","3027","34392","240","1488","1680","0","results_prod_new","","4620","0.357014","","","0"
