"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.8315711058676","2","105","","","","results_filter","1199.801671","","","minimize","14","","75","0","","","","","0.007379","complete","","0","95099116","23664413","97","","","67","0","","","","6899782","0.190027","0","83","","8"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","296.22643759008497","2","73","","1456","","results_filter","295.565575","","","minimize","32","","1529","0","","","","608","0.023211","complete","","4139061","708384338","0","49","","","1521","0","1456","","","2500770","0.249887","92269","1666","","8"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4717818545177579","10","52","","","","results_filter","0.070849","","","minimize","19","","36","0","","","","","0.005985","complete","","682","17352","2181","34","","","35","0","","","","389","0.165791","7","119","","1"
"gecode","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.8588176537305117","3","77","171","","3","results_filter","0.018789","","","minimize","18","","57","","77","","","","0.013608","","","","1522","","","","","61","0","","","","49","0.231425","0","60","",""
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.5313876597210765","21","61","","720","","results_filter","0.078451","","","minimize","11","","755","0","","","","180","0.0132","complete","","19909","176755","0","45","","","751","0","720","","","546","0.201584","1","928","","4"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","15.726549887098372","7","105","","","","results_filter","14.932807","","","minimize","10","","75","0","","","","","0.007739","complete","","385335","1667743","0","97","","","67","0","","","","347437","0.175119","2685","203","","8"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.300665040500462","3","49","","","","results_filter","0.411222","","","minimize","18","","37","0","","","","","0.006165","complete","","2316","85465","11458","29","","","33","0","","","","5194","0.173829","107","114","","4"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","607.9224802358076","2","105","","","","results_filter","606.947459","","","minimize","14","","75","0","","","","","0.007798","complete","","4095127","66211839","9469270","97","","","67","0","","","","4785756","0.170901","128606","201","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","168.39501437637955","6","105","","","","results_filter","166.944271","","","minimize","18","","75","0","","","","","0.007848","complete","","3027562","15987331","0","49","","","67","0","","","","2347297","0.229698","48192","155","","8"
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.41416526585817337","1","26","","","","results_filter","0.00624","","","minimize","6","","14","","","22","","","","","","","49","","","","","","0","","","","2","0.171485","","","6",""
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.100043399259448","2","43","","672","","results_filter","0.540639","","","minimize","28","","727","0","","","","336","0.013021","complete","","21979","3205420","0","35","","","719","0","672","","","13519","0.247314","571","765","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.46893986500799656","3","33","","","","results_filter","0.020389","","","minimize","15","","26","0","","","","","0.005516","complete","","0","6016","724","24","","","25","0","","","","621","0.169205","0","27","","1"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.469607156701386","1","26","","","","results_filter","0.00415","","","minimize","6","","14","0","","","","","0.004589","complete","","116","1207","0","18","","","11","0","","","","4","0.186166","0","113","","3"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","233.31431505270302","1","73","","","","results_filter","232.676478","","","minimize","32","","75","0","","","","","0.007004","complete","","3813553","30225871","0","65","","","67","0","","","","2294863","0.21691","92171","156","","8"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6139345085248351","3","33","","","","results_filter","0.023036","","","minimize","15","","26","0","","","","","0.005597","complete","","274","8298","824","32","","","25","0","","","","746","0.203313","40","33","","1"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6528959982097149","1","51","","","","results_filter","0.206539","","","minimize","28","","57","0","","","","","0.005916","complete","","3065","79202","4867","35","","","49","0","","","","4585","0.178335","230","40","","8"
"Huub_free_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.19915013294667","1","26","","","","results_filter","0.003431","","","minimize","4","","14","0","","","","","0.004318","complete","","0","95","32","18","","","11","0","","","","7","0.272046","0","20","","3"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","9.938150210306048","7","105","","2432","","results_filter","9.380518","","","minimize","10","","2505","0","","","","608","0.035213","complete","","438202","39815610","0","97","","","2497","0","2432","","","239286","0.257709","6461","3209","","8"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.8027873998507857","1","48","","","","results_filter","0.006348","","","minimize","11","","26","0","","","","","0.005802","complete","","135","2605","0","24","","","25","0","","","","21","0.175662","0","113","","1"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.48038259241729975","2","77","","","","results_filter","0.010934","","","minimize","17","","57","0","","","","","0.006379","complete","","0","752","170","69","","","49","0","","","","14","0.175987","0","67","","8"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6400034986436367","3","33","","","","results_filter","0.042032","","","minimize","15","","26","0","","","","","0.00644","complete","","224","7922","798","32","","","25","0","","","","717","0.20605","36","33","","1"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","29.38833094201982","4","105","","","","results_filter","28.864441","","","minimize","11","","75","0","","","","","0.007752","complete","","499631","4276008","0","97","","","67","0","","","","421016","0.191404","5015","160","","8"
"gecode","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6079396400600672","2","69","82","","2","results_filter","0.00804","","","minimize","21","","57","","85","","","","0.000772","","","","823","","","","","60","0","","","","13","0.178721","0","53","",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6916444608941674","3","49","","","","results_filter","0.060157","","","minimize","16","","37","0","","","","","0.00587","complete","","0","25409","4792","45","","","33","0","","","","1130","0.217999","0","42","","4"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.5338605912402","1","105","","","","results_filter","1199.767327","","","minimize","14","","75","0","","","","","0.007823","complete","","6577356","111925403","15681314","97","","","67","0","","","","7509617","0.22681","302505","196","","8"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6581840682774782","1","49","","","","results_filter","0.019534","","","minimize","16","","37","0","","","","","0.006176","complete","","890","17235","0","45","","","33","0","","","","58","0.225856","2","127","","4"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5577725470066071","4","49","","600","","results_filter","0.036231","","","minimize","16","","635","0","","","","180","0.011644","complete","","2722","156917","2451","45","","","631","0","600","","","615","0.252317","0","723","","4"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.5830259397625923","3","33","","310","","results_filter","0.023765","","","minimize","15","","334","0","","","","127","0.008468","complete","","1101","65739","766","32","","","333","0","310","","","671","0.215225","12","362","","1"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","93.32002258300781","1","73","","","","results_filter","92.467546","","","minimize","32","","75","0","","","","","0.00689","complete","","607633","15344144","865695","65","","","67","0","","","","730500","0.207452","27955","123","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2523185182363","3","105","","","","results_filter","1199.820215","","","minimize","10","","75","0","","","","","0.007708","complete","","0","93322878","32718048","97","","","67","0","","","","7342088","0.170944","0","87","","8"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5403816308826208","4","61","","","","results_filter","0.027008","","","minimize","15","","37","0","","","","","0.006195","complete","","887","10591","0","45","","","33","0","","","","270","0.186624","7","149","","4"
"gecode","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","4.179739537648857","3","33","1723585","","3","results_filter","3.75269","","","minimize","15","","26","","63","","","","0.000612","","","","9786684","","","","","29","0","","","","861787","0.17041","0","29","",""
"gecode","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.7133119348436594","1","48","67","","1","results_filter","0.004721","","","minimize","11","","26","","48","","","","0.000605","","","","482","","","","","30","0","","","","22","0.207746","0","50","",""
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6384446602314711","2","33","","","","results_filter","0.044481","","","minimize","15","","26","0","","","","","0.005258","complete","","2558","19138","0","24","","","25","0","","","","1728","0.211069","94","108","","1"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","2.9035921627655625","10","52","","","","results_filter","2.168009","","","minimize","19","","36","0","","","","","0.005843","complete","","0","700470","154396","34","","","35","0","","","","24087","0.170666","0","43","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","152.7349385479465","1","73","","","","results_filter","151.847282","","","minimize","32","","75","0","","","","","0.007733","complete","","489083","14459314","845133","65","","","67","0","","","","634836","0.201606","27783","147","","8"
"gecode","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","0.8064389815554023","1","105","154","","1","results_filter","0.008085","","","minimize","18","","75","","105","","","","0.004235","","","","3146","","","","","79","0","","","","58","0.187425","0","108","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5914420383051038","1","25","","254","","results_filter","0.045914","","","minimize","18","","278","0","","","","127","0.007904","complete","","254","163269","1891","24","","","277","0","254","","","1859","0.189977","0","278","","1"
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.7525269007310271","1","51","","","","results_filter","0.101255","","","minimize","28","","57","0","","","","","0.005807","complete","","0","24744","2955","35","","","49","0","","","","2738","0.205138","0","40","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6448088139295578","2","33","","","","results_filter","0.037964","","","minimize","15","","26","0","","","","","0.005651","complete","","2106","18182","0","32","","","25","0","","","","1438","0.201774","51","120","","1"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5985889649018645","3","33","","310","","results_filter","0.022186","","","minimize","15","","334","0","","","","127","0.008402","complete","","990","56917","738","32","","","333","0","310","","","623","0.229434","0","362","","1"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6291333334520459","2","33","","","","results_filter","0.038907","","","minimize","15","","26","0","","","","","0.005582","complete","","2106","18182","0","32","","","25","0","","","","1438","0.202865","51","120","","1"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","57.63988364767283","3","105","","","","results_filter","57.236088","","","minimize","16","","75","0","","","","","0.007903","complete","","488503","10757625","1112006","65","","","67","0","","","","773252","0.168175","21195","180","","8"
"chuffed","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.7222109567374","1","112","16638865","2424","","results_filter","1199.707","-661828795","0.0","minimize","18","111","2503","","15566","15453","9985266","606","0.043","","0.05","","6310064407","","","6653500","2424","4936","0","","0.041","0.0","9985266","0.289286","1","74","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.53573705162853","2","69","","1288","","results_filter","0.010932","","","minimize","21","","1343","0","","","","336","0.020666","complete","","3056","16265","110","35","","","1335","0","1288","","","5","0.222856","0","1582","","8"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.7243174798787","2","105","","","","results_filter","1199.773321","","","minimize","16","","75","0","","","","","0.009003","complete","","0","68121075","13177839","65","","","67","0","","","","9176939","0.217797","0","76","","8"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","2.9923254996538162","14","52","","","","results_filter","2.359392","","","minimize","19","","36","0","","","","","0.006747","complete","","0","689706","153658","34","","","35","0","","","","24759","0.169041","0","43","","1"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5384354619309306","4","33","","310","","results_filter","0.055205","","","minimize","15","","334","0","","","","127","0.008918","complete","","4485","186416","0","32","","","333","0","310","","","2083","0.23302","8","438","","1"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","9.096306973136961","6","35","","","","results_filter","8.391931","","","minimize","35","","36","0","","","","","0.006558","complete","","0","918770","111846","34","","","35","0","","","","111367","0.194733","0","34","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","28.01136127486825","2","112","1045618","2424","","results_filter","27.228","-1637242744","0.0","minimize","11","111","2503","","15694","15581","181377","606","0.04","","0.05","","152697181","","","864081","2424","4936","0","","1.362","0.0","181377","0.29569","2","83","",""
