"configuration","problem","model","data_file","status","time","run","objective"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","27.192","results_container","26400"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","28.06","results_container","25606"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","28.359","results_container","25172"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","28.766","results_container","24738"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","30.089","results_container","24650"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","30.379","results_container","24225"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","30.996","results_container","22800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","31.32","results_container","22400"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","31.648","results_container","21000"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","31.966","results_container","20625"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","32.288","results_container","20250"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","32.618","results_container","19875"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","32.939","results_container","19800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","33.733","results_container","19665"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","34.249","results_container","18354"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","35.03","results_container","17043"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","35.325","results_container","16744"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","36.446","results_container","16560"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","36.78","results_container","16284"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","39.996","results_container","16128"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","40.326","results_container","15792"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","40.732","results_container","15134"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","41.387","results_container","14476"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","42.176","results_container","14168"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","42.527","results_container","14112"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","43.99","results_container","13860"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","45.442","results_container","13416"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","51.217","results_container","13104"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","54.253","results_container","12852"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","56.66","results_container","12546"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","60.902","results_container","12512"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","75.982","results_container","12502"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","77.243","results_container","11844"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","77.738","results_container","11592"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","81.064","results_container","10948"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","100.978","results_container","10602"
