"configuration","problem","model","data_file","status","time","variables","method","failures","propagations","propagators","flatTime","initTime","backjumps","baseMem","flatIntVars","peakMem","flatIntConstraints","restarts","flatBoolVars","evaluatedHalfReifiedConstraints","paths","peakDepth","solveTime","objective","nodes","intVars","trailMem","flatBoolConstraints","error","solutions","randomSeed","nogoods","run","nSolutions","boolVariables","optTime","evaluatedReifiedConstraints"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1202.3639345075935","","minimize","","","","8.7052","","","","1205","","121205","","119400","119400","0","","","","","","","19900","","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.3022024594247","51095","minimize","624561","5221462276","59090","3.56803","0.44903","","","785","","51485","0","50310","50310","0","265","1196.44","","1249357","","","8385","","0","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.1238971687853","","minimize","","","","3.01158","","","","725","","43925","","42840","42840","0","","","","","","","7140","","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNSATISFIABLE","8.366450456902385","260021","minimize","1358","35899661","60300","1.97881","0.473","948","0.0","899","0.0","30899","0","29700","","0","63","5.276","-1","2299","899","0.42","4950","","","-808886879","1358","results","0","259120","0.0","29700"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","ERROR","3.062015261501074","","minimize","","","","2.03696","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","ERROR","3.5392663720995188","","minimize","","","","2.16406","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1202.1528782751411","","minimize","","","","3.28091","","","","1169","","51869","","50310","","0","","","","","","","8385","","","","","results","0","","","50310"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","ERROR","12.001685496419668","","minimize","","","","8.46831","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","ERROR","4.222080256789923","","minimize","","","","2.91312","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","ERROR","12.22528063878417","","minimize","","","","8.54282","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","ERROR","3.254318695515394","","minimize","","","","2.038609","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","ERROR","3.3300883285701275","","minimize","","","","2.11087","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","ERROR","0.053220245987176895","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected integer literal, expecting |]","","","","results","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.2715506087989","","minimize","","","","8.56406","","","","1205","","121205","","119400","119400","0","","","","","","","19900","","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","ERROR","0.04564337991178036","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected ',', expecting end of file","","","","results","","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","ERROR","12.585213644430041","","minimize","","","","8.82285","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.4451686292887","","minimize","","","","8.89776","","","","1205","","121205","","119400","119400","0","","","","","","","19900","","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.2693756856024","43565","minimize","632269","4388475421","50345","2.85815","0.395583","","","725","","43925","0","42840","42840","0","251","1197.14","","1264745","","","7140","","0","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4382412396371","","minimize","","","","13.0417","","","","1505","","189005","","186750","186750","0","","","","","","","31125","","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNSATISFIABLE","16.117486463859677","154192","minimize","176","20105293","240600","9.05085","1.397","636","0.0","1799","0.0","121799","0","119400","","0","491","3.357","-1","810","1799","2.11","19900","","","1939169245","176","results","0","152391","0.0","119400"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNSATISFIABLE","145.9314490724355","531431","minimize","9167","951641230","240600","8.87715","1.425","5058","0.0","1799","0.0","121799","0","119400","","0","322","133.271999","-1","14217","1799","1.41","19900","","","1082995876","9167","results","0","529630","0.0","119400"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.365893445909","","minimize","","","","8.55746","","","","1205","","121205","","119400","119400","0","","","","","","","19900","","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.6898977328092","","minimize","","","","2.01846","","","","605","","30605","","29700","29700","0","","","","","","","4950","","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNSATISFIABLE","269.03324640728533","932144","minimize","17349","1494818076","240600","8.53077","1.674","13246","0.0","1799","0.0","121799","0","119400","","0","290","256.329999","-1","30587","1799","1.41","19900","","","-1913765954","17349","results","0","930343","0.0","119400"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","ERROR","4.258837029337883","","minimize","","","","2.95964","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","ERROR","4.478347817435861","","minimize","","","","3.02621","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNSATISFIABLE","5.017895484343171","263154","minimize","92","3416207","86760","2.99321","0.672","174","0.0","1079","0.0","44279","0","42840","","0","38","0.5","-1","253","1079","0.63","7140","","","613679866","92","results","0","262073","0.0","42840"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.8781137131155","30305","minimize","948238","10889666462","34955","2.12028","0.2716","","","605","","30605","0","29700","29700","0","185","1197.88","","1896640","","","4950","","0","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1202.231035882607","","minimize","","","","8.50384","","","","1205","","121205","","119400","119400","0","","","","","","","19900","","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","ERROR","0.11315562389791012","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected integer literal, expecting |]","","","","results","","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","ERROR","4.894528528675437","","minimize","","","","3.30869","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","ERROR","2.823060739785433","","minimize","","","","1.84813","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1203.3705257866532","","minimize","","","","13.8242","","","","1505","","189005","","186750","186750","0","","","","","","","31125","","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","ERROR","18.848919298499823","","minimize","","","","13.3701","","","","1505","","189005","","186750","186750","0","","","","","","","31125","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","ERROR","5.007623026147485","","minimize","","","","3.38677","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","ERROR","5.01381010748446","","minimize","","","","3.38934","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","ERROR","2.9358522444963455","","minimize","","","","1.95974","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","ERROR","19.425467992201447","","minimize","","","","13.8024","","","","1505","","189005","","186750","186750","0","","","","","","","31125","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","ERROR","4.545304315164685","","minimize","","","","3.09691","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","ERROR","12.211054557934403","","minimize","","","","8.58298","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","ERROR","2.857961528003216","","minimize","","","","1.87766","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNSATISFIABLE","31.96922094747424","270968","minimize","601","101655369","375750","13.7023","2.188","418","0.0","2249","0.0","189749","0","186750","","0","138","12.569","-1","1013","2249","3.16","31125","","","92881847","601","results","0","268717","0.0","186750"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","ERROR","4.353489052504301","","minimize","","","","3.01555","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.0693033114076","","minimize","","","","3.33692","","","","785","","51485","","50310","50310","0","","","","","","","8385","","","","","results","0","","",""
