"configuration","problem","model","data_file","status","time","run","nSolutions","propagators","objective","flatIntVars","evaluatedReifiedConstraints","userDecisions","intVariables","flatIntConstraints","solveTime","flatBoolConstraints","oracleDecisions","peakDepth","initTime","paths","flatTime","restarts","failures","method","flatBoolVars","extractedViews","blockType","unifiedVariables","propagations"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2017328683287","results_container_basic","44","1029","3264","605","1302","0","305","864","1199.889147","465","753308","1128","0.021114","0","0.123726","3159","238130","minimize","837","300","complete","0","25028179"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3436798267066","results_container_basic","49","2646","22620","1505","3360","0","755","2196","1199.834368","1200","322693","4574","0.056782","0","0.178856","0","28355","minimize","2160","750","complete","0","3230857"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.225362772122","results_container_basic","32","1370","4760","785","1736","0","395","1140","1199.90271","620","305674","1026","0.02642","0","0.127042","0","247438","minimize","1116","390","complete","0","14863328"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1200.4224053150974","results_container_basic","0","1370","","785","1736","0","395","1140","1199.852531","620","373135","1667","0.027954","0","0.139939","93","359117","minimize","1116","390","complete","0","6196305"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.307384699583","results_container_basic","40","1040","4830","605","1316","0","305","870","1199.867776","470","511729","675","0.021117","0","0.133426","0","456198","minimize","846","300","complete","0","23553661"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.184073317796","results_container_basic","30","2668","18792","1505","3388","0","755","2208","1199.777198","1210","302465","4364","0.05522","0","0.177537","191","20283","minimize","2178","750","complete","0","4127546"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1745159961283","results_container_basic","39","1260","5950","725","1596","0","365","1050","1199.86959","570","577798","2422","0.02497","0","0.123695","1640","171307","minimize","1026","360","complete","0","18136779"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2187273618765","results_container_basic","34","2118","7410","1205","2688","0","605","1758","1199.805599","960","290241","5592","0.038499","0","0.170781","418","48742","minimize","1728","600","complete","0","7044897"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.3012353749946","results_container_basic","29","1029","3450","605","1302","0","305","864","1199.874645","465","461840","641","0.020996","0","0.121543","0","409186","minimize","837","300","complete","0","22023301"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1850610566325","results_container_basic","33","1260","5250","725","1596","0","365","1050","1199.883348","570","373030","864","0.024778","0","0.119201","0","312143","minimize","1026","360","complete","0","18054697"
