"configuration","problem","model","data_file","status","time","propagations","boolVariables","propagators","peakMem","evaluatedHalfReifiedConstraints","unifiedVariables","objectiveBound","nodes","variables","solveTime","run","blockType","evaluatedReifiedConstraints","optTime","solutions","paths","flatBoolConstraints","peakDepth","failures","nogoods","userDecisions","flatTime","method","oracleDecisions","restarts","flatBoolVars","trailMem","extractedViews","intVars","nSolutions","initTime","flatIntConstraints","randomSeed","intVariables","backjumps","baseMem","flatIntVars","objective"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.0172127317637","7806696","45677","","","42840","","195","","","37.4375","results_container","","","","","0","7140","","3600","","","2.4144","minimize","","","42840","","","","3","","43205","","","","","725","6435"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1201.101370451972","5245299243","100692","60300","0.0","","","","3676813","101593","1198.357","results_container","","29700","0.0","","0","4950","583","2540236","2540236","","1.64121","minimize","","0","29700","0.42","","899","0","0.418","30299","606636057","","1136101","0.0","899","-1"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.8451718445867","843526237","","29705","","29700","0","","","","1197.973992","results_container","complete","","","","0","4950","10928","1311856","","0","1.65584","minimize","5242809","0","29700","","300","","44","0.370065","30005","","305","","","605","5400"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.8074714392424","949375103","","29325","","29700","0","","","","1197.852908","results_container","complete","","","","0","4950","39607","1504137","","0","1.77324","minimize","5500831","0","29700","","300","","44","0.369982","30005","","305","","","605","4350"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.806308241561","3242532613","148494","101790","0.0","","","","1357833","149665","1197.179","results_container","","50310","0.0","","0","8385","893","985042","985042","","2.81908","minimize","","0","50310","0.94","","1169","0","0.681","51089","477497923","","372057","0.0","1169","-1"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.7664878629148","966043015","","119405","","119400","0","","","","1191.102761","results_container","complete","","","","0","19900","40095","693430","","0","7.18106","minimize","11778152","0","119400","","600","","31","1.723047","120005","","605","","","1205","7425"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.0667858663946","3798886066","","42845","","42840","0","","","","1197.089979","results_container","complete","","","","0","7140","54665","783935","","0","2.38777","minimize","22836484","17320","42840","","360","","21","0.521472","43205","","365","","","725","5355"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.664864052087","4144247572","","119405","","119400","0","","","","1191.533825","results_container","complete","","","","0","19900","128228","345899","","0","6.91261","minimize","29078322","5369","119400","","600","","54","1.551189","120005","","605","","","1205","7623"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7810291275382","4496596767","","29325","","29700","0","","","","1198.003078","results_container","complete","","","","0","4950","40873","1119017","","0","1.63185","minimize","24863867","30426","29700","","300","","45","0.361168","30005","","305","","","605","4368"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7696261983365","951096806","","29325","","29700","0","","","","1197.973313","results_container","complete","","","","0","4950","39607","1506699","","0","1.64675","minimize","5504802","0","29700","","300","","44","0.37944","30005","","305","","","605","4350"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2213367316872","","","","","","","","","","","results_container","","119400","","","0","19900","","","","","6.98022","minimize","","","119400","","","","0","","120599","","","","","1799",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.1603770181537","","","","","119400","","","","","","results_container","","","","","0","19900","","","","","7.29484","minimize","","","119400","","","","0","","120005","","","","","1205",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.1394979264587","10242815","124965","","","119400","","320","","","99.5556","results_container","","","","","0","19900","","7059","","","7.08857","minimize","","","119400","","","","1","","120005","","","","","1205","11880"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.772649616003","999807106","","119405","","119400","0","","","","1191.289744","results_container","complete","","","","0","19900","48045","677291","","0","7.15865","minimize","15375900","0","119400","","600","","45","1.548403","120005","","605","","","1205","7182"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.0889553520828","","","","","119400","","","","","","results_container","","","","","0","19900","","","","","7.37821","minimize","","","119400","","","","0","","120005","","","","","1205",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.2876670472324","13342093225","","50345","","42840","","","1329226","43565","1197.51","results_container","","","","0","0","7140","224","664512","","","2.48807","minimize","","0","42840","","","","0","0.378414","43205","","","","","725",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.1376769002527","","","","","186750","","","","","","results_container","","","","","0","31125","","","","","10.6352","minimize","","","186750","","","","0","","187505","","","","","1505",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1218781657517","","","","","","","","","","","results_container","","119400","","","0","19900","","","","","6.94236","minimize","","","119400","","","","0","","120599","","","","","1799",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.054410237819","","","","","","","","","","","results_container","","119400","","","0","19900","","","","","6.83769","minimize","","","119400","","","","0","","120599","","","","","1799",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.1025270726532","","","","","119400","","","","","","results_container","","","","","0","19900","","","","","7.04124","minimize","","","119400","","","","0","","120005","","","","","1205",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7661776263267","1222170","31621","","","29700","","180","","","6.72017","results_container","","","","","0","4950","","1867","","","1.6691","minimize","","","29700","","","","1","","30005","","","","","605","6300"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.0875157099217","","","","","","","","","","","results_container","","119400","","","0","19900","","","","","6.80792","minimize","","","119400","","","","0","","120599","","","","","1799",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.1308446377516","780859940","","42845","","42840","0","","","","1197.03913","results_container","complete","","","","0","7140","58852","1199544","","0","2.43168","minimize","6671989","0","42840","","360","","36","0.525","43205","","365","","","725","5328"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.0743686072528","853551913","","42845","","42840","0","","","","1196.957996","results_container","complete","","","","0","7140","17193","1126744","","0","2.52704","minimize","7348976","0","42840","","360","","35","0.514542","43205","","365","","","725","6440"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1201.5755794607103","11247890892","140006","86760","0.0","","","","3603615","141087","1197.356","results_container","","42840","0.0","","0","7140","613","3059891","3059891","","2.64043","minimize","","0","42840","0.63","","1079","0","0.618","43559","1640825830","","543309","0.0","1079","-1"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.8616354893893","20253747381","","34955","","29700","","","2044182","30305","1198.32","results_container","","","","0","0","4950","200","1022002","","","1.68052","minimize","","0","29700","","","","0","0.259823","30005","","","","","605",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1882549598813","7843839","125771","","","119400","","250","","","78.8349","results_container","","","","","0","19900","","7898","","","7.04217","minimize","","","119400","","","","1","","120005","","","","","1205","9450"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.7372095715255","1059259460","","119405","","119400","0","","","","1191.218975","results_container","complete","","","","0","19900","43262","677775","","0","6.81601","minimize","16454990","0","119400","","600","","34","1.967449","120005","","605","","","1205","10400"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1720531079918","854916682","","50315","","50310","0","","","","1196.482097","results_container","complete","","","","0","8385","19223","991281","","0","2.902","minimize","6664608","0","50310","","390","","56","0.61672","50705","","395","","","785","4928"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.8379924446344","3682271500","","29705","","29700","0","","","","1197.98183","results_container","complete","","","","0","4950","32477","1128741","","0","1.65319","minimize","24148934","28331","29700","","300","","35","0.361498","30005","","305","","","605","3927"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1203.2523445524275","","","","","186750","","","","","","results_container","","","","","0","31125","","","","","11.1095","minimize","","","186750","","","","0","","187505","","","","","1505",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.2012758199126","1527463401","","186755","","186750","0","","","","1185.939487","results_container","complete","","","","0","31125","66490","451006","","0","11.4267","minimize","36931066","0","186750","","750","","69","2.631545","187505","","755","","","1505","15984"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1696934998035","876312586","","50315","","50310","0","","","","1196.622545","results_container","complete","","","","0","8385","19223","1005590","","0","2.76843","minimize","6689149","0","50310","","390","","56","0.610651","50705","","395","","","785","4928"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1835012361407","3957767320","","50315","","50310","0","","","","1196.625656","results_container","complete","","","","0","8385","66427","691597","","0","2.7656","minimize","21934025","13968","50310","","390","","47","0.60472","50705","","395","","","785","5115"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.868935847655","891305178","","29705","","29700","0","","","","1197.917624","results_container","complete","","","","0","4950","10928","1386073","","0","1.71815","minimize","5371223","0","29700","","300","","44","0.362604","30005","","305","","","605","5400"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.448389813304","3608359082","","186755","","186750","0","","","","1186.292247","results_container","complete","","","","0","31125","189360","222446","","0","11.2834","minimize","32301200","2260","186750","","750","","58","2.420213","187505","","755","","","1505","17010"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.074195932597","3656034830","","42845","","42840","0","","","","1197.051305","results_container","complete","","","","0","7140","55028","841826","","0","2.41911","minimize","23153545","18448","42840","","360","","41","0.524948","43205","","365","","","725","6292"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.7436305209994","3592398153","","119405","","119400","0","","","","1191.637745","results_container","complete","","","","0","19900","153796","439783","","0","6.81009","minimize","27468682","4947","119400","","600","","25","1.54759","120005","","605","","","1205","7650"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7951644584537","917029092","","29705","","29700","0","","","","1197.945835","results_container","complete","","","","0","4950","42345","1433486","","0","1.68136","minimize","6065212","0","29700","","300","","39","0.36822","30005","","305","","","605","3969"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.1993095427752","","","","","","","","","","","results_container","","186750","","","0","31125","","","","","10.8738","minimize","","","186750","","","","0","","188249","","","","","2249",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0697577781975","782128313","","42845","","42840","0","","","","1197.085691","results_container","complete","","","","0","7140","16731","1078655","","0","2.3957","minimize","6354739","0","42840","","360","","47","0.518821","43205","","365","","","725","6105"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.091451158747","2869208","53298","","","50310","","160","","","22.2609","results_container","","","","","0","8385","","3905","","","3.03764","minimize","","","50310","","","","1","","50705","","","","","785","7560"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.8022267147899","972872903","","119405","","119400","0","","","","1191.573105","results_container","complete","","","","0","19900","48045","652622","","0","6.88169","minimize","15258577","0","119400","","600","","45","1.551702","120005","","605","","","1205","7182"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.6564916484058","963561588","","119405","","119400","0","","","","1191.607117","results_container","complete","","","","0","19900","40095","689635","","0","6.80301","minimize","11743876","0","119400","","600","","31","1.589627","120005","","605","","","1205","7425"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.796409226954","3399869158","","29705","","29700","0","","","","1197.828524","results_container","complete","","","","0","4950","38341","1038630","","0","1.79973","minimize","23418691","24203","29700","","300","","32","0.368282","30005","","305","","","605","5670"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.0709285307676","6321519","124334","","","119400","","320","","","64.095299","results_container","","","","","0","19900","","5505","","","6.98573","minimize","","","119400","","","","1","","120005","","","","","1205","13680"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.7454860378057","1110801892","","119405","","119400","0","","","","1190.924046","results_container","complete","","","","0","19900","40737","623972","","0","7.43475","minimize","15982964","0","119400","","600","","36","1.662917","120005","","605","","","1205","10608"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1203.1154345273972","28814199","193470","","","186750","","384","","","282.075","results_container","","","","","0","31125","","11645","","","11.2257","minimize","","","186750","","","","2","","187505","","","","","1505","17280"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.2276381794363","","","","","186750","","","","","","results_container","","","","","0","31125","","","","","10.9457","minimize","","","186750","","","","0","","187505","","","","","1505",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.6463109105825","85335199","32287","","","29700","","264","","","221.544","results_container","","","","","0","4950","","141115","","","1.61684","minimize","","","29700","","","","4","","30005","","","","","605","6300"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.197375299409","1581448222","","186755","","186750","0","","","","1186.469931","results_container","complete","","","","0","31125","76440","473090","","0","11.1358","minimize","37668686","0","186750","","750","","64","2.418145","187505","","755","","","1505","15120"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.8725507427007","18279621569","","34955","","29700","","","2289570","30305","1198.27","results_container","","","","0","0","4950","266","1144686","","","1.72973","minimize","","0","29700","","","","0","0.259218","30005","","","","","605",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1201.7100984286517","10053063632","155134","101790","0.0","","","","3317241","156305","1197.117","results_container","","50310","0.0","","0","8385","666","2773480","2773480","","2.88002","minimize","","0","50310","0.94","","1169","0","0.715","51089","97985867","","543332","0.0","1169","-1"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.7135858964175","3994371923","","119405","","119400","0","","","","1191.394587","results_container","complete","","","","0","19900","139173","370600","","0","6.86758","minimize","26435313","5693","119400","","600","","38","1.737447","120005","","605","","","1205","10710"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.1596273314208","","","","","","","","","","","results_container","","186750","","","0","31125","","","","","11.4599","minimize","","","186750","","","","0","","188249","","","","","2249",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.8864506930113","2408757","45543","","","42840","","288","","","15.3653","results_container","","","","","0","7140","","3038","","","2.44824","minimize","","","42840","","","","1","","43205","","","","","725","7800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1534882448614","3985822764","","50315","","50310","0","","","","1196.55708","results_container","complete","","","","0","8385","59189","667076","","0","2.82558","minimize","22351717","16129","50310","","390","","47","0.61216","50705","","395","","","785","8360"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7348041646183","3505976","31596","","","29700","","320","","","7.44195","results_container","","","","","0","4950","","2061","","","1.62093","minimize","","","29700","","","","4","","30005","","","","","605","7440"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.9545049574226","19630726","46047","","","42840","","320","","","64.1876","results_container","","","","","0","7140","","15309","","","2.4254","minimize","","","42840","","","","2","","43205","","","","","725","9728"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.3719538692385","14511655393","","59090","","50310","","","937664","51095","1197.08","results_container","","","","0","0","8385","231","468726","","","2.91871","minimize","","0","50310","","","","0","0.448659","50705","","","","","785",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7170255351812","930838514","","29705","","29700","0","","","","1197.917362","results_container","complete","","","","0","4950","42345","1453339","","0","1.71014","minimize","6119435","0","29700","","300","","39","0.369732","30005","","305","","","605","3969"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.8553076796234","4025077769","","119405","","119400","0","","","","1190.621237","results_container","complete","","","","0","19900","138042","349828","","0","7.37271","minimize","23250569","7282","119400","","600","","30","2.012632","120005","","605","","","1205","10920"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.230509949848","823487071","","50315","","50310","0","","","","1196.577364","results_container","complete","","","","0","8385","17911","1055042","","0","2.81748","minimize","6955057","0","50310","","390","","32","0.602915","50705","","395","","","785","8160"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1201.1559974011034","3006848953","100464","60300","0.0","","","","2611329","101365","1198.309","results_container","","29700","0.0","","0","4950","623","1949979","1949979","","1.68663","minimize","","0","29700","0.63","","899","0","0.424","30299","1980642162","","660792","0.0","899","-1"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.9747931286693","2216308","52984","","","50310","","320","","","16.2105","results_container","","","","","0","8385","","2750","","","2.79865","minimize","","","50310","","","","1","","50705","","","","","785","12420"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0411417409778","785131427","","42845","","42840","0","","","","1197.049858","results_container","complete","","","","0","7140","16731","1082781","","0","2.43467","minimize","6361581","0","42840","","360","","47","0.522042","43205","","365","","","725","6105"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.0775849558413","6881417","124507","","","119400","","250","","","68.4913","results_container","","","","","0","19900","","5966","","","7.00271","minimize","","","119400","","","","1","","120005","","","","","1205","9576"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.5301198661327","5271101959","126688","86760","0.0","","","","4583371","127769","1197.527","results_container","","42840","0.0","","0","7140","621","3090218","3090218","","2.47051","minimize","","0","42840","0.63","","1079","0","0.581","43559","2039524598","","1492673","0.0","1079","-1"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.8913323506713","1122695583","","119405","","119400","0","","","","1191.283979","results_container","complete","","","","0","19900","42933","664670","","0","7.06797","minimize","21853471","0","119400","","600","","64","1.643188","120005","","605","","","1205","12090"
