"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.7466426629107445","632","27456","283142","17836","complete","satisfy","8507","0","11900","8424","26208","104","results_rect_basic_prop","0.729688","9755","1","1786","0","1.05912","129","52","0","0","0.272585","28052"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.8096770170377567","397","11016","731106","7092","complete","satisfy","86","0","5243","3312","10368","72","results_rect_basic_prop","1.995363","4015","1","14244","0","0.415861","85","36","307","10356","0.111314","11390"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","5.56289099692367","397","11016","1608833","7092","complete","satisfy","19","0","0","3312","10368","72","results_rect_basic_prop","4.748177","4015","1","33633","0","0.414157","85","36","0","33742","0.110425","11390"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","62.330111329909414","779","39904","13444943","25984","complete","satisfy","2563","0","114493","12296","38222","116","results_rect_basic_prop","59.771475","14077","1","209348","0","1.42077","151","58","2765","133034","0.400077","40639"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.1167548659723252","368","9738","136835","6264","complete","satisfy","2951","0","4687","2934","9162","72","results_rect_basic_prop","0.298134","3561","1","1569","0","0.413395","81","36","0","0","0.105622","10085"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.75540176499635","430","13140","1258308","8480","complete","satisfy","21","0","0","3980","12420","80","results_rect_basic_prop","3.799511","4759","1","24639","0","0.506229","93","40","0","24731","0.132818","13545"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","3.3523566710064188","526","18964","271412","12276","complete","satisfy","5813","0","7893","5764","17996","88","results_rect_basic_prop","0.620105","6803","1","1795","0","0.832562","109","44","0","0","0.22076","19460"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","1.993073248071596","555","21022","266023","13616","complete","satisfy","6433","0","8551","6394","19964","92","results_rect_basic_prop","0.61123","7527","1","1796","0","0.714354","115","46","0","0","0.200146","21545"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","30.09727422101423","460","14620","7574374","9440","complete","satisfy","22","0","0","4420","13820","80","results_rect_basic_prop","28.916882","5283","1","160507","0","0.627546","97","40","0","160866","0.159199","15053"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","40.95683854201343","488","16380","10098319","10584","complete","satisfy","492","0","109301","4956","15498","84","results_rect_basic_prop","39.70889","5905","1","201901","0","0.669662","103","42","4031","124938","0.173531","16839"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.0293891130713746","403","11609","773524","7486","complete","satisfy","133","0","5758","3515","10963","76","results_rect_basic_prop","2.146578","4216","1","14666","0","0.447326","87","38","319","10355","0.122171","11989"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","9.96899374795612","526","18964","2786698","12276","complete","satisfy","984","0","24827","5764","17996","88","results_rect_basic_prop","8.479157","6803","1","43325","0","0.794395","109","44","1591","31704","0.220618","19460"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.82493196206633","343","8517","85598","5474","complete","satisfy","2643","0","3223","2567","8007","68","results_rect_basic_prop","0.16186","3124","1","1499","0","0.32993","75","34","89","1156","0.084263","8841"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.8637923070928","746","36736","168993281","23912","complete","satisfy","18","0","0","11312","35168","112","results_rect_basic_prop","1198.26462","12975","0","3872563","0","1.35972","145","56","0","3878422","0.372483","37440"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.6752994930139","526","18964","161666187","12276","complete","satisfy","22","0","0","5764","17996","88","results_rect_basic_prop","1198.975203","6803","0","4550001","0","0.818236","109","44","0","4555228","0.203463","19460"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.6710954430745915","424","12502","1247197","8056","complete","satisfy","20","0","0","3762","11780","76","results_rect_basic_prop","3.699014","4543","1","24611","0","0.529723","91","38","0","24699","0.126974","12901"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.3264625740703195","403","11609","209519","7486","complete","satisfy","3546","0","5469","3515","10963","76","results_rect_basic_prop","0.413048","4216","1","1728","0","0.45139","87","38","0","0","0.123702","11989"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7235673359828","752","38019","165401385","24766","complete","satisfy","18","0","0","11745","36453","116","results_rect_basic_prop","1198.259602","13406","0","3776570","0","1.35569","147","58","0","3782264","0.382128","38729"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.6390016119694337","494","17138","211149","11088","complete","satisfy","5237","0","7047","5214","16258","88","results_rect_basic_prop","0.430522","6161","1","1562","0","0.657717","105","44","0","0","0.170121","17603"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","3.7037052920786664","494","17138","839776","11088","complete","satisfy","525","0","8604","5214","16258","88","results_rect_basic_prop","2.54782","6161","1","13320","0","0.617556","105","44","489","9413","0.16842","17603"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.5965556399897","676","31131","156917084","20250","complete","satisfy","19","0","0","9585","29781","108","results_rect_basic_prop","1198.61529","11022","0","3787650","0","1.06711","135","54","0","3796501","0.314194","31769"
