"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4464307531016","555","21022","161491913","13616","complete","satisfy","19","0","0","6394","19964","92","results_rect_basic_prop","1199.08103","7527","0","4523099","0","0.715713","115","46","0","4526588","0.202365","21545"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","52.73916657501832","752","38019","11997701","24766","complete","satisfy","1811","0","113461","11745","36453","116","results_rect_basic_prop","50.349663","13406","1","206672","0","1.30722","147","58","3533","132333","0.382378","38729"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.050748863024637","362","9214","135748","5916","complete","satisfy","2771","0","4507","2754","8636","68","results_rect_basic_prop","0.288325","3383","1","1569","0","0.3792","79","34","0","0","0.096763","9555"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","119.93596270994749","488","16380","25570050","10584","complete","satisfy","24","0","0","4956","15498","84","results_rect_basic_prop","118.742459","5905","1","589980","0","0.645016","103","42","0","591001","0.160163","16839"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8007280209567398","343","8517","70449","5474","complete","satisfy","2548","0","2533","2567","8007","68","results_rect_basic_prop","0.142783","3124","1","1369","0","0.331591","75","34","0","1383","0.084561","8841"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","9.632455146987922","561","21912","2858576","14208","complete","satisfy","1163","0","19293","6696","20856","96","results_rect_basic_prop","8.139004","7827","1","35219","0","0.794296","117","48","1073","26350","0.223423","22441"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","60.48342262301594","707","33908","15100908","22064","complete","satisfy","1984","0","152030","10444","32452","112","results_rect_basic_prop","58.315584","11991","1","208392","0","1.18317","141","56","7129","153003","0.348583","34575"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.067394647980109","368","9738","927095","6264","complete","satisfy","18","0","0","2934","9162","72","results_rect_basic_prop","2.326631","3561","1","15313","0","0.371848","81","36","0","15722","0.096295","10085"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.4445323860272765","460","14620","237055","9440","complete","satisfy","4441","0","6339","4420","13820","80","results_rect_basic_prop","0.438397","5283","1","1688","0","0.531581","97","40","0","0","0.142938","15053"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","11.975958538008854","626","26425","2679754","17150","complete","satisfy","624","0","20002","8075","25175","100","results_rect_basic_prop","10.078775","9408","1","47169","0","1.04681","127","50","745","33944","0.286726","27015"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","2.3962231080513448","532","19803","272323","12834","complete","satisfy","6098","0","8178","6049","18837","92","results_rect_basic_prop","0.622137","7086","1","1795","0","0.800667","111","46","0","0","0.199691","20305"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","3.038192681968212","707","33908","763309","22064","complete","satisfy","10613","0","19540","10444","32452","112","results_rect_basic_prop","0.823046","11991","1","1687","0","1.20601","141","56","0","0","0.358365","34575"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","1.985231123981066","526","18964","271414","12276","complete","satisfy","5813","0","7893","5764","17996","88","results_rect_basic_prop","0.60722","6803","1","1795","0","0.723969","109","44","0","0","0.19757","19460"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","3.7518689970020205","779","39904","744653","25984","complete","satisfy","8826","0","12126","12296","38222","116","results_rect_basic_prop","1.318768","14077","1","2624","0","1.32622","151","58","0","0","0.397551","40639"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","3.5228431809227914","752","38019","876304","24766","complete","satisfy","11864","0","22916","11745","36453","116","results_rect_basic_prop","1.204774","13406","1","2783","0","1.25553","147","58","0","0","0.378913","38729"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","4.2420941879972816","785","41250","751545","26880","complete","satisfy","9169","0","12506","12750","39570","120","results_rect_basic_prop","1.49863","14529","1","2623","0","1.48362","153","60","0","0","0.439985","41991"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","2.611661902978085","626","26425","343545","17150","complete","satisfy","8135","0","11501","8075","25175","100","results_rect_basic_prop","0.856403","9408","1","2015","0","0.954813","127","50","0","0","0.266612","27015"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.5678969329456","632","27456","145305164","17836","complete","satisfy","15","0","0","8424","26208","104","results_rect_basic_prop","1198.653898","9755","0","4029180","0","1.06855","129","52","0","4034143","0.274081","28052"
