"configuration","problem","model","data_file","status","time","flatIntVars","method","flatIntConstraints","paths","eliminatedImplications","flatBoolVars","nSolutions","run","failures","intVariables","oracleDecisions","userDecisions","flatBoolConstraints","evaluatedReifiedConstraints","propagations","peakDepth","unifiedVariables","blockType","initTime","flatTime","evaluatedHalfReifiedConstraints","extractedViews","propagators","restarts","solveTime"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","UNSATISFIABLE","1.2151302329730242","3561","satisfy","10085","0","36","9162","0","results_rect_core_prop","2173","81","2332","0","2934","6264","336110","101","0","complete","0.094294","0.38649","72","9738","368","0","0.387324"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.529850927996449","4759","satisfy","13545","0","40","12420","1","results_rect_core_prop","25059","93","0","25159","3980","8480","1280885","21","0","complete","0.129541","0.491981","80","13140","430","0","3.600102"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNSATISFIABLE","3.699932974006515","6803","satisfy","19460","0","44","17996","0","results_rect_core_prop","8839","109","9491","0","5764","12276","1658565","207","0","complete","0.182138","0.668475","88","18964","526","0","2.245324"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","4.20770009001717","7527","satisfy","21545","0","46","19964","1","results_rect_core_prop","9812","115","10663","0","6394","13616","2112429","191","0","complete","0.194243","0.706691","92","21022","555","0","2.901256"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","41.47909591597272","5283","satisfy","15053","0","40","13820","1","results_rect_core_prop","240080","97","0","240853","4420","9440","10734240","21","0","complete","0.141437","0.54488","80","14620","460","0","40.375994"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","8.93466599500971","5905","satisfy","16839","0","42","15498","1","results_rect_core_prop","44447","103","20179","35244","4956","10584","2645037","208","0","complete","0.155866","0.59599","84","16380","488","1321","7.8264"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.1513225430389866","4216","satisfy","11989","0","38","10963","1","results_rect_core_prop","16189","87","7095","10595","3515","7486","1115941","193","0","complete","0.115178","0.455034","76","11609","403","320","2.276633"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNSATISFIABLE","35.6916841029888","6803","satisfy","19460","0","44","17996","0","results_rect_core_prop","169692","109","110141","124731","5764","12276","11379222","911","0","complete","0.183487","0.669689","88","18964","526","6363","34.36805"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","UNSATISFIABLE","1.0566980910371058","3124","satisfy","8841","0","34","8007","0","results_rect_core_prop","3020","75","7212","1529","2567","5474","359465","2748","0","complete","0.082145","0.334312","68","8517","343","111","0.397049"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.7388012289885","12975","satisfy","37440","0","56","35168","0","results_rect_core_prop","4363364","145","0","4371255","11312","23912","187894512","18","0","complete","0.353467","1.21798","112","36736","746","0","1198.427076"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3957115359954","6803","satisfy","19460","0","44","17996","0","results_rect_core_prop","4936465","109","0","4942420","5764","12276","174947398","22","0","complete","0.18007","0.666569","88","18964","526","0","1199.15203"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.48809842398623","4543","satisfy","12901","0","38","11780","1","results_rect_core_prop","25021","91","0","25114","3762","8056","1268229","20","0","complete","0.12051","0.516725","76","12502","424","0","3.515917"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","UNSATISFIABLE","1.8556316019967198","4216","satisfy","11989","0","38","10963","0","results_rect_core_prop","4627","87","4963","0","3515","7486","760549","111","0","complete","0.114995","0.452878","76","11609","403","0","0.980935"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.672400676005","13406","satisfy","38729","0","58","36453","0","results_rect_core_prop","4260245","147","0","4268031","11745","24766","183611839","19","0","complete","0.367161","1.23743","116","38019","752","0","1198.392315"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","UNSATISFIABLE","3.212039351987187","6161","satisfy","17603","0","44","16258","0","results_rect_core_prop","7991","105","8484","0","5214","11088","1616124","156","0","complete","0.162959","0.612958","88","17138","494","0","2.064586"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","UNSATISFIABLE","49.45091124100145","6161","satisfy","17603","0","44","16258","0","results_rect_core_prop","254374","105","131177","163270","5214","11088","15075242","395","0","complete","0.165435","0.64708","88","17138","494","3833","48.210841"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.5831732200459","11022","satisfy","31769","0","54","29781","0","results_rect_core_prop","4281968","135","0","4291627","9585","20250","177277142","19","0","complete","0.3011","1.05539","108","31131","676","0","1198.641104"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6136093470268","11593","satisfy","33385","0","54","31266","0","results_rect_core_prop","3884515","139","0","3886828","10044","21276","162259661","16","0","complete","0.327768","1.12365","108","32724","701","0","1198.546158"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNSATISFIABLE","40.12028374400688","7086","satisfy","20305","0","46","18837","0","results_rect_core_prop","191656","111","118045","136568","6049","12834","13437873","705","0","complete","0.186171","0.705795","92","19803","532","7261","38.7376"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","49.99410271103261","9755","satisfy","28052","0","52","26208","1","results_rect_core_prop","219865","129","106517","164925","8424","17836","13698466","1700","0","complete","0.263968","0.954739","104","27456","632","5317","48.266972"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","1.509855434007477","2959","satisfy","8350","0","32","7520","1","results_rect_core_prop","6873","73","0","7277","2400","5152","420050","17","0","complete","0.077317","0.324977","64","8032","337","0","0.847958"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNSATISFIABLE","65.12683823198313","7527","satisfy","21545","0","46","19964","0","results_rect_core_prop","294437","115","178927","186002","6394","13616","18440811","435","0","complete","0.193916","0.708097","92","21022","555","5587","63.818509"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","UNSATISFIABLE","3.0333552380325273","5905","satisfy","16839","0","42","15498","0","results_rect_core_prop","7560","103","7999","0","4956","10584","1519924","156","0","complete","0.157119","0.605818","84","16380","488","0","1.907653"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4745269669801928","4759","satisfy","13545","0","40","12420","1","results_rect_core_prop","3789","93","1415","2723","3980","8480","225433","60","0","complete","0.127394","0.498847","80","13140","430","39","0.539701"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNSATISFIABLE","661.4709911640384","12975","satisfy","37440","0","56","35168","0","results_rect_core_prop","2053725","145","1117876","1554052","11312","23912","158238550","2184","0","complete","0.357118","1.2201","112","36736","746","58101","659.204515"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.5105948880082","8904","satisfy","25593","0","50","23875","0","results_rect_core_prop","4945024","123","0","4948966","7675","16250","173406193","16","0","complete","0.24799","0.901838","100","25025","602","0","1198.847761"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNSATISFIABLE","9.115546551009174","11022","satisfy","31769","0","54","29781","0","results_rect_core_prop","18291","135","25916","0","9585","20250","4981168","6766","0","complete","0.305988","1.04114","108","31131","676","0","7.11734"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.4482087559882","7827","satisfy","22441","0","48","20856","0","results_rect_core_prop","4913962","117","0","4917801","6696","14208","175154592","20","0","complete","0.213261","0.765668","96","21912","561","0","1199.018176"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","8.810078446986154","5905","satisfy","16839","0","42","15498","1","results_rect_core_prop","44447","103","20179","35244","4956","10584","2645037","208","0","complete","0.15366","0.583622","84","16380","488","1321","7.704962"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNSATISFIABLE","82.40773638500832","9408","satisfy","27015","0","50","25175","0","results_rect_core_prop","311123","127","194998","179124","8075","17150","27078866","624","0","complete","0.255047","0.940294","100","26425","626","5987","80.697465"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7407751730061136","2458","satisfy","6903","0","30","6165","1","results_rect_core_prop","1131","67","1935","1148","1965","4230","70055","1951","0","complete","0.071163","0.305938","60","6615","305","0","0.129815"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","UNSATISFIABLE","0.9670618150266819","2959","satisfy","8350","0","32","7520","0","results_rect_core_prop","1789","73","1998","0","2400","5152","216516","227","0","complete","0.076886","0.324807","64","8032","337","0","0.304504"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","UNSATISFIABLE","1.4311906970106065","3561","satisfy","10085","0","36","9162","0","results_rect_core_prop","4283","81","1969","2640","2934","6264","405078","49","0","complete","0.095128","0.396396","72","9738","368","49","0.593174"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNKNOWN","1200.5033696210012","7086","satisfy","20305","0","46","18837","0","results_rect_core_prop","4932729","111","0","4939105","6049","12834","179842390","24","0","complete","0.186093","0.689881","92","19803","532","0","1199.124849"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNSATISFIABLE","5.903724251955282","8575","satisfy","24610","0","48","22896","0","results_rect_core_prop","12525","121","13453","0","7344","15600","2834821","215","0","complete","0.238171","0.815131","96","24048","596","0","4.244896"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","UNSATISFIABLE","1.7968196870060638","5523","satisfy","15769","0","42","14532","0","results_rect_core_prop","2978","99","3332","0","4662","9912","589637","144","0","complete","0.146459","0.551711","84","15330","466","0","0.728175"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","UNSATISFIABLE","0.829245920991525","3124","satisfy","8841","0","34","8007","0","results_rect_core_prop","1094","75","1273","0","2567","5474","127171","227","0","complete","0.082852","0.330323","68","8517","343","0","0.170935"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","UNSATISFIABLE","0.91468971100403","2458","satisfy","6903","0","30","6165","0","results_rect_core_prop","1460","67","1641","0","1965","4230","167975","217","0","complete","0.067554","0.28976","60","6615","305","0","0.214261"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.7077402080176398","4543","satisfy","12901","0","38","11780","1","results_rect_core_prop","3856","91","7947","0","3762","8056","652637","3772","0","complete","0.120214","0.47709","76","12502","424","0","0.792774"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7476824219920672","2458","satisfy","6903","0","30","6165","1","results_rect_core_prop","1203","67","2386","898","1965","4230","92656","1951","0","complete","0.066763","0.306132","60","6615","305","30","0.14409"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.121444780030288","3561","satisfy","10085","0","36","9162","1","results_rect_core_prop","9758","81","0","10026","2934","6264","544030","18","0","complete","0.094541","0.376931","72","9738","368","0","1.302128"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","UNSATISFIABLE","1.387874000996817","3383","satisfy","9555","0","34","8636","0","results_rect_core_prop","4726","79","2418","2640","2754","5916","469253","41","0","complete","0.089941","0.381135","68","9214","362","49","0.647515"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7361358469934","14077","satisfy","40639","0","58","38222","0","results_rect_core_prop","4315152","151","0","4318623","12296","25984","200419689","18","0","complete","0.391993","1.3417","116","39904","779","0","1198.265161"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNSATISFIABLE","48.30262131203199","8904","satisfy","25593","0","50","23875","0","results_rect_core_prop","184622","123","91858","135336","7675","16250","14077066","784","0","complete","0.248265","0.89689","100","25025","602","4305","46.656775"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","260.00989609898534","11593","satisfy","33385","0","54","31266","1","results_rect_core_prop","907054","139","527951","606712","10044","21276","68179348","1853","0","complete","0.333336","1.22088","108","32724","701","21159","257.731652"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","3.4483268359908834","5283","satisfy","15053","0","40","13820","1","results_rect_core_prop","15092","97","7529","12044","4420","9440","1053449","62","0","complete","0.141647","0.546323","80","14620","460","536","2.348534"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4444672270328738","4543","satisfy","12901","0","38","11780","1","results_rect_core_prop","3789","91","1409","2723","3762","8056","224034","56","0","complete","0.121316","0.47958","76","12502","424","39","0.526332"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5074359920109","9408","satisfy","27015","0","50","25175","0","results_rect_core_prop","4427017","127","0","4432453","8075","17150","158609972","16","0","complete","0.255351","0.90831","100","26425","626","0","1198.833337"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNSATISFIABLE","123.12293913197936","11022","satisfy","31769","0","54","29781","0","results_rect_core_prop","407646","135","236502","292333","9585","20250","38061242","542","0","complete","0.302828","1.06784","108","31131","676","8029","121.15632"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","UNSATISFIABLE","1.2225893149734475","3561","satisfy","10085","0","36","9162","0","results_rect_core_prop","2173","81","2332","0","2934","6264","336110","101","0","complete","0.096089","0.393412","72","9738","368","0","0.391554"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","UNSATISFIABLE","2.967295513022691","5905","satisfy","16839","0","42","15498","0","results_rect_core_prop","7560","103","7999","0","4956","10584","1519924","156","0","complete","0.153035","0.582134","84","16380","488","0","1.861395"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.471935934038","6803","satisfy","19460","0","44","17996","0","results_rect_core_prop","5020450","109","0","5026394","5764","12276","176756066","22","0","complete","0.183666","0.668306","88","18964","526","0","1199.146731"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.1719590799766593","4216","satisfy","11989","0","38","10963","1","results_rect_core_prop","18615","87","0","18678","3515","7486","865835","20","0","complete","0.116125","0.456149","76","11609","403","0","2.289552"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","UNSATISFIABLE","1.0531712690135464","2959","satisfy","8350","0","32","7520","0","results_rect_core_prop","3020","73","6858","1526","2400","5152","350718","2560","0","complete","0.077094","0.323836","64","8032","337","111","0.383413"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","UNSATISFIABLE","1.8259765739785507","5283","satisfy","15053","0","40","13820","0","results_rect_core_prop","2978","97","3332","0","4420","9440","581066","144","0","complete","0.140577","0.543338","80","14620","460","0","0.716671"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8152527349884622","2603","satisfy","7334","0","32","6592","1","results_rect_core_prop","1119","69","3425","0","2112","4512","122776","2143","0","complete","0.068915","0.318122","64","7040","311","0","0.167416"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.774223578046076","2603","satisfy","7334","0","32","6592","1","results_rect_core_prop","1204","69","2531","902","2112","4512","94474","2097","0","complete","0.069344","0.301376","64","7040","311","30","0.149379"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","UNSATISFIABLE","1.4156842840020545","3561","satisfy","10085","0","36","9162","0","results_rect_core_prop","4283","81","1969","2640","2934","6264","405078","49","0","complete","0.093984","0.376848","72","9738","368","49","0.593343"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","UNSATISFIABLE","1.2347213540342636","4015","satisfy","11390","0","36","10368","0","results_rect_core_prop","2257","85","2526","0","3312","7092","390383","111","0","complete","0.104841","0.410929","72","11016","397","0","0.408488"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","3.3066074469825253","5283","satisfy","15053","0","40","13820","1","results_rect_core_prop","15092","97","7529","12044","4420","9440","1053449","62","0","complete","0.140382","0.529592","80","14620","460","536","2.31004"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.503016096016","9408","satisfy","27015","0","50","25175","0","results_rect_core_prop","4428842","127","0","4434255","8075","17150","158711986","15","0","complete","0.259857","0.942092","100","26425","626","0","1198.796057"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","40.711592869018205","5283","satisfy","15053","0","40","13820","1","results_rect_core_prop","240080","97","0","240853","4420","9440","10734240","21","0","complete","0.139407","0.526634","80","14620","460","0","39.719684"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","41.6568337980425","5523","satisfy","15769","0","42","14532","1","results_rect_core_prop","239857","99","0","240846","4662","9912","10818786","22","0","complete","0.145533","0.554403","84","15330","466","0","40.595951"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.415914867015","7527","satisfy","21545","0","46","19964","0","results_rect_core_prop","4975889","115","0","4979788","6394","13616","176578019","19","0","complete","0.194253","0.702304","92","21022","555","0","1199.100817"
