"configuration","problem","model","data_file","status","time","eliminatedImplications","flatTime","method","propagations","userDecisions","nSolutions","extractedViews","intVariables","flatBoolConstraints","evaluatedHalfReifiedConstraints","flatIntConstraints","propagators","flatIntVars","blockType","flatBoolVars","failures","run","initTime","paths","unifiedVariables","restarts","solveTime","peakDepth","evaluatedReifiedConstraints","oracleDecisions"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","2.3706089560873806","52","0.962722","satisfy","209747","0","1","27456","129","8424","104","28052","632","9755","complete","26208","1530","results_rect_merge","0.267772","0","0","0","0.613042","8519","17836","11637"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.8877928708679974","36","0.448622","satisfy","731811","10356","1","11016","85","3312","72","11390","397","4015","complete","10368","14228","results_rect_merge","0.109902","0","0","307","1.985046","74","7092","5243"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","4.085817890707403","36","0.448602","satisfy","1039405","22895","1","11016","85","3312","72","11390","397","4015","complete","10368","22822","results_rect_merge","0.109049","0","0","0","3.187106","19","7092","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","62.880598813761026","58","1.3152","satisfy","13543128","147352","1","39904","151","12296","116","40639","779","14077","complete","38222","213939","results_rect_merge","0.399211","0","0","2821","60.450635","1814","25984","102491"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","0.9558795569464564","36","0.365391","satisfy","114992","0","1","9738","81","2934","72","10085","368","3561","complete","9162","1428","results_rect_merge","0.094272","0","0","0","0.235214","2964","6264","4544"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","5.303026197012514","40","0.555268","satisfy","1349898","25959","1","13140","93","3980","80","13545","430","4759","complete","12420","25858","results_rect_merge","0.127804","0","0","0","4.223659","21","8480","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","1.6627827337943017","44","0.698943","satisfy","152754","0","1","18964","109","5764","88","19460","526","6803","complete","17996","1485","results_rect_merge","0.173941","0","0","0","0.38559","5842","12276","7599"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","1.746697454713285","46","0.723648","satisfy","145663","0","1","21022","115","6394","92","21545","555","7527","complete","19964","1412","results_rect_merge","0.216142","0","0","0","0.385226","6464","13616","8211"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","24.747484345920384","40","0.535418","satisfy","6447309","144986","1","14620","97","4420","80","15053","460","5283","complete","13820","144706","results_rect_merge","0.139515","0","0","0","23.737675","21","9440","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","9.089842116925865","42","0.57447","satisfy","2591472","31448","1","16380","103","4956","84","16839","488","5905","complete","15498","44064","results_rect_merge","0.155332","0","0","1261","7.996737","510","10584","23373"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.903598335105926","38","0.408372","satisfy","780313","10357","1","11609","87","3515","76","11989","403","4216","complete","10963","14683","results_rect_merge","0.110453","0","0","319","2.088651","122","7486","5835"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.835227706935257","44","0.650902","satisfy","1302773","10827","1","18964","109","5764","88","19460","526","6803","complete","17996","16891","results_rect_merge","0.188558","0","0","383","3.604171","953","12276","10243"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8277430068701506","34","0.337769","satisfy","85525","1156","1","8517","75","2567","68","8841","343","3124","complete","8007","1498","results_rect_merge","0.084294","0","0","89","0.163602","2644","5474","3223"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.6794145330787","56","1.24068","satisfy","175203869","4049414","0","36736","145","11312","112","37440","746","12975","complete","35168","4042996","results_rect_merge","0.36056","0","0","0","1198.396287","18","23912","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","809.6764865107834","44","0.638469","satisfy","120067461","3386500","1","18964","109","5764","88","19460","526","6803","complete","17996","3382208","results_rect_merge","0.173382","0","0","0","808.451114","21","12276","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.903104936238378","38","0.532094","satisfy","1290791","25324","1","12502","91","3762","76","12901","424","4543","complete","11780","25229","results_rect_merge","0.122799","0","0","0","3.882102","20","8056","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.0881234728731215","38","0.411064","satisfy","128604","0","1","11609","87","3515","76","11989","403","4216","complete","10963","1377","results_rect_merge","0.111033","0","0","0","0.272847","3540","7486","5092"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7275060308166","58","1.25561","satisfy","170836606","3929035","0","38019","147","11745","116","38729","752","13406","complete","36453","3922885","results_rect_merge","0.372987","0","0","0","1198.367418","19","24766","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.423504127189517","44","0.622267","satisfy","99398","0","1","17138","105","5214","88","17603","494","6161","complete","16258","1180","results_rect_merge","0.16586","0","0","0","0.239411","5232","11088","6685"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","7.7559556709602475","44","0.609521","satisfy","2072522","24522","1","17138","105","5214","88","17603","494","6161","complete","16258","33736","results_rect_merge","0.165126","0","0","1101","6.597786","486","11088","18915"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.5912974174134","54","1.08297","satisfy","164145072","3968762","0","31131","135","9585","108","31769","676","11022","complete","29781","3959663","results_rect_merge","0.309248","0","0","0","1198.605335","19","20250","0"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6166142388247","54","1.12154","satisfy","153310885","3670250","0","32724","139","10044","108","33385","701","11593","complete","31266","3668006","results_rect_merge","0.329848","0","0","0","1198.547735","16","21276","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.4202694511041045","46","0.673851","satisfy","1114436","11242","1","19803","111","6049","92","20305","532","7086","complete","18837","17726","results_rect_merge","0.18506","0","0","355","3.146882","744","12834","9733"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","18.84165020333603","52","0.961374","satisfy","4436546","51841","1","27456","129","8424","104","28052","632","9755","complete","26208","74761","results_rect_merge","0.268262","0","0","552","17.087842","1700","17836","30534"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8991387980058789","32","0.3306","satisfy","70071","1382","1","8032","73","2400","64","8350","337","2959","complete","7520","1370","results_rect_merge","0.080955","0","0","0","0.140841","2381","5152","2368"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","46.33293498121202","46","0.725723","satisfy","11653936","148526","1","21022","115","6394","92","21545","555","7527","complete","19964","195762","results_rect_merge","0.205422","0","0","5563","44.972257","435","13616","113781"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.3136575459502637","42","0.586463","satisfy","98752","0","1","16380","103","4956","84","16839","488","5905","complete","15498","1180","results_rect_merge","0.155159","0","0","0","0.22196","4974","10584","6427"
