"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2855935636908","","0.095542","","0","","","180","","240","","240","","","","120","","","","results_all","0","","","","","","","355","","159","","","","","","","","satisfy","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.3395731635391712","","0.100271","85732","0","","","96","","128","","128","","","","64","","","","results_all","1","","0","","","","0","189","","79","136","","","","0.095125","","","satisfy","1674",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","6.298929864540696","","0.098817","7240705","0","247","339","114","","152","1","152","","0","","76","","385093","","results_all","1","","","","","","","223","","93","","","51","","6.02634","","","satisfy","192527","0.001957"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","3.995674444362521","","1.42148","1715904","0","","2468","13185","","41310","","1860","41250","0","","60","0","","complete","results_all","1","","","26880","","13466","","43730","","14529","","","9169","0","1.350846","","153","satisfy","3267","0.431397"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.442273596301675","","0.494905","4432846","0","","1069","3933","","12464","","760","12502","0","","38","0","","complete","results_all","1","","","8056","","60","","13584","","4543","","","79","25054","3.446893","","91","satisfy","24955","0.131751"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","41.66684307716787","","0.119701","51631820","0","","","132","","176","","176","","","","88","","","","results_all","1","","0","","","","0","259","","111","460","","","","41.0062","","","satisfy","620302",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.8403412885963917","","0.451038","3513239","0","","971","3465","","10980","","684","11016","0","","36","0","","complete","results_all","1","","","7092","","74","","12001","","4015","","","92","23177","2.975411","","85","satisfy","23103","0.115097"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.14676143229","","0.090793","510914259","0","365","485","162","","216","0","216","","0","","108","","58350398","","results_all","0","","","","","","","321","","145","","","62","","1199.91","","","satisfy","29175170","0.002683"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.7210384719074","","1.27508","777793534","0","","2203","11690","","36680","","1624","36736","0","","56","0","","complete","results_all","0","","","23912","","0","","38951","","12975","","","20","4447850","1198.345575","","145","satisfy","4439689","0.378206"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.4041366446763277","","0.370738","3097658","0","","870","2890","","9180","","612","9214","0","","34","0","","complete","results_all","1","","","5916","","57","","10098","","3383","","","76","25440","2.672141","","79","satisfy","25365","0.0952"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.2065762523562","8435712","0.121639","4168319047","0","22876","2531","468","0.05","1344","","96","","0","266674","48","","8702397","","results_all","0","-1268930903","","1200","0.0","","","1388","0.0","127","22722","152","16","","1199.875","","","satisfy","8435712","0.035"
