"configuration","problem","model","data_file","status","time","extractedViews","blockType","eliminatedImplications","failures","evaluatedReifiedConstraints","flatIntVars","flatBoolVars","intVariables","flatBoolConstraints","propagations","method","peakDepth","oracleDecisions","run","userDecisions","nSolutions","restarts","unifiedVariables","initTime","propagators","evaluatedHalfReifiedConstraints","paths","flatTime","flatIntConstraints","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","24.926946135703474","14620","complete","40","144669","9440","5283","13820","97","4420","6402787","satisfy","21","0","results_rect_basic","144944","1","0","0","0.138614","460","80","0","0.56342","15053","23.879434"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","26.37708443403244","15330","complete","42","144144","9912","5523","14532","99","4662","6439160","satisfy","22","0","results_rect_basic","144428","1","0","0","0.150017","466","84","0","0.557937","15769","25.317241"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4171352167614","21022","complete","46","4586176","13616","7527","19964","115","6394","163554240","satisfy","19","0","results_rect_basic","4589741","0","0","0","0.195179","555","92","0","0.697451","21545","1199.103691"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","52.36183333862573","38019","complete","58","206133","24766","13406","36453","147","11745","11920173","satisfy","1811","112814","results_rect_basic","132333","1","3533","0","0.373677","752","116","0","1.26495","38729","49.971531"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","0.9177701212465763","9214","complete","34","1278","5916","3383","8636","79","2754","83681","satisfy","2779","4215","results_rect_basic","0","1","0","0","0.085938","362","68","0","0.354503","9555","0.200917"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","83.51783853815868","16380","complete","42","402069","10584","5905","15498","103","4956","17881985","satisfy","21","0","results_rect_basic","402729","1","0","0","0.158148","488","84","0","0.596276","16839","82.397192"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8303197580389678","8517","complete","34","1369","5474","3124","8007","75","2567","70121","satisfy","2548","2533","results_rect_basic","1383","1","0","0","0.083671","343","68","0","0.33907","8841","0.143219"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","4.602883312851191","21912","complete","48","15401","14208","7827","20856","117","6696","1006690","satisfy","1163","6498","results_rect_basic","10761","1","35","0","0.205231","561","96","0","0.720435","22441","3.249031"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","66.15622469689697","33908","complete","56","231144","22064","11991","32452","141","10444","16483072","satisfy","1984","177303","results_rect_basic","159451","1","7873","0","0.328305","707","112","0","1.09071","34575","64.142164"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.894173896871507","9738","complete","36","25238","6264","3561","9162","81","2934","1024246","satisfy","19","0","results_rect_basic","25324","1","0","0","0.094155","368","72","0","0.364674","10085","3.10274"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.32047134405002","14620","complete","40","1352","9440","5283","13820","97","4420","131470","satisfy","4450","5993","results_rect_basic","0","1","0","0","0.138491","460","80","0","0.557517","15053","0.27755"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","12.036980224307626","26425","complete","50","48630","17150","9408","25175","127","8075","2785920","satisfy","621","21478","results_rect_basic","33944","1","745","0","0.257521","626","100","0","1.01624","27015","9.85689"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","1.8850742899812758","19803","complete","46","1631","12834","7086","18837","111","6049","168165","satisfy","6092","8038","results_rect_basic","0","1","0","0","0.19016","532","92","0","0.702036","20305","0.510335"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","2.8457560930401087","33908","complete","56","1723","22064","11991","32452","141","10444","764423","satisfy","10587","19545","results_rect_basic","0","1","0","0","0.328982","707","112","0","1.10429","34575","0.763093"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","2.2001796108670533","18964","complete","44","1631","12276","6803","17996","109","5764","167271","satisfy","5807","7753","results_rect_basic","0","1","0","0","0.177537","526","88","0","0.752885","19460","0.465987"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","3.7078050561249256","39904","complete","58","2533","25984","14077","38222","151","12296","706692","satisfy","8826","11537","results_rect_basic","0","1","0","0","0.387063","779","116","0","1.3751","40639","1.213396"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","4.006544515956193","38019","complete","58","3763","24766","13406","36453","147","11745","916364","satisfy","8442","12255","results_rect_basic","0","1","0","0","0.371919","752","116","0","1.26691","38729","1.57788"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","3.6876716604456306","41250","complete","60","2532","26880","14529","39570","153","12750","713113","satisfy","9169","11900","results_rect_basic","0","1","0","0","0.427811","785","120","0","1.31832","41991","1.233314"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","2.4792374968528748","26425","complete","50","1549","17150","9408","25175","127","8075","219781","satisfy","8113","11022","results_rect_basic","0","1","0","0","0.259302","626","100","0","0.94171","27015","0.759579"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6245603803545","27456","complete","52","4138143","17836","9755","26208","129","8424","148937062","satisfy","15","0","results_rect_basic","4143199","0","0","0","0.279918","632","104","0","1.00808","28052","1198.710829"
