"configuration","problem","model","data_file","status","time","flatBoolVars","run","extractedViews","flatIntVars","propagators","failures","unifiedVariables","restarts","method","oracleDecisions","flatBoolConstraints","flatIntConstraints","peakDepth","propagations","eliminatedImplications","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","flatTime","paths","nSolutions","intVariables","userDecisions","blockType","solveTime"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.4255752726458013","16258","results_rect_seperate+merge","17138","6161","494","1180","0","0","satisfy","6685","5214","17603","5232","99398","44","88","0.163875","11088","0.600631","0","1","105","0","complete","0.229062"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","7.456803979817778","16258","results_rect_seperate+merge","17138","6161","494","33736","0","1101","satisfy","18915","5214","17603","486","2072522","44","88","0.170544","11088","0.580302","0","1","105","24522","complete","6.349984"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.5713743269444","29781","results_rect_seperate+merge","31131","11022","676","3836022","0","0","satisfy","0","9585","31769","19","159091462","54","108","0.305729","20250","1.042659","0","0","135","3844961","complete","1198.648163"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6243127188645","31266","results_rect_seperate+merge","32724","11593","701","3561599","0","0","satisfy","0","10044","33385","16","148593114","54","108","0.321951","21276","1.11028","0","0","139","3563771","complete","1198.564474"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.5490976851433516","18837","results_rect_seperate+merge","19803","7086","532","17852","0","355","satisfy","9886","6049","20305","744","1125450","46","92","0.1889","12834","0.745954","0","1","111","11242","complete","3.176645"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","18.233954207971692","26208","results_rect_seperate+merge","27456","9755","632","73788","0","552","satisfy","30533","8424","28052","1700","4324379","52","104","0.267067","17836","0.950357","0","1","129","50853","complete","16.4989"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7804278708063066","7520","results_rect_seperate+merge","8032","2959","337","1370","0","0","satisfy","2368","2400","8350","2381","70071","32","64","0.080875","5152","0.320179","0","1","73","1382","complete","0.140032"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","45.12102324422449","19964","results_rect_seperate+merge","21022","7527","555","195762","0","5563","satisfy","113781","6394","21545","435","11653936","46","92","0.1972","13616","0.716961","0","1","115","148526","complete","43.692309"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.2680740780197084","15498","results_rect_seperate+merge","16380","5905","488","1180","0","0","satisfy","6427","4956","16839","4974","98752","42","84","0.145871","10584","0.564114","0","1","103","0","complete","0.212061"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.6408146256580949","12420","results_rect_seperate+merge","13140","4759","430","3781","0","39","satisfy","1412","3980","13545","59","222420","40","80","0.128542","8480","0.51046","0","1","93","2723","complete","0.587708"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","759.3317451351322","35168","results_rect_seperate+merge","36736","12975","746","2352954","0","78638","satisfy","1336427","11312","37440","2184","159274257","56","112","0.364941","23912","1.2193","0","1","145","1887968","complete","757.067402"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.5074604861438","23875","results_rect_seperate+merge","25025","8904","602","4717070","0","0","satisfy","0","7675","25593","16","164920967","50","100","0.231043","16250","0.78834","0","0","123","4720837","complete","1198.977495"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.920326943974942","29781","results_rect_seperate+merge","31131","11022","676","2494","0","0","satisfy","19071","9585","31769","9835","735300","54","108","0.308879","20250","1.06277","0","1","135","0","complete","0.871378"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.7921080887318","20856","results_rect_seperate+merge","21912","7827","561","4446988","0","0","satisfy","0","6696","22441","20","159820569","48","96","0.212661","14208","0.800771","0","0","117","4450389","complete","1198.984187"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","9.642508080229163","15498","results_rect_seperate+merge","16380","5905","488","44064","0","1261","satisfy","23373","4956","16839","510","2591472","42","84","0.160069","10584","0.606462","0","1","103","31448","complete","8.508108"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.579207656905055","25175","results_rect_seperate+merge","26425","9408","626","47542","0","745","satisfy","20424","8075","27015","621","2695889","50","100","0.260581","17150","0.939195","0","1","127","33944","complete","9.765168"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7149791559204459","6165","results_rect_seperate+merge","6615","2458","305","1279","0","0","satisfy","1935","1965","6903","1948","72919","30","60","0.062597","4230","0.284199","0","1","67","1291","complete","0.135983"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8651748858392239","7520","results_rect_seperate+merge","8032","2959","337","845","0","0","satisfy","3535","2400","8350","2477","62865","32","64","0.08041","5152","0.384888","0","1","73","0","complete","0.105321"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.3100359658710659","9162","results_rect_seperate+merge","9738","3561","368","4080","0","33","satisfy","1720","2934","10085","80","209967","36","72","0.095746","6264","0.37387","0","1","81","2614","complete","0.515927"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","855.9261768851429","18837","results_rect_seperate+merge","19803","7086","532","3396118","0","0","satisfy","0","6049","20305","22","121003628","46","92","0.190654","12834","0.745988","0","1","111","3400275","complete","854.533415"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.4247677363455296","22896","results_rect_seperate+merge","24048","8575","596","1617","0","0","satisfy","9362","7344","24610","7426","222309","48","96","0.232001","15600","0.86519","0","1","121","0","complete","0.514555"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.441544332075864","14532","results_rect_seperate+merge","15330","5523","466","1363","0","0","satisfy","6296","4662","15769","4716","136410","42","84","0.146651","9912","0.574779","0","1","99","0","complete","0.270528"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8919105106033385","8007","results_rect_seperate+merge","8517","3124","343","845","0","0","satisfy","3717","2567","8841","2659","63524","34","68","0.083057","5474","0.344741","0","1","75","0","complete","0.107919"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7607553494162858","6165","results_rect_seperate+merge","6615","2458","305","743","0","0","satisfy","2923","1965","6903","1967","53573","30","60","0.06358","4230","0.266272","0","1","67","0","complete","0.084794"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.285597681067884","11780","results_rect_seperate+merge","12502","4543","424","1316","0","0","satisfy","5399","3762","12901","3859","128128","38","76","0.122119","8056","0.498386","0","1","91","0","complete","0.264391"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6994014522060752","6165","results_rect_seperate+merge","6615","2458","305","1337","0","79","satisfy","2522","1965","6903","2010","77592","30","60","0.062796","4230","0.26861","0","1","67","1015","complete","0.131906"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.7345884698443115","9162","results_rect_seperate+merge","9738","3561","368","25261","0","0","satisfy","0","2934","10085","19","1042661","36","72","0.087226","6264","0.339123","0","1","81","25347","complete","3.054882"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.5991349373944104","8636","results_rect_seperate+merge","9214","3383","362","4080","0","33","satisfy","1713","2754","9555","73","208526","34","68","0.088298","5916","0.409874","0","1","79","2614","complete","0.503844"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.7123044868931","38222","results_rect_seperate+merge","39904","14077","779","3953257","0","0","satisfy","0","12296","40639","18","184988000","58","116","0.390795","25984","1.30216","0","0","151","3956393","complete","1198.306235"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","4.8786674360744655","23875","results_rect_seperate+merge","25025","8904","602","13787","0","441","satisfy","9796","7675","25593","784","1077307","50","100","0.22833","16250","0.840776","0","1","123","10640","complete","3.309737"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","32.55107546877116","31266","results_rect_seperate+merge","32724","11593","701","113016","0","3421","satisfy","77857","10044","33385","1849","8563838","54","108","0.318877","21276","1.11647","0","1","139","80361","complete","30.519885"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.3950142147950828","13820","results_rect_seperate+merge","14620","5283","460","2817","0","1","satisfy","538","4420","15053","67","156973","40","80","0.13032","9440","0.489771","0","1","97","2450","complete","0.424034"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.589360706973821","11780","results_rect_seperate+merge","12502","4543","424","3781","0","39","satisfy","1407","3762","12901","56","221026","38","76","0.121753","8056","0.494685","0","1","91","2723","complete","0.564719"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.609736324288","25175","results_rect_seperate+merge","26425","9408","626","4127966","0","0","satisfy","0","8075","27015","16","148263638","50","100","0.261218","17150","0.929691","0","0","127","4133070","complete","1198.806144"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","78.41218310594559","29781","results_rect_seperate+merge","31131","11022","676","256002","0","6235","satisfy","156044","9585","31769","691","18603943","54","108","0.308168","20250","1.07033","0","1","135","181905","complete","76.354939"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.3491338333114982","9162","results_rect_seperate+merge","9738","3561","368","1428","0","0","satisfy","4544","2934","10085","2964","114992","36","72","0.093715","6264","0.416788","0","1","81","0","complete","0.234274"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.4886575490236282","15498","results_rect_seperate+merge","16380","5905","488","1180","0","0","satisfy","6427","4956","16839","4974","98752","42","84","0.157334","10584","0.619716","0","1","103","0","complete","0.223274"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","746.6214894750156","17996","results_rect_seperate+merge","18964","6803","526","3379237","0","0","satisfy","0","5764","19460","21","119776989","44","88","0.168812","12276","0.604983","0","1","109","3383459","complete","745.457444"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.904580333735794","10963","results_rect_seperate+merge","11609","4216","403","22836","0","0","satisfy","0","3515","11989","21","1048242","38","76","0.105526","7486","0.397637","0","1","87","22921","complete","3.106949"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9440111392177641","7520","results_rect_seperate+merge","8032","2959","337","1567","0","92","satisfy","2966","2400","8350","2381","92824","32","64","0.080494","5152","0.339711","0","1","73","1252","complete","0.1663"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.258595365099609","13820","results_rect_seperate+merge","14620","5283","460","1363","0","0","satisfy","6055","4420","15053","4475","135736","40","80","0.129258","9440","0.520041","0","1","97","0","complete","0.251879"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7093801549635828","6592","results_rect_seperate+merge","7040","2603","311","743","0","0","satisfy","3084","2112","7334","2128","54139","32","64","0.071681","4512","0.300701","0","1","69","0","complete","0.089578"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7502522459253669","6592","results_rect_seperate+merge","7040","2603","311","1337","0","79","satisfy","2685","2112","7334","2173","78314","32","64","0.071846","4512","0.29648","0","1","69","1015","complete","0.139495"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.250942740123719","9162","results_rect_seperate+merge","9738","3561","368","4080","0","33","satisfy","1720","2934","10085","80","209967","36","72","0.088586","6264","0.381813","0","1","81","2614","complete","0.508288"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.085075519979","10368","results_rect_seperate+merge","11016","4015","397","1377","0","0","satisfy","4885","3312","11390","3333","127883","36","72","0.106903","7092","0.41014","0","1","85","0","complete","0.268102"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.5477816979400814","13820","results_rect_seperate+merge","14620","5283","460","2817","0","1","satisfy","538","4420","15053","67","156973","40","80","0.138055","9440","0.547828","0","1","97","2450","complete","0.434943"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5397573579103","25175","results_rect_seperate+merge","26425","9408","626","4538219","0","0","satisfy","0","8075","27015","15","162544304","50","100","0.235423","17150","0.866983","0","0","127","4543699","complete","1198.894785"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","24.983776729088277","13820","results_rect_seperate+merge","14620","5283","460","144706","0","0","satisfy","0","4420","15053","21","6447309","40","80","0.13866","9440","0.52263","0","1","97","144986","complete","23.994429"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","25.916246487759054","14532","results_rect_seperate+merge","15330","5523","466","144257","0","0","satisfy","0","4662","15769","22","6485028","42","84","0.147094","9912","0.569849","0","1","99","144545","complete","24.746269"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4212666489184","19964","results_rect_seperate+merge","21022","7527","555","4578702","0","0","satisfy","0","6394","21545","19","163326245","46","92","0.197801","13616","0.715292","0","0","115","4582256","complete","1199.049336"
